# 自动生成于 2026/05/22 22:28
# 城市: 安徽电信
# 质量阈值: 5
# 配置数量: 20
# 格式: 网关IP:端口,选项
# 选项说明: 0/10=固定C段(/stat或/status), 2/12=C段范围(/stat或/status)

60.172.82.1:8686,12
114.100.195.1:4022,10
114.104.141.1:8686,12
114.104.183.1:8686,12
114.107.45.1:8188,12
114.107.46.1:8188,12
114.107.47.1:8188,12
117.57.32.1:4022,12
117.57.34.1:4022,12
117.57.35.1:4022,12
117.57.37.1:4022,10
117.57.38.1:4022,12
124.112.188.1:4022,12
124.112.189.1:4022,12
183.162.105.1:8888,10
183.162.205.1:4022,10
183.164.55.1:5000,10
183.164.237.1:8888,12
183.165.144.1:4022,12
223.243.170.1:18888,12
