# 20260704_1136_precise_history
# 服务器地址	状态	有效次数	无效次数
113.95.141.235:554	无效	0	61
116.18.38.225:4000	无效	0	61
116.205.183.226:32770	无效	0	61
116.205.225.128:3075	无效	0	61
116.205.242.159:8194	无效	0	61
116.21.205.101:8188	无效	0	61
116.21.205.194:8188	无效	0	61
116.21.205.1:8188	无效	0	61
116.21.205.82:8188	无效	0	61
116.22.252.111:9999	无效	0	61
116.22.254.184:10087	无效	0	61
116.23.97.126:7188	无效	0	61
116.23.97.1:7188	无效	0	61
116.23.98.192:7188	无效	0	61
116.23.98.1:7188	无效	0	61
116.25.243.187:18888	无效	0	61
116.28.124.177:5000	无效	0	61
116.28.97.90:8888	无效	0	61
116.30.248.1:9876	无效	0	61
116.30.248.36:9876	无效	0	61
116.30.249.103:9876	无效	0	61
116.30.249.107:9876	有效	8	53
116.30.249.160:9876	无效	0	61
116.30.249.185:9876	有效	7	54
116.30.249.198:9876	无效	0	61
116.30.249.1:9876	无效	0	61
116.30.249.52:9876	无效	0	61
116.30.249.89:9876	无效	0	61
116.30.250.117:9876	无效	0	61
116.30.250.1:9876	无效	0	61
116.30.250.239:9876	无效	0	61
116.30.251.1:9876	无效	0	61
116.30.251.239:9876	无效	0	61
116.30.251.248:9876	无效	0	61
116.30.251.45:9876	无效	0	61
116.5.207.59:8888	无效	0	61
119.123.174.119:22	无效	0	12
119.123.176.90:9992	无效	0	61
119.123.177.133:9992	无效	0	61
119.123.87.181:4022	无效	0	61
119.131.24.1:9003	无效	0	61
119.131.24.84:9003	无效	0	61
119.131.88.19:4333	无效	0	61
119.131.88.33:4333	无效	0	61
119.131.89.136:4333	无效	0	61
119.131.89.210:4333	有效	6	52
119.136.112.12:8888	无效	0	61
119.136.112.78:8888	无效	0	61
119.136.115.244:8888	无效	0	61
119.145.76.251:10000	无效	0	61
119.145.77.59:10000	无效	0	61
119.32.12.14:2905	无效	0	61
120.230.131.162:10000	无效	0	61
120.230.131.162:888	无效	0	61
121.33.172.156:4000	无效	0	61
125.89.163.44:8888	无效	0	61
125.90.252.179:4001	无效	0	61
125.90.252.179:4014	无效	0	61
125.90.252.179:4022	无效	0	61
125.90.252.179:4028	无效	0	61
125.90.252.179:4030	无效	0	61
125.90.252.179:4040	无效	0	61
125.90.252.179:4042	无效	0	61
125.90.252.179:4050	无效	0	61
125.92.203.61:8686	无效	0	61
125.93.110.190:8888	无效	0	61
125.93.111.39:8888	无效	0	61
125.94.165.132:8686	无效	0	61
125.94.174.105:4000	无效	0	61
14.115.232.5:7788	无效	0	61
14.115.232.6:7788	无效	0	61
14.117.233.4:9001	无效	0	61
14.118.95.20:4004	无效	0	12
14.118.95.20:4018	无效	0	12
14.121.146.108:30001	无效	0	61
14.121.146.108:554	无效	0	61
14.145.141.175:10000	无效	0	61
14.145.141.175:888	无效	0	61
14.145.152.5:8000	无效	0	30
14.145.152.80:8000	无效	0	61
14.145.154.27:10000	无效	0	61
14.145.154.27:888	无效	0	61
14.145.205.10:6006	无效	0	27
14.153.158.29:8008	无效	0	55
14.153.182.5:4022	无效	0	61
14.153.198.123:4022	无效	0	61
14.154.195.67:4022	无效	0	61
14.154.197.11:4022	无效	0	61
14.155.128.1:4022	无效	0	61
14.155.135.1:4022	无效	0	61
14.155.138.171:4022	无效	0	61
14.155.138.1:4022	无效	0	61
14.155.138.8:4022	无效	0	61
14.155.139.1:4022	无效	0	61
14.155.145.1:4022	无效	0	61
14.155.195.46:4022	无效	0	61
14.155.224.54:4060	无效	0	61
14.155.231.202:4060	无效	0	61
14.155.240.1:4022	无效	0	61
14.155.240.89:4022	无效	0	61
14.155.243.20:4022	无效	0	61
14.155.251.1:4022	无效	0	61
14.155.251.208:4022	无效	0	61
14.19.157.89:7088	无效	0	12
14.19.168.112:4022	无效	0	61
14.19.177.207:9900	无效	0	61
14.19.178.5:4022	无效	0	61
14.19.195.30:4022	无效	0	61
14.21.245.71:8888	无效	0	12
14.212.133.12:4022	无效	0	12
14.217.222.0:8188	有效	12	0
147.45.220.146:18888	无效	0	61
172.67.192.195:8800	无效	0	42
172.67.216.142:8081	无效	0	61
183.10.180.10:202	无效	0	61
183.10.180.22:202	无效	0	61
183.10.180.24:202	无效	0	61
183.10.180.2:202	无效	0	61
183.10.180.30:202	无效	0	61
183.10.180.33:202	无效	0	61
183.10.180.34:202	无效	0	61
183.10.180.7:202	无效	0	61
183.10.180.9:202	无效	0	61
183.10.182.173:8188	无效	0	61
183.10.182.76:8188	无效	0	61
183.10.182.9:8188	无效	0	61
183.20.84.136:8188	无效	0	61
183.23.53.157:4022	无效	0	61
183.236.43.1:4013	无效	0	61
183.236.43.1:4014	无效	0	61
183.236.43.1:4111	无效	0	61
183.236.43.98:4013	有效	57	4
183.236.43.98:4014	有效	6	0
183.236.43.98:4111	有效	56	5
183.26.169.50:8188	无效	0	39
183.30.201.123:10002	无效	0	61
183.30.201.1:10002	无效	0	61
183.30.201.31:10002	有效	1	60
183.31.11.175:8000	无效	0	61
183.33.57.37:8686	无效	0	61
183.33.58.1:8686	无效	0	61
183.33.58.229:8686	无效	0	61
183.33.59.3:8686	无效	0	61
183.45.16.1:60022	无效	0	61
183.45.17.1:60022	无效	0	61
183.45.17.78:60022	无效	0	61
183.45.18.183:60022	无效	0	61
183.45.18.1:60022	无效	0	61
183.45.19.1:60022	无效	0	61
183.51.190.104:6633	有效	12	39
183.51.190.25:6633	有效	16	39
183.53.109.25:9090	无效	0	61
183.54.208.255:7005	无效	0	61
183.54.211.44:7005	无效	0	61
183.63.152.54:12346	无效	0	12
183.7.117.90:8088	无效	0	61
183.7.145.1:8886	无效	0	61
183.7.150.220:8333	无效	0	61
183.7.151.98:4000	无效	0	61
183.7.17.93:8888	无效	0	12
192.168.9.1:7088	无效	0	61
219.128.39.241:7788	无效	0	61
219.128.39.244:7788	无效	0	61
27.42.214.129:2222	无效	0	61
27.42.214.2:2222	无效	0	61
27.42.215.1:2222	无效	0	61
58.253.171.138:8188	无效	0	61
58.253.171.244:8188	无效	0	61
58.62.234.243:10000	有效	19	42
58.62.234.68:10000	无效	0	61
58.62.83.243:4111	无效	0	61
58.62.84.177:4022	无效	0	61
59.32.96.26:8000	无效	0	61
59.34.28.185:4022	无效	0	61
59.35.185.1:8188	无效	0	61
59.35.185.47:8188	有效	11	1
61.140.124.178:10022	无效	0	61
61.140.124.1:10022	无效	0	61
61.140.124.226:10022	无效	0	61
61.140.124.22:10022	无效	0	61
61.140.125.140:10022	无效	0	61
61.140.125.1:10022	无效	0	61
61.140.125.32:10022	无效	0	61
61.140.125.50:10022	无效	0	61
61.140.126.1:10022	无效	0	61
61.140.127.192:10022	无效	0	61
61.140.127.1:10022	无效	0	61
61.141.244.236:4200	无效	0	61
89.185.80.192:18888	无效	0	61
gdyd.7259.cc.cd:4014	无效	0	55
home.8v8.fun:4333	有效	28	1
line1.huase.ltd:8888	有效	27	17
udp2.gdsz.eu.org:8888	有效	12	0
www.guangyuan.site:8188	有效	25	35
www.ruoshui.uno:554	有效	26	34
www.yahao.host:4022	有效	61	0
﻿# 2026/05/20 10:33	无效	0	12
113.104.236.136:7088	有效	1	51
113.95.137.190:554	无效	0	52
113.119.27.129:58888	无效	0	50
113.90.237.23:8888	有效	1	41
www.maomizi.cn:9530	有效	33	16
yanshifen.top:8889	有效	49	0
unraid.cyruslee.top:8888	有效	39	10
nas218.i234.me:4333	有效	26	23
www.tyio.cc:8188	有效	49	0
file.xxika.net:8188	有效	1	0
vpn.jk960.cn:8686	有效	46	3
www.hongzhijiaoyu.net:8188	有效	43	6
wmh.wmh.ink:6633	有效	48	1
www.ruoshui.uno:30001	有效	18	31
ruoshui.uno:554	有效	1	13
liqn.mycloudnas.com:8188	有效	45	4
udmark.cn:8081	无效	0	49
hyzheng.dscloud.me:8188	无效	0	49
nas.skynetcn.cn:9992	无效	0	1
www.yjfnas.com:4022	无效	0	49
www.g3u.top:7005	无效	0	49
cn-zhongshan-01.dn42.yunyingstudio.cn:7788	无效	0	1
home2.haojunmei.top:7788	无效	0	49
k.kayk.top:8000	无效	0	49
gitic.f3322.net:6006	无效	0	49
lucky.881488.xyz:4022	无效	0	1
applims.lcqst.com:4500	无效	0	1
lims.lcqst.com:500	无效	0	49
www.aubreyy.cn:8888	无效	0	49
deohan.oicp.net:4000	无效	0	49
ddns.gzbody.com:85	无效	0	49
huision.com:4000	无效	0	49
