# 20260806_1213_precise_history
# 服务器地址	状态	有效次数	无效次数
59.173.120.39:4022	无效	0	13
59.173.121.1:4022	无效	0	93
59.173.121.67:4022	无效	0	93
59.173.123.222:6868	无效	0	70
59.173.49.7:8787	无效	0	93
59.174.116.1:4022	无效	0	93
59.174.116.93:4022	无效	0	93
59.174.118.167:8888	无效	0	33
59.174.119.46:3344	无效	0	93
59.174.160.1:4022	无效	0	93
59.174.161.178:8188	无效	0	93
59.174.162.1:4022	有效	2	91
59.174.162.86:8188	无效	0	93
59.174.163.121:6666	无效	0	93
59.174.163.1:4022	无效	0	93
59.174.163.228:4022	无效	0	93
59.174.225.55:8880	无效	0	93
59.174.226.140:8880	无效	0	93
59.175.155.114:8899	无效	0	93
59.175.155.121:55555	无效	0	12
61.184.232.173:8888	无效	0	93
zhangkx717.cn:9999	有效	56	37
﻿# 2026/05/20 10:28	无效	0	12
27.18.144.33:9100	有效	6	78
www.661130.xyz:8188	有效	79	2
wlei.myds.me:52057	有效	80	1
bk.myds.me:8899	有效	11	70
hiliu.myds.me:18088	有效	77	4
gonas.xyz:38128	有效	60	21
qnapxuan.mycloudnas.com:10001	有效	79	2
p365z34227.oicp.vip:60002	有效	24	57
cqknas.myqnapcloud.com:8808	有效	81	0
abc.423733619.xyz:8888	无效	0	81
a.liuxiaobo.top:8888	无效	0	7
i2.timogo.cc:9156	有效	3	78
m3u.fanhuahust.top:8188	无效	0	81
qwork.cgzhfwpt.cn:5555	无效	0	81
www.weiketong.top:4000	无效	0	81
miptv.de5.net:8188	无效	0	81
ifeinstein.top:7777	无效	0	1
www.divcloud.top:8899	无效	0	81
www.czx.me:9999	无效	0	81
xishui.hbkygy.top:9000	无效	0	81
www.gaochao.host:4022	无效	0	81
paul.paulli.fun:8188	无效	0	1
www.btryun.com:30235	无效	0	81
dns.ly52.top:4000	无效	0	81
bg.e0718.cn:20245	无效	0	81
dw-us01.gicp.net:9999	无效	0	81
hrm.zsmqsk.com:8081	无效	0	81
www.lankesolar.com:30235	无效	0	81
www.zhangkx717.cn:9999	无效	0	81
alist.xicp.fun:8005	无效	0	1
wlei.myds.me:8007	无效	0	81
wlei.myds.me:8008	无效	0	81
erp.jinyi-energy.com:30235	无效	0	1
sslcb.top:8888	无效	0	81
www.jeyme.top:40000	无效	0	81
www.zhanghanhome.cn:4022	无效	0	81
ht.ikhs.cn:8880	无效	0	81
ddns.19901009.xyz:55555	无效	0	81
fnos.fanhuahust.top:8188	无效	0	1
tv.fanhuahust.top:8188	无效	0	81
pve.nausica.top:8000	无效	0	23
yong1166.synology.me:9999	无效	0	81
3818458.xyz:8888	无效	0	81
bjc2015.oicp.net:4022	无效	0	81
hbwhphb.fun:6666	无效	0	1
luo168.cn:6868	无效	0	81
iworknet.cn:8888	无效	0	81
ddns.zw901.com:55555	无效	0	81
data5.rjetic.com:30235	无效	0	81
dcarlos.asia:3520	无效	0	81
file.x8y8.com:8899	无效	0	81
hbkygy.top:9000	无效	0	81
mail.gaochao.host:4022	无效	0	81
r80.top:4022	无效	0	81
ssaigg.dns.army:8888	无效	0	81
www.dcarlos.asia:3520	无效	0	81
www.hbkygy.top:9000	无效	0	81
www.hbykwl.top:9000	无效	0	81
www.nzdu.com:60001	无效	0	81
xiaochen.cyou:4022	无效	0	81
xyhutao.f3322.net:8880	无效	0	81
yxcjf.ahwq.net:30235	无效	0	81
﻿# 2026/05/24 20:42	无效	0	81
59.174.117.175:4022	无效	0	80
www.ifeinstein.top:7777	无效	0	80
disk99.familyds.com:4022	无效	0	10
d.liuxiaobo.top:8888	无效	0	80
ud.mc.paulli.fun:8188	无效	0	80
wlei.myds.me:8005	无效	0	80
yiwei.ahwq.net:30235	无效	0	80
mr.fanhuahust.top:8188	无效	0	80
www.nausica.top:8000	无效	0	80
www.hbwhphb.fun:6666	无效	0	80
oa.lankesolar.com:30235	无效	0	32
59.174.163.201:4022	有效	2	72
59.173.120.178:4022	有效	3	63
59.174.118.114:4022	无效	0	64
59.174.161.220:4022	有效	2	61
27.18.102.233:9100	有效	5	57
59.174.162.195:4022	无效	0	61
59.174.162.239:4022	有效	10	49
59.174.160.160:4022	有效	10	47
27.18.83.20:9100	有效	9	47
59.174.162.90:4022	有效	2	54
epg.nausica.top:8000	无效	0	39
59.174.160.80:4022	有效	2	45
59.174.163.57:4022	有效	10	32
home.fanhuahust.top:8188	无效	0	39
59.174.160.101:4022	有效	2	33
171.83.43.40:52057	无效	0	34
59.174.161.48:4022	无效	0	32
59.174.163.20:4022	有效	8	23
phb888.myds.me:6666	无效	0	19
59.173.121.158:4022	有效	9	21
59.174.116.42:4022	无效	0	30
27.18.76.91:9100	有效	9	20
59.174.161.194:4022	有效	1	22
59.174.163.167:4022	有效	2	13
jeyme.top:40000	无效	0	8
27.18.157.206:2701	有效	11	0
59.174.162.196:4022	有效	1	5
hass.fanhuahust.top:8188	无效	0	5
59.173.120.5:4022	有效	1	0
