# 20260810_1123_precise_history
# 服务器地址	状态	有效次数	无效次数
180.109.91.144:8686	无效	0	97
180.109.91.147:8686	无效	0	97
180.111.172.195:10001	无效	0	97
180.111.172.69:10001	无效	0	97
180.111.28.216:8888	无效	0	97
180.111.29.104:8888	无效	0	12
180.111.29.161:8888	无效	0	97
180.112.231.40:8800	无效	0	97
180.112.82.122:8888	无效	0	97
180.112.82.139:8888	无效	0	97
180.112.83.144:8888	有效	6	91
180.112.83.250:8888	无效	0	97
180.112.83.87:8888	无效	0	97
180.112.88.194:8888	无效	0	44
180.112.88.223:8800	无效	0	97
180.114.182.196:10070	无效	0	97
180.114.182.196:1013	无效	0	97
180.114.182.196:10245	无效	0	97
180.114.182.196:10332	无效	0	97
180.114.182.196:10349	无效	0	97
180.114.182.196:10361	无效	0	97
180.114.182.196:10390	无效	0	97
180.114.182.196:11031	无效	0	97
180.114.182.196:113	无效	0	97
180.114.182.196:11371	无效	0	97
180.114.182.196:1140	无效	0	97
180.114.182.196:1143	无效	0	97
180.114.182.196:121	无效	0	97
180.114.182.196:12300	无效	0	97
180.114.182.196:1234	无效	0	97
180.114.182.196:20125	无效	0	97
180.114.182.196:20237	无效	0	97
180.114.182.196:2103	无效	0	97
180.114.182.196:2379	无效	0	97
180.114.182.196:2501	无效	0	97
180.114.182.196:2628	无效	0	97
180.114.182.196:32770	无效	0	97
180.114.182.196:36	无效	0	97
180.114.182.196:4155	无效	0	97
180.114.182.196:43	无效	0	97
180.114.182.196:4712	无效	0	97
180.114.182.196:49163	无效	0	97
180.114.182.196:49673	无效	0	97
180.114.182.196:502	无效	0	97
180.114.182.196:5111	无效	0	97
180.114.182.196:5120	无效	0	97
180.114.182.196:6025	无效	0	97
180.114.182.196:6141	无效	0	97
180.114.182.196:631	无效	0	97
180.114.182.196:6699	无效	0	97
180.114.182.196:7070	无效	0	97
180.114.182.196:7080	无效	0	97
180.114.182.196:7103	无效	0	97
180.114.182.196:7111	无效	0	97
180.114.182.196:7125	无效	0	97
180.114.182.196:7145	无效	0	97
180.114.182.196:7175	无效	0	97
180.114.182.196:7766	无效	0	97
180.114.182.196:7809	无效	0	97
180.114.182.196:7872	无效	0	97
180.114.182.196:8005	无效	0	97
180.114.182.196:8007	无效	0	97
180.114.182.196:8222	无效	0	97
180.114.182.196:8232	无效	0	97
180.114.182.196:8255	无效	0	97
180.114.182.196:8399	无效	0	97
180.114.182.196:8983	无效	0	97
180.114.182.196:9005	无效	0	97
180.114.182.196:9092	无效	0	97
180.114.182.196:9097	无效	0	97
180.114.182.196:9302	无效	0	97
180.114.182.196:9700	无效	0	97
180.114.3.92:8800	有效	11	86
180.114.95.141:7474	无效	0	97
180.115.103.1:9999	无效	0	97
180.116.34.1:4022	无效	0	97
180.116.49.1:4022	无效	0	97
180.119.26.34:4022	无效	0	97
180.120.112.171:8800	无效	0	97
180.121.226.67:4022	无效	0	97
180.121.91.101:8888	无效	0	97
180.122.53.243:4022	有效	12	84
180.122.53.38:4022	无效	0	97
180.125.146.219:55555	无效	0	97
185.199.108.153:10000	无效	0	73
192.168.123.1:8888	无效	0	97
192.168.2.100:4022	无效	0	97
192.168.2.1:4022	无效	0	97
218.94.98.33:10001	无效	0	97
220.176.218.130:9000	无效	0	97
221.225.23.46:8000	无效	0	97
221.227.108.224:8800	无效	0	97
222.184.194.52:8000	无效	0	97
222.185.150.253:4022	无效	0	97
222.191.177.217:4000	无效	0	95
222.95.12.2:4022	有效	12	20
222.95.198.222:4022	无效	0	97
223.167.230.132:4022	无效	0	97
43.131.249.244:30024	无效	0	12
49.64.191.13:4022	有效	4	93
49.65.86.7:58888	有效	11	86
49.67.13.10:8888	无效	0	97
49.67.195.201:8181	无效	0	97
49.68.100.60:10000	无效	0	97
49.69.157.166:8188	无效	0	97
49.69.33.88:8188	无效	0	97
49.71.119.174:8800	无效	0	97
49.71.158.19:4022	有效	9	88
49.74.205.217:8888	无效	0	97
49.74.7.100:7000	无效	0	78
49.75.104.199:4000	无效	0	97
49.76.20.239:8001	有效	10	87
49.77.102.202:8055	无效	0	32
49.77.102.208:8055	无效	0	75
49.77.104.103:8554	无效	0	97
49.77.104.1:8554	无效	0	97
49.77.104.27:8554	无效	0	97
49.77.104.34:8554	无效	0	97
49.77.104.39:8554	无效	0	97
49.77.104.55:8554	无效	0	97
49.77.104.56:8554	无效	0	97
49.77.104.76:8554	无效	0	97
49.77.104.95:8554	有效	27	70
49.77.104.95:85543	无效	0	97
49.77.104.97:8554	无效	0	97
49.77.104.97:85543	无效	0	97
49.77.142.210:888	有效	9	73
49.77.142.214:888	无效	0	97
49.77.20.134:8118	无效	0	97
49.77.20.152:8118	无效	0	75
49.77.20.161:8118	有效	12	42
49.77.211.1:8554	无效	0	97
49.77.31.1:8554	无效	0	97
49.77.31.239:8554	无效	0	97
49.79.129.208:6666	无效	0	97
49.79.69.1:9000	无效	0	97
49.79.83.221:58888	有效	18	76
49.79.83.230:58888	无效	0	97
49.84.110.26:10000	无效	0	97
49.84.157.139:4022	无效	0	97
49.85.119.111:8887	无效	0	61
49.85.222.161:9999	无效	0	97
49.88.191.161:19999	无效	0	97
58.208.126.74:8800	无效	0	97
58.50.153.91:4022	无效	0	97
home.lan:7088	无效	0	97
49.77.142.221:888	有效	4	79
njbobo.mycloudnas.com:4022	有效	82	3
ikuai-v4.17271201.xyz:4000	有效	77	8
fnas-v4.17271201.xyz:4000	有效	1	84
y1nf0x.myds.me:5888	有效	85	0
202.8090pc.cn:58888	有效	28	1
vs.heylc.com:4022	有效	78	7
zp.zshwx.cn:8888	有效	37	48
dx.joygala.cn:8118	有效	84	1
h.vanshun.com:8802	有效	84	1
istoreos.sclvip.top:5566	有效	84	1
www.foreveryyl.top:8001	有效	65	20
nas2.bycza.top:9000	有效	70	15
nas2.bycza.top:8100	有效	1	0
istoreos-v4.sclvip.top:8787	有效	1	0
iptv.feng.js.cn:58099	有效	77	8
fengwei888888.myds.me:58099	有效	44	10
www.wxzmz.com:8800	有效	70	15
kouki.pro:8888	有效	83	2
j1900.silicaite.com:58888	有效	1	0
home.amucn.net:8800	有效	83	2
www.yzddy.top:8800	有效	79	6
980413.xyz:6000	有效	85	0
nas.xinheqiao.cn:30024	无效	0	85
n.magixon.cn:8181	无效	0	85
lewiseek.f3322.org:8888	无效	0	1
baoliuwei.top:7000	无效	0	1
www.266999.xyz:55555	有效	44	41
www.ksjgj.cn:8888	无效	0	85
www.sxxhhy.top:8888	无效	0	85
acp-cloud.asuscomm.com:4000	有效	71	14
www.angel147.cf:9570	有效	28	57
huijie5421.cn:8800	有效	14	71
www.234645507.xyz:4022	无效	0	85
tu.rxkjnb.top:30024	无效	0	85
hl.nijingjing.site:8888	无效	0	85
www.nijingjing.site:8888	有效	13	72
rabbit.linday.dpdns.org:32400	无效	0	85
rabbit.linday.dpdns.org:7547	无效	0	85
aecgd3roqakx4c5c.0kkkkkt.com:4000	无效	0	85
gcyp.mycloudnas.com:4000	有效	78	7
www.markc.top:8887	无效	0	85
ikuai.njrc.org.cn:22222	无效	0	1
www.monsterpoem.com:8686	无效	0	85
