# 20260723_1208_precise_history
# 服务器地址	状态	有效次数	无效次数
180.165.28.145:4022	有效	26	47
180.165.28.182:4022	无效	0	79
180.165.28.1:4022	无效	0	79
180.165.28.24:4022	无效	0	79
180.165.29.1:4022	无效	0	79
180.165.29.204:4022	无效	0	79
180.165.29.50:4022	无效	0	73
180.165.29.82:4022	无效	0	79
180.165.3.1:4022	无效	0	79
180.165.30.147:4022	无效	0	73
180.165.30.1:4022	无效	0	79
180.165.31.112:4022	无效	0	79
180.165.31.131:4022	无效	0	79
180.165.31.1:4022	无效	0	79
180.165.4.1:4022	无效	0	79
180.165.4.1:9898	无效	0	79
180.165.4.218:4022	无效	0	79
180.165.4.225:4022	无效	0	79
180.165.4.8:4022	无效	0	79
180.165.5.126:4022	无效	0	79
180.165.5.176:4022	无效	0	79
180.165.5.1:4022	无效	0	79
180.165.6.1:4022	无效	0	79
180.165.7.1:4022	无效	0	79
180.165.7.242:4022	无效	0	79
180.165.8.1:4022	无效	0	79
180.165.8.1:8686	无效	0	79
180.165.9.170:4022	无效	0	79
180.165.9.1:4022	无效	0	79
180.165.9.44:4022	无效	0	79
180.165.9.78:4022	无效	0	79
180.171.73.16:4000	无效	0	12
180.172.46.1:4022	无效	0	79
180.172.58.1:4022	无效	0	79
180.173.121.65:9999	无效	0	79
180.173.122.247:9514	无效	0	52
180.173.153.1:4022	无效	0	79
180.173.155.1:4022	无效	0	79
180.173.155.200:4022	无效	0	79
183.162.205.235:4022	无效	0	79
183.164.237.57:8888	无效	0	79
183.164.63.184:5000	无效	0	79
183.166.144.177:8686	无效	0	79
183.166.144.177:8688	无效	0	79
192.168.3.1:4033	无效	0	79
218.1.136.1:4022	无效	0	79
218.1.137.1:4022	无效	0	79
218.1.138.100:4022	无效	0	79
218.1.138.1:4022	无效	0	79
218.1.138.200:4022	无效	0	79
218.1.139.1:4022	无效	0	79
218.1.139.206:4022	无效	0	79
218.1.140.109:8888	无效	0	79
218.1.140.1:4022	无效	0	79
218.1.141.1:4022	无效	0	79
218.1.142.1:4022	无效	0	79
218.1.143.1:4022	无效	0	79
218.1.144.1:4022	无效	0	79
218.1.144.3:4022	无效	0	79
218.1.145.1:4022	无效	0	79
218.1.145.242:4022	无效	0	79
218.1.145.87:4022	无效	0	79
218.1.146.124:4022	无效	0	79
218.1.146.188:4022	无效	0	79
218.1.146.1:4022	无效	0	79
218.1.146.228:4022	无效	0	79
218.1.146.24:4022	无效	0	79
218.1.148.86:4001	无效	0	79
218.1.171.1:4022	无效	0	79
218.1.216.1:4022	无效	0	79
218.1.219.121:7878	无效	0	46
218.78.176.231:8888	无效	0	79
218.79.218.113:8899	有效	8	4
218.81.23.2:1688	无效	0	12
218.81.90.128:7860	无效	0	79
218.81.90.21:7860	无效	0	12
222.64.121.177:58888	无效	0	79
222.64.121.1:58888	无效	0	79
222.64.216.1:8888	无效	0	79
222.64.217.1:8888	无效	0	79
222.65.234.1:4022	无效	0	79
222.67.24.171:1688	无效	0	79
222.67.24.1:1688	无效	0	79
222.67.47.1:9999	无效	0	79
222.70.240.1:19999	无效	0	79
223.167.230.132:4022	无效	0	79
223.167.230.159:4022	无效	0	79
223.167.230.1:4022	无效	0	79
223.167.230.235:4022	无效	0	79
223.167.230.245:4022	无效	0	79
223.167.230.29:4022	无效	0	79
223.167.230.34:4022	无效	0	79
223.167.230.46:4022	无效	0	79
223.167.230.5:4022	无效	0	79
223.167.230.73:4022	有效	36	43
223.167.230.84:4022	无效	0	79
223.167.245.1:8001	无效	0	79
223.167.245.20:8001	无效	0	79
223.167.245.215:8001	无效	0	79
223.167.245.61:8001	无效	0	79
58.32.18.145:4022	无效	0	79
58.32.18.53:4022	无效	0	79
58.32.33.197:4022	无效	0	79
58.32.33.1:4022	无效	0	79
58.32.35.153:4022	无效	0	12
58.35.103.48:3333	无效	0	79
58.35.118.50:4001	无效	0	79
58.37.188.225:4022	无效	0	79
58.37.31.11:14022	无效	0	79
58.37.74.52:4022	无效	0	79
58.41.21.126:4022	无效	0	79
58.41.3.226:85	无效	0	73
61.173.167.240:8888	无效	0	79
rongrong.synology.me:14022	有效	74	4
www.yyf1991.top:9999	有效	3	9
youngx.top:4022	有效	55	24
﻿# 2026/05/20 10:28	无效	0	12
180.165.3.16:4022	有效	1	69
180.165.22.10:9999	无效	0	70
180.165.22.94:4022	无效	0	68
rongrong.me:14022	有效	1	0
www.wqcjoy.xyz:8188	有效	25	42
www.rogerxlj.top:9998	有效	66	1
shenhua.asuscomm.com:8888	有效	63	4
home.wscxy.fun:30100	有效	1	0
cx.shscxzx.cn:8899	有效	25	42
home888.uttcare.com:8889	有效	17	50
yyf1991.top:9999	有效	62	5
www.coeb.fun:7878	无效	0	67
sa6400.dscloud.me:8686	无效	0	67
rt.oooy.net:7860	无效	0	67
cz.shcn2.top:4022	无效	0	67
woshiysy1.synology.me:4999	无效	0	1
rechar.mynas.gold:4022	无效	0	67
aecpvubvnlfpbbys.0kkkkkt.com:8888	无效	0	67
9527nas.958598.xyz:4022	无效	0	67
lederos.top:11000	无效	0	67
my1202.top:12028	无效	0	67
