# 20260818_1046_precise_history
# 服务器地址	状态	有效次数	无效次数
144.255.31.177:6688	有效	1	33
144.255.16.132:6688	有效	1	32
144.255.44.201:4022	无效	0	32
144.255.40.150:4022	有效	3	28
144.255.40.238:4022	有效	4	24
113.120.170.98:4022	有效	26	0
144.255.44.184:4022	有效	2	21
144.255.44.63:4022	有效	1	20
144.255.44.68:4022	有效	3	16
144.255.44.220:4022	有效	1	15
144.255.81.25:8664	有效	5	10
144.255.44.196:4022	有效	1	14
144.255.40.222:4022	有效	6	8
144.255.81.152:8664	有效	9	1
144.255.44.141:4022	有效	7	0
144.255.81.234:8664	有效	1	0
