陕西电信-组播1,#genre#
CCTV-14少儿,http://36.46.98.59:8025/rtp/239.112.205.91:5140
CCTV-15音乐,http://36.46.98.59:8025/rtp/239.109.205.19:8080
CCTV-15音乐,http://36.46.98.59:8025/rtp/239.109.205.103:8760
CCTV-15音乐,http://36.46.98.59:8025/rtp/239.112.205.16:5140
CCTV-15音乐,http://36.46.98.59:8025/rtp/239.112.205.214:5140
CCTV-16奥林匹克,http://36.46.98.59:8025/rtp/239.111.205.133:5140
CCTV-17农业农村,http://36.46.98.59:8025/rtp/239.109.205.81:8584
CCTV-17农业农村,http://36.46.98.59:8025/rtp/239.109.205.88:8640
CCTV-17农业农村,http://36.46.98.59:8025/rtp/239.112.205.210:5140
CCTV-17农业农村,http://36.46.98.59:8025/rtp/239.112.205.211:5140
湖南卫视,http://36.46.98.59:8025/rtp/239.109.205.27:8144
湖南卫视,http://36.46.98.59:8025/rtp/239.109.205.163:9002
湖南卫视,http://36.46.98.59:8025/rtp/239.112.205.29:5140
湖南卫视,http://36.46.98.59:8025/rtp/239.112.205.62:5140
浙江卫视,http://36.46.98.59:8025/rtp/239.109.205.23:8112
浙江卫视,http://36.46.98.59:8025/rtp/239.109.205.120:8896
浙江卫视,http://36.46.98.59:8025/rtp/239.112.205.31:5140
浙江卫视,http://36.46.98.59:8025/rtp/239.112.205.64:5140
江苏卫视,http://36.46.98.59:8025/rtp/239.109.205.22:8104
江苏卫视,http://36.46.98.59:8025/rtp/239.109.205.119:8368
江苏卫视,http://36.46.98.59:8025/rtp/239.112.205.30:5140
江苏卫视,http://36.46.98.59:8025/rtp/239.112.205.63:5140
北京卫视,http://36.46.98.59:8025/rtp/239.109.205.20:8088
北京卫视,http://36.46.98.59:8025/rtp/239.109.205.162:8898
北京卫视,http://36.46.98.59:8025/rtp/239.112.205.32:5140
北京卫视,http://36.46.98.59:8025/rtp/239.112.205.65:5140
东方卫视,http://36.46.98.59:8025/rtp/239.109.205.21:8096
东方卫视,http://36.46.98.59:8025/rtp/239.109.205.121:8904
东方卫视,http://36.46.98.59:8025/rtp/239.112.205.28:5140
东方卫视,http://36.46.98.59:8025/rtp/239.112.205.61:5140
安徽卫视,http://36.46.98.59:8025/rtp/239.109.205.24:8120
安徽卫视,http://36.46.98.59:8025/rtp/239.110.205.11:9790
安徽卫视,http://36.46.98.59:8025/rtp/239.112.205.39:5140
安徽卫视,http://36.46.98.59:8025/rtp/239.112.205.72:5140
广东卫视,http://36.46.98.59:8025/rtp/239.109.205.38:8232
广东卫视,http://36.46.98.59:8025/rtp/239.109.205.188:9610
广东卫视,http://36.46.98.59:8025/rtp/239.112.205.33:5140
广东卫视,http://36.46.98.59:8025/rtp/239.112.205.66:5140
深圳卫视,http://36.46.98.59:8025/rtp/239.109.205.43:8280
深圳卫视,http://36.46.98.59:8025/rtp/239.109.205.189:9602
深圳卫视,http://36.46.98.59:8025/rtp/239.112.205.34:5140
深圳卫视,http://36.46.98.59:8025/rtp/239.112.205.67:5140
辽宁卫视,http://36.46.98.59:8025/rtp/239.109.205.34:8200
辽宁卫视,http://36.46.98.59:8025/rtp/239.110.205.12:9794
辽宁卫视,http://36.46.98.59:8025/rtp/239.112.205.52:5140
辽宁卫视,http://36.46.98.59:8025/rtp/239.112.205.73:5140
山东卫视,http://36.46.98.59:8025/rtp/239.109.205.25:8128
山东卫视,http://36.46.98.59:8025/rtp/239.109.205.191:9606
山东卫视,http://36.46.98.59:8025/rtp/239.112.205.37:5140
山东卫视,http://36.46.98.59:8025/rtp/239.112.205.70:5140
山东教育卫视,http://36.46.98.59:8025/rtp/239.109.205.91:8664
天津卫视,http://36.46.98.59:8025/rtp/239.109.205.33:8192
天津卫视,http://36.46.98.59:8025/rtp/239.110.205.23:9838
天津卫视,http://36.46.98.59:8025/rtp/239.112.205.41:5140
天津卫视,http://36.46.98.59:8025/rtp/239.112.205.74:5140
重庆卫视,http://36.46.98.59:8025/rtp/239.109.205.30:8168
重庆卫视,http://36.46.98.59:8025/rtp/239.109.205.70:8496
重庆卫视,http://36.46.98.59:8025/rtp/239.112.205.40:5140
重庆卫视,http://36.46.98.59:8025/rtp/239.112.205.179:5140
东南卫视,http://36.46.98.59:8025/rtp/239.109.205.37:8224
东南卫视,http://36.46.98.59:8025/rtp/239.109.205.177:9626
东南卫视,http://36.46.98.59:8025/rtp/239.112.205.42:5140
东南卫视,http://36.46.98.59:8025/rtp/239.112.205.182:5140
河北卫视,http://36.46.98.59:8025/rtp/239.109.205.158:9106
河北卫视,http://36.46.98.59:8025/rtp/239.110.205.14:9802
河北卫视,http://36.46.98.59:8025/rtp/239.112.205.57:5140
河北卫视,http://36.46.98.59:8025/rtp/239.112.205.200:5140
河南卫视,http://36.46.98.59:8025/rtp/239.109.205.32:8184
河南卫视,http://36.46.98.59:8025/rtp/239.109.205.140:9026
河南卫视,http://36.46.98.59:8025/rtp/239.112.205.43:5140
河南卫视,http://36.46.98.59:8025/rtp/239.112.205.180:5140
湖北卫视,http://36.46.98.59:8025/rtp/239.109.205.28:8152
湖北卫视,http://36.46.98.59:8025/rtp/239.109.205.165:9006
湖北卫视,http://36.46.98.59:8025/rtp/239.112.205.36:5140
湖北卫视,http://36.46.98.59:8025/rtp/239.112.205.69:5140
四川卫视,http://36.46.98.59:8025/rtp/239.109.205.31:8176
四川卫视,http://36.46.98.59:8025/rtp/239.110.205.18:9818
四川卫视,http://36.46.98.59:8025/rtp/239.112.205.38:5140
四川卫视,http://36.46.98.59:8025/rtp/239.112.205.184:5140
海南卫视,http://36.46.98.59:8025/rtp/239.109.205.41:8256
海南卫视,http://36.46.98.59:8025/rtp/239.112.205.50:5140
甘肃卫视,http://36.46.98.59:8025/rtp/239.109.205.125:8936
甘肃卫视,http://36.46.98.59:8025/rtp/239.112.205.48:5140
甘肃卫视,http://36.46.98.59:8025/rtp/239.111.205.88:5140
广西卫视,http://36.46.98.59:8025/rtp/239.109.205.39:8240
广西卫视,http://36.46.98.59:8025/rtp/239.112.205.51:5140
贵州卫视,http://36.46.98.59:8025/rtp/239.109.205.40:8248
贵州卫视,http://36.46.98.59:8025/rtp/239.109.205.139:9024
贵州卫视,http://36.46.98.59:8025/rtp/239.112.205.47:5140
贵州卫视,http://36.46.98.59:8025/rtp/239.112.205.178:5140
黑龙江卫视,http://36.46.98.59:8025/rtp/239.109.205.36:8216
黑龙江卫视,http://36.46.98.59:8025/rtp/239.109.205.190:9604
黑龙江卫视,http://36.46.98.59:8025/rtp/239.112.205.35:5140
黑龙江卫视,http://36.46.98.59:8025/rtp/239.112.205.68:5140
江西卫视,http://36.46.98.59:8025/rtp/239.109.205.29:8160
江西卫视,http://36.46.98.59:8025/rtp/239.109.205.96:8704
江西卫视,http://36.46.98.59:8025/rtp/239.111.205.16:5140
江西卫视,http://36.46.98.59:8025/rtp/239.112.205.44:5140
吉林卫视,http://36.46.98.59:8025/rtp/239.109.205.35:8208
吉林卫视,http://36.46.98.59:8025/rtp/239.109.205.115:8856
吉林卫视,http://36.46.98.59:8025/rtp/239.112.205.45:5140
吉林卫视,http://36.46.98.59:8025/rtp/239.112.205.183:5140
内蒙古卫视,http://36.46.98.59:8025/rtp/239.109.205.46:8304
内蒙古卫视,http://36.46.98.59:8025/rtp/239.112.205.55:5140
宁夏卫视,http://36.46.98.59:8025/rtp/239.109.205.126:8944
宁夏卫视,http://36.46.98.59:8025/rtp/239.112.205.49:5140
山西卫视,http://36.46.98.59:8025/rtp/239.109.205.26:8136
山西卫视,http://36.46.98.59:8025/rtp/239.112.205.46:5140
新疆卫视,http://36.46.98.59:8025/rtp/239.110.205.13:9798
新疆卫视,http://36.46.98.59:8025/rtp/239.112.205.56:5140
云南卫视,http://36.46.98.59:8025/rtp/239.110.205.15:9806
云南卫视,http://36.46.98.59:8025/rtp/239.112.205.58:5140
青海卫视,http://36.46.98.59:8025/rtp/239.109.205.44:8288
青海卫视,http://36.46.98.59:8025/rtp/239.112.205.53:5140
西藏卫视,http://36.46.98.59:8025/rtp/239.109.205.45:8296
西藏卫视,http://36.46.98.59:8025/rtp/239.112.205.54:5140
兵团卫视,http://36.46.98.59:8025/rtp/239.109.205.86:8624
兵团卫视,http://36.46.98.59:8025/rtp/239.112.205.198:5140
三沙卫视,http://36.46.98.59:8025/rtp/239.111.205.52:5140
厦门卫视,http://36.46.98.59:8025/rtp/239.110.205.21:9830
厦门卫视,http://36.46.98.59:8025/rtp/239.112.205.60:5140
北京卫视4K,http://36.46.98.59:8025/rtp/239.111.205.51:5140
广东卫视4K,http://36.46.98.59:8025/rtp/239.111.205.103:5140
深圳卫视4K,http://36.46.98.59:8025/rtp/239.111.205.104:5140
凤凰中文,http://36.46.98.59:8025/rtp/239.111.205.78:5140
凤凰资讯,http://36.46.98.59:8025/rtp/239.111.205.82:5140
CCTV-风云足球,http://36.46.98.59:8025/rtp/239.112.205.127:5140
CCTV-高尔夫·网球,http://36.46.98.59:8025/rtp/239.110.205.16:9810
CCTV-高尔夫·网球,http://36.46.98.59:8025/rtp/239.110.205.94:7900
CCTV-高尔夫·网球,http://36.46.98.59:8025/rtp/239.112.205.90:5140
CCTV-风云音乐,http://36.46.98.59:8025/rtp/239.110.205.90:7916
CCTV-第一剧场,http://36.46.98.59:8025/rtp/239.111.205.65:5140
CCTV-怀旧剧场,http://36.46.98.59:8025/rtp/239.110.205.88:7924
CCTV-怀旧剧场,http://36.46.98.59:8025/rtp/239.111.205.67:5140
CCTV-风云剧场,http://36.46.98.59:8025/rtp/239.111.205.66:5140
CCTV-世界地理,http://36.46.98.59:8025/rtp/239.110.205.92:7908
CCTV-兵器科技,http://36.46.98.59:8025/rtp/239.110.205.95:7896
CCTV-央视台球,http://36.46.98.59:8025/rtp/239.110.205.91:7912
CGTN英语,http://36.46.98.59:8025/rtp/239.110.205.78:7964
CGTN英语,http://36.46.98.59:8025/rtp/239.111.205.32:5140
CGTN英语,http://36.46.98.59:8025/rtp/239.112.205.14:5140
CGTN西班牙语,http://36.46.98.59:8025/rtp/239.110.205.79:7960
CGTN西班牙语,http://36.46.98.59:8025/rtp/239.111.205.33:5140
CGTN法语,http://36.46.98.59:8025/rtp/239.110.205.80:7956
CGTN法语,http://36.46.98.59:8025/rtp/239.111.205.34:5140
CGTN俄语,http://36.46.98.59:8025/rtp/239.111.205.87:5140
CGTN纪录,http://36.46.98.59:8025/rtp/239.111.205.85:5140
CETV-1综合教育,http://36.46.98.59:8025/rtp/239.109.205.47:8312
CETV-1综合教育,http://36.46.98.59:8025/rtp/239.112.205.137:5140
CETV-1综合教育,http://36.46.98.59:8025/rtp/239.109.205.78:8560
CETV-1综合教育,http://36.46.98.59:8025/rtp/239.112.205.201:5140
CETV-2空中课堂,http://36.46.98.59:8025/rtp/239.109.205.48:8320
CETV-2空中课堂,http://36.46.98.59:8025/rtp/239.111.205.168:5140
CETV-4职业教育,http://36.46.98.59:8025/rtp/239.109.205.49:8328
CETV-4职业教育,http://36.46.98.59:8025/rtp/239.111.205.15:5140
CETV-4职业教育,http://36.46.98.59:8025/rtp/239.111.205.169:5140
爱生活高清专区,http://36.46.98.59:8025/rtp/239.110.205.55:9946
爱生活高清专区,http://36.46.98.59:8025/rtp/239.112.205.234:5140
爱上4K,http://36.46.98.59:8025/rtp/239.109.205.53:8360
BesTV体育,http://36.46.98.59:8025/rtp/239.111.205.23:5140
江苏优漫卡通,http://36.46.98.59:8025/rtp/239.110.205.17:9814
江苏优漫卡通,http://36.46.98.59:8025/rtp/239.112.205.185:5140
IPTV频道,http://36.46.98.59:8025/rtp/239.109.205.197:9650
IPTV频道,http://36.46.98.59:8025/rtp/239.109.205.198:9654
IPTV频道,http://36.46.98.59:8025/rtp/239.109.205.199:9658
IPTV频道,http://36.46.98.59:8025/rtp/239.109.205.211:9184
IPTV频道,http://36.46.98.59:8025/rtp/239.109.205.212:9192
IPTV频道,http://36.46.98.59:8025/rtp/239.109.205.216:9702
IPTV频道,http://36.46.98.59:8025/rtp/239.111.205.10:5140
IPTV频道,http://36.46.98.59:8025/rtp/239.111.205.11:5140
IPTV频道,http://36.46.98.59:8025/rtp/239.111.205.40:5140
IPTV频道,http://36.46.98.59:8025/rtp/239.112.205.116:5140
IPTV频道,http://36.46.98.59:8025/rtp/239.112.205.118:5140
IPTV频道,http://36.46.98.59:8025/rtp/239.112.205.119:5140
