山东电信-组播1,#genre#
河北卫视,http://113.120.171.27:4022/rtp/239.21.1.168:5002
河南卫视,http://113.120.171.27:4022/rtp/239.21.2.37:5002
湖北卫视,http://113.120.171.27:4022/rtp/239.21.1.163:5002
陕西卫视,http://113.120.171.27:4022/rtp/239.21.1.30:5002
四川卫视,http://113.120.171.27:4022/rtp/239.21.2.15:5002
海南卫视,http://113.120.171.27:4022/rtp/239.21.2.14:5002
甘肃卫视,http://113.120.171.27:4022/rtp/239.21.2.22:5002
贵州卫视,http://113.120.171.27:4022/rtp/239.21.1.166:5002
黑龙江卫视,http://113.120.171.27:4022/rtp/239.21.1.91:5002
江西卫视,http://113.120.171.27:4022/rtp/239.21.1.167:5002
吉林卫视,http://113.120.171.27:4022/rtp/239.21.2.49:5002
内蒙古卫视,http://113.120.171.27:4022/rtp/239.21.1.41:5002
宁夏卫视,http://113.120.171.27:4022/rtp/239.21.1.44:5002
山西卫视,http://113.120.171.27:4022/rtp/239.21.1.33:5002
新疆卫视,http://113.120.171.27:4022/rtp/239.21.1.45:5002
青海卫视,http://113.120.171.27:4022/rtp/239.21.2.51:5002
西藏卫视,http://113.120.171.27:4022/rtp/239.21.1.46:5002
兵团卫视,http://113.120.171.27:4022/rtp/239.21.1.234:5002
三沙卫视,http://113.120.171.27:4022/rtp/239.21.2.9:5002
厦门卫视,http://113.120.171.27:4022/rtp/239.21.2.6:5002
华数精彩影视,http://113.120.171.27:4022/rtp/239.21.2.91:5002
北京卡酷少儿,http://113.120.171.27:4022/rtp/239.21.2.120:5002
浙江求索纪录,http://113.120.171.27:4022/rtp/239.21.2.159:5002
湖南快乐垂钓,http://113.120.171.27:4022/rtp/239.21.2.97:5002
湖南茶频道,http://113.120.171.27:4022/rtp/239.21.2.110:5002
湖南金鹰纪实,http://113.120.171.27:4022/rtp/239.21.1.170:5002
湖南金鹰卡通,http://113.120.171.27:4022/rtp/239.21.2.121:5002
河南梨园频道,http://113.120.171.27:4022/rtp/239.21.2.101:5002
河南武术世界,http://113.120.171.27:4022/rtp/239.21.2.96:5002
河南文物宝库,http://113.120.171.27:4022/rtp/239.21.2.109:5002
上海财富天下,http://113.120.171.27:4022/rtp/239.21.1.127:5002
上海东方财经,http://113.120.171.27:4022/rtp/239.21.2.108:5002
上海法治天地,http://113.120.171.27:4022/rtp/239.21.2.105:5002
上海生活时尚,http://113.120.171.27:4022/rtp/239.21.2.103:5002
上海都市剧场,http://113.120.171.27:4022/rtp/239.21.2.90:5002
上海游戏风云,http://113.120.171.27:4022/rtp/239.21.2.107:5002
上海动漫秀场,http://113.120.171.27:4022/rtp/239.21.2.92:5002
上海乐游,http://113.120.171.27:4022/rtp/239.21.2.104:5002
上海金色学堂,http://113.120.171.27:4022/rtp/239.21.2.102:5002
广东嘉佳卡通,http://113.120.171.27:4022/rtp/239.21.2.5:5002
江苏优漫卡通,http://113.120.171.27:4022/rtp/239.21.1.50:5002
中国交通,http://113.120.171.27:4022/rtp/239.21.1.115:5002

东营公共,http://113.120.171.27:4022/rtp/239.21.1.82:5002
东营新闻,http://113.120.171.27:4022/rtp/239.21.1.81:5002
山东体育频道,http://113.120.171.27:4022/rtp/239.21.1.141:5002
