四川电信-组播1,#genre#
山东卫视,http://171.88.107.244:8118/udp/239.94.0.69:5140
山东教育卫视,http://171.88.107.244:8118/udp/239.94.0.106:5140
天津卫视,http://171.88.107.244:8118/udp/239.93.0.167:5140
天津卫视,http://171.88.107.244:8118/udp/239.94.0.68:5140
重庆卫视,http://171.88.107.244:8118/udp/239.93.1.107:5140
重庆卫视,http://171.88.107.244:8118/udp/239.94.0.82:5140
东南卫视,http://171.88.107.244:8118/udp/239.93.0.42:5140
东南卫视,http://171.88.107.244:8118/udp/239.94.0.80:5140
河北卫视,http://171.88.107.244:8118/udp/239.93.0.132:5140
河北卫视,http://171.88.107.244:8118/udp/239.94.0.86:5140
河南卫视,http://171.88.107.244:8118/udp/239.93.42.45:5140
河南卫视,http://171.88.107.244:8118/udp/239.94.0.88:5140
湖北卫视,http://171.88.107.244:8118/udp/239.93.0.250:5140
湖北卫视,http://171.88.107.244:8118/udp/239.94.0.84:5140
陕西卫视,http://171.88.107.244:8118/udp/239.93.0.143:5140
陕西卫视,http://171.88.107.244:8118/udp/239.94.0.92:5140
海南卫视,http://171.88.107.244:8118/udp/239.94.0.100:5140
甘肃卫视,http://171.88.107.244:8118/udp/239.93.0.81:5140
甘肃卫视,http://171.88.107.244:8118/udp/239.94.0.99:5140
广西卫视,http://171.88.107.244:8118/udp/239.93.42.46:5140
广西卫视,http://171.88.107.244:8118/udp/239.94.0.89:5140
贵州卫视,http://171.88.107.244:8118/udp/239.93.0.131:5140
贵州卫视,http://171.88.107.244:8118/udp/239.94.0.83:5140
黑龙江卫视,http://171.88.107.244:8118/udp/239.93.0.183:5140
黑龙江卫视,http://171.88.107.244:8118/udp/239.94.0.81:5140
江西卫视,http://171.88.107.244:8118/udp/239.93.0.134:5140
江西卫视,http://171.88.107.244:8118/udp/239.94.0.79:5140
吉林卫视,http://171.88.107.244:8118/udp/239.93.0.248:5140
吉林卫视,http://171.88.107.244:8118/udp/239.94.0.91:5140
内蒙古卫视,http://171.88.107.244:8118/udp/239.94.0.94:5140
宁夏卫视,http://171.88.107.244:8118/udp/239.94.0.96:5140
山西卫视,http://171.88.107.244:8118/udp/239.94.0.93:5140
新疆卫视,http://171.88.107.244:8118/udp/239.94.0.98:5140
云南卫视,http://171.88.107.244:8118/udp/239.93.1.174:5140
云南卫视,http://171.88.107.244:8118/udp/239.93.0.174:5140
云南卫视,http://171.88.107.244:8118/udp/239.94.0.90:5140
青海卫视,http://171.88.107.244:8118/udp/239.94.0.95:5140
西藏卫视,http://171.88.107.244:8118/udp/239.94.0.97:5140
兵团卫视,http://171.88.107.244:8118/udp/239.94.0.102:5140
康巴卫视,http://171.88.107.244:8118/udp/239.93.0.41:5140
康巴卫视,http://171.88.107.244:8118/udp/239.94.0.78:5140
三沙卫视,http://171.88.107.244:8118/udp/239.94.0.105:5140
厦门卫视,http://171.88.107.244:8118/udp/239.94.0.104:5140
延边卫视,http://171.88.107.244:8118/udp/239.94.0.107:5140
安多卫视,http://171.88.107.244:8118/udp/239.94.0.110:5140
湖南卫视4K,http://171.88.107.244:8118/udp/239.94.0.116:5140
浙江卫视4K,http://171.88.107.244:8118/udp/239.94.0.118:5140
江苏卫视4K,http://171.88.107.244:8118/udp/239.94.0.117:5140
北京卫视4K,http://171.88.107.244:8118/udp/239.94.0.111:5140
北京卫视4K,http://171.88.107.244:8118/udp/239.94.0.112:5140
东方卫视4K,http://171.88.107.244:8118/udp/239.94.0.119:5140
东方卫视4K,http://171.88.107.244:8118/udp/239.94.0.120:5140
广东卫视4K,http://171.88.107.244:8118/udp/239.94.0.114:5140
深圳卫视4K,http://171.88.107.244:8118/udp/239.94.0.113:5140
凤凰中文,http://171.88.107.244:8118/udp/239.93.0.162:2192
凤凰中文,http://171.88.107.244:8118/udp/239.94.2.52:5140
凤凰中文,http://171.88.107.244:8118/udp/239.94.2.51:5140
凤凰资讯,http://171.88.107.244:8118/udp/239.94.2.49:5140
凤凰资讯,http://171.88.107.244:8118/udp/239.93.0.118:2191
凤凰资讯,http://171.88.107.244:8118/udp/239.94.2.50:5140
星空卫视,http://171.88.107.244:8118/udp/239.93.0.156:2193
星空卫视,http://171.88.107.244:8118/udp/239.94.2.53:5140
CCTV-第一剧场,http://171.88.107.244:8118/udp/239.93.1.197:5140
