北京电信-组播1,#genre#
北京卫视,http://115.171.216.32:4000/rtp/225.1.8.121:8002
北京卫视,http://115.171.216.32:4000/rtp/225.1.8.21:8002
北京卫视,http://115.171.216.32:4000/rtp/225.1.0.111:1025
北京卫视,http://115.171.216.32:4000/rtp/225.1.0.142:1025
北京卫视4K,http://115.171.216.32:4000/rtp/225.1.8.120:8002
北京卫视4K,http://115.171.216.32:4000/rtp/225.1.8.128:8002

北京IPTV4K超清,http://115.171.216.32:4000/rtp/225.1.8.211:8002
北京IPTV淘BABY,http://115.171.216.32:4000/rtp/225.1.8.36:8002
北京IPTV淘剧场,http://115.171.216.32:4000/rtp/225.1.8.37:8002
北京IPTV淘娱乐,http://115.171.216.32:4000/rtp/225.1.8.61:8002
北京IPTV淘电影,http://115.171.216.32:4000/rtp/225.1.8.38:8002
北京IPTV萌宠TV,http://115.171.216.32:4000/rtp/225.1.8.63:8002
北京体育休闲,http://115.171.216.32:4000/rtp/225.1.8.23:8002
北京卡酷少儿,http://115.171.216.32:4000/rtp/225.1.8.130:8002
北京卡酷少儿,http://115.171.216.32:4000/rtp/225.1.8.35:8000
北京国际频道,http://115.171.216.32:4000/rtp/225.1.8.131:8002
北京影视,http://115.171.216.32:4000/rtp/225.1.8.124:8002
北京影视频道,http://115.171.216.32:4000/rtp/225.1.8.82:8000
北京文艺,http://115.171.216.32:4000/rtp/225.1.8.122:8002
北京文艺频道,http://115.171.216.32:4000/rtp/225.1.8.22:8002
北京新闻,http://115.171.216.32:4000/rtp/225.1.8.129:8002
北京新闻频道,http://115.171.216.32:4000/rtp/225.1.8.83:8000
北京生活,http://115.171.216.32:4000/rtp/225.1.8.127:8002
北京生活频道,http://115.171.216.32:4000/rtp/225.1.8.108:8002
北京科教,http://115.171.216.32:4000/rtp/225.1.8.123:8002
北京纪实科教,http://115.171.216.32:4000/rtp/225.1.8.105:8002
北京财经,http://115.171.216.32:4000/rtp/225.1.8.125:8002
北京财经频道,http://115.171.216.32:4000/rtp/225.1.8.106:8002

CCTV-1综合,http://115.171.216.32:4000/rtp/225.1.8.126:8002
CCTV-1综合,http://115.171.216.32:4000/rtp/225.1.8.194:4120
CCTV-1综合,http://115.171.216.32:4000/rtp/225.1.8.1:8008
CCTV-1综合,http://115.171.216.32:4000/rtp/225.1.8.210:8068
CCTV-1综合,http://115.171.216.32:4000/rtp/225.1.8.33:8002
CCTV-1综合,http://115.171.216.32:4000/rtp/225.1.8.53:8060
CCTV-1综合,http://115.171.216.32:4000/rtp/225.1.8.81:8176
CCTV-1综合,http://115.171.216.32:4000/rtp/225.1.0.103:1025
CCTV-1综合,http://115.171.216.32:4000/rtp/225.1.0.130:1025
CCTV-1综合,http://115.171.216.32:4000/rtp/225.1.8.55:8002
CCTV-1综合,http://115.171.216.32:4000/rtp/225.1.8.97:8002
CCTV-1综合,http://115.171.216.32:4000/rtp/225.1.8.98:8002
CCTV-1综合,http://115.171.216.32:4000/rtp/225.1.8.99:8002
CCTV-1综合,http://115.171.216.32:4000/rtp/225.1.8.103:8002
CCTV-1综合,http://115.171.216.32:4000/rtp/225.1.8.118:8002
CCTV-1综合,http://115.171.216.32:4000/rtp/225.1.8.164:8002
CCTV-1综合,http://115.171.216.32:4000/rtp/225.1.8.191:8002
CCTV-1综合,http://115.171.216.32:4000/rtp/225.1.8.192:8002
CCTV-2财经,http://115.171.216.32:4000/rtp/225.1.8.2:8084
CCTV-2财经,http://115.171.216.32:4000/rtp/225.1.0.104:1025
CCTV-2财经,http://115.171.216.32:4000/rtp/225.1.0.131:1025
CCTV-2财经,http://115.171.216.32:4000/rtp/225.1.8.102:8004
CCTV-3综艺,http://115.171.216.32:4000/rtp/225.1.8.88:8000
CCTV-3综艺,http://115.171.216.32:4000/rtp/225.1.8.92:8000
CCTV-4中文国际,http://115.171.216.32:4000/rtp/225.1.8.4:8092
CCTV-4中文国际,http://115.171.216.32:4000/rtp/225.1.0.102:1025
CCTV-4中文国际,http://115.171.216.32:4000/rtp/225.1.0.132:1025
CCTV-4中文国际欧洲,http://115.171.216.32:4000/rtp/225.1.8.174:4222
CCTV-4中文国际美洲,http://115.171.216.32:4000/rtp/225.1.8.175:4222
CCTV-5体育,http://115.171.216.32:4000/rtp/225.1.8.89:8000
CCTV-5体育,http://115.171.216.32:4000/rtp/225.1.8.93:8000
CCTV-5+体育赛事,http://115.171.216.32:4000/rtp/225.1.8.20:8004
CCTV-5+体育赛事,http://115.171.216.32:4000/rtp/225.1.0.110:1025
CCTV-6电影,http://115.171.216.32:4000/rtp/239.69.1.124:10382
CCTV-6电影,http://115.171.216.32:4000/rtp/225.1.8.84:8000
CCTV-6电影,http://115.171.216.32:4000/rtp/225.1.8.90:8000
CCTV-7国防军事,http://115.171.216.32:4000/rtp/225.1.8.7:8104
CCTV-7国防军事,http://115.171.216.32:4000/rtp/225.1.0.105:1025
CCTV-7国防军事,http://115.171.216.32:4000/rtp/225.1.0.133:1025
CCTV-8电视剧,http://115.171.216.32:4000/rtp/225.1.8.85:8000
CCTV-8电视剧,http://115.171.216.32:4000/rtp/225.1.8.91:8000
CCTV-9纪录,http://115.171.216.32:4000/rtp/225.1.8.9:8112
CCTV-9纪录,http://115.171.216.32:4000/rtp/225.1.0.106:1025
CCTV-9纪录,http://115.171.216.32:4000/rtp/225.1.0.134:1025
