广东移动-组播1,#genre#
北京卫视,http://120.234.187.66:10086/rtp/239.10.0.131:1025
东方卫视,http://120.234.187.66:10086/rtp/239.20.0.173:2144
东方卫视,http://120.234.187.66:10086/rtp/239.10.0.183:1025
安徽卫视,http://120.234.187.66:10086/rtp/239.20.0.193:2184
安徽卫视,http://120.234.187.66:10086/rtp/239.10.0.203:1025
深圳卫视,http://120.234.187.66:10086/rtp/239.20.0.122:2042
深圳卫视,http://120.234.187.66:10086/rtp/239.20.0.92:3032
深圳卫视,http://120.234.187.66:10086/rtp/239.10.0.132:1025
深圳卫视,http://120.234.187.66:10086/rtp/239.10.0.52:1025
辽宁卫视,http://120.234.187.66:10086/rtp/239.20.0.175:2148
辽宁卫视,http://120.234.187.66:10086/rtp/239.10.0.185:1025
山东卫视,http://120.234.187.66:10086/rtp/239.20.0.172:2142
山东卫视,http://120.234.187.66:10086/rtp/239.10.0.182:1025
天津卫视,http://120.234.187.66:10086/rtp/239.20.0.171:2140
天津卫视,http://120.234.187.66:10086/rtp/239.20.0.89:3044
天津卫视,http://120.234.187.66:10086/rtp/239.10.0.181:1025
天津卫视,http://120.234.187.66:10086/rtp/239.10.0.55:1025
重庆卫视,http://120.234.187.66:10086/rtp/239.20.0.195:2188
重庆卫视,http://120.234.187.66:10086/rtp/239.10.0.205:1025
东南卫视,http://120.234.187.66:10086/rtp/239.20.0.58:3168
东南卫视,http://120.234.187.66:10086/rtp/239.10.0.77:1025
河北卫视,http://120.234.187.66:10086/rtp/239.20.0.56:3176
河北卫视,http://120.234.187.66:10086/rtp/239.10.0.79:1025
河南卫视,http://120.234.187.66:10086/rtp/239.20.0.144:2086
河南卫视,http://120.234.187.66:10086/rtp/239.11.0.94:1025
河南卫视,http://120.234.187.66:10086/rtp/239.21.0.104:3756
湖北卫视,http://120.234.187.66:10086/rtp/239.20.0.124:2046
湖北卫视,http://120.234.187.66:10086/rtp/239.20.0.90:3040
湖北卫视,http://120.234.187.66:10086/rtp/239.10.0.134:1025
湖北卫视,http://120.234.187.66:10086/rtp/239.10.0.54:1025
陕西卫视,http://120.234.187.66:10086/rtp/239.20.0.151:2100
四川卫视,http://120.234.187.66:10086/rtp/239.20.0.194:2186
四川卫视,http://120.234.187.66:10086/rtp/239.10.0.204:1025
四川卫视,http://120.234.187.66:10086/rtp/239.10.0.60:1025
海南卫视,http://120.234.187.66:10086/rtp/239.20.0.155:2108
海南卫视,http://120.234.187.66:10086/rtp/239.11.0.172:1025
海南卫视,http://120.234.187.66:10086/rtp/239.21.0.134:3880
甘肃卫视,http://120.234.187.66:10086/rtp/239.20.0.159:2116
甘肃卫视,http://120.234.187.66:10086/rtp/239.21.0.141:3908
甘肃卫视,http://120.234.187.66:10086/rtp/239.11.0.175:1025
广西卫视,http://120.234.187.66:10086/rtp/239.20.0.15:3344
广西卫视,http://120.234.187.66:10086/rtp/239.10.0.246:1025
贵州卫视,http://120.234.187.66:10086/rtp/239.20.0.212:2222
贵州卫视,http://120.234.187.66:10086/rtp/239.10.0.222:1025
黑龙江卫视,http://120.234.187.66:10086/rtp/239.20.0.123:2044
黑龙江卫视,http://120.234.187.66:10086/rtp/239.20.0.91:3036
黑龙江卫视,http://120.234.187.66:10086/rtp/239.10.0.133:1025
黑龙江卫视,http://120.234.187.66:10086/rtp/239.10.0.53:1025
江西卫视,http://120.234.187.66:10086/rtp/239.20.0.55:3180
江西卫视,http://120.234.187.66:10086/rtp/239.10.0.80:1025
吉林卫视,http://120.234.187.66:10086/rtp/239.20.0.54:3184
吉林卫视,http://120.234.187.66:10086/rtp/239.10.0.81:1025
内蒙古卫视,http://120.234.187.66:10086/rtp/239.20.0.153:2104
宁夏卫视,http://120.234.187.66:10086/rtp/239.20.0.156:2110
山西卫视,http://120.234.187.66:10086/rtp/239.20.0.152:2102
新疆卫视,http://120.234.187.66:10086/rtp/239.20.0.158:2114
云南卫视,http://120.234.187.66:10086/rtp/239.20.0.145:2088
云南卫视,http://120.234.187.66:10086/rtp/239.11.0.171:1025
云南卫视,http://120.234.187.66:10086/rtp/239.21.0.133:3876
青海卫视,http://120.234.187.66:10086/rtp/239.20.0.154:2106
青海卫视,http://120.234.187.66:10086/rtp/239.21.0.144:3920
青海卫视,http://120.234.187.66:10086/rtp/239.11.0.179:1025
西藏卫视,http://120.234.187.66:10086/rtp/239.20.0.157:2112
兵团卫视,http://120.234.187.66:10086/rtp/239.20.0.160:2118
三沙卫视,http://120.234.187.66:10086/rtp/239.20.0.52:3192
三沙卫视,http://120.234.187.66:10086/rtp/239.21.0.143:3916
三沙卫视,http://120.234.187.66:10086/rtp/239.11.0.177:1025
厦门卫视,http://120.234.187.66:10086/rtp/239.20.0.168:2134
延边卫视,http://120.234.187.66:10086/rtp/239.20.0.51:3216
北京卫视4K,http://120.234.187.66:10086/rtp/239.20.0.46:3220
北京卫视4K,http://120.234.187.66:10086/rtp/239.20.0.250:2298
CCTV-卫生健康,http://120.234.187.66:10086/rtp/239.11.0.185:1025
CCTV-风云足球,http://120.234.187.66:10086/rtp/239.21.0.70:3620
CCTV-风云足球,http://120.234.187.66:10086/rtp/239.11.0.59:1025
CCTV-央视文化精品,http://120.234.187.66:10086/rtp/239.21.0.77:3648
CCTV-风云音乐,http://120.234.187.66:10086/rtp/239.21.0.79:3656
CCTV-风云音乐,http://120.234.187.66:10086/rtp/239.11.0.68:1025
CCTV-第一剧场,http://120.234.187.66:10086/rtp/239.21.0.78:3652
CCTV-第一剧场,http://120.234.187.66:10086/rtp/239.11.0.67:1025
CCTV-怀旧剧场,http://120.234.187.66:10086/rtp/239.21.0.75:3640
CCTV-怀旧剧场,http://120.234.187.66:10086/rtp/239.11.0.64:1025
CCTV-风云剧场,http://120.234.187.66:10086/rtp/239.21.0.76:3644
CCTV-风云剧场,http://120.234.187.66:10086/rtp/239.11.0.65:1025
CCTV-世界地理,http://120.234.187.66:10086/rtp/239.21.0.74:3636
CCTV-世界地理,http://120.234.187.66:10086/rtp/239.11.0.63:1025
CCTV-电视指南,http://120.234.187.66:10086/rtp/239.21.0.81:3664
CCTV-电视指南,http://120.234.187.66:10086/rtp/239.11.0.58:1025
CCTV-兵器科技,http://120.234.187.66:10086/rtp/239.21.0.80:3660
CCTV-兵器科技,http://120.234.187.66:10086/rtp/239.11.0.57:1025
CCTV-女性时尚,http://120.234.187.66:10086/rtp/239.21.0.73:3632
CCTV-女性时尚,http://120.234.187.66:10086/rtp/239.11.0.62:1025
CCTV-央视台球,http://120.234.187.66:10086/rtp/239.21.0.71:3624
CCTV-央视台球,http://120.234.187.66:10086/rtp/239.11.0.60:1025
CGTN英语,http://120.234.187.66:10086/rtp/239.11.0.103:1025
CGTN英语,http://120.234.187.66:10086/rtp/239.21.0.109:3776
CGTN西班牙语,http://120.234.187.66:10086/rtp/239.11.0.105:1025
CGTN西班牙语,http://120.234.187.66:10086/rtp/239.21.0.111:3800
CGTN法语,http://120.234.187.66:10086/rtp/239.21.0.112:3788
CGTN法语,http://120.234.187.66:10086/rtp/239.11.0.106:1025
CGTN阿拉伯语,http://120.234.187.66:10086/rtp/239.11.0.107:1025
CGTN阿拉伯语,http://120.234.187.66:10086/rtp/239.21.0.113:3792
CGTN俄语,http://120.234.187.66:10086/rtp/239.11.0.108:1025
CGTN俄语,http://120.234.187.66:10086/rtp/239.21.0.114:3796
CETV-1综合教育,http://120.234.187.66:10086/rtp/239.20.0.213:2224
CETV-2空中课堂,http://120.234.187.66:10086/rtp/239.21.0.46:3524
CETV-4职业教育,http://120.234.187.66:10086/rtp/239.21.0.142:3912
CETV-4职业教育,http://120.234.187.66:10086/rtp/239.11.0.176:1025
CETV-4职业教育,http://120.234.187.66:10086/rtp/239.21.0.47:3528
CHC影迷电影,http://120.234.187.66:10086/rtp/239.21.0.119:3820
CHC影迷电影,http://120.234.187.66:10086/rtp/239.11.0.129:1025
环球奇观,http://120.234.187.66:10086/rtp/239.20.0.245:2288
环球奇观,http://120.234.187.66:10086/rtp/239.10.0.36:1025
中国交通,http://120.234.187.66:10086/rtp/239.10.0.72:1025
中国交通,http://120.234.187.66:10086/rtp/239.20.0.68:3128
老故事,http://120.234.187.66:10086/rtp/239.20.0.227:2252
老故事,http://120.234.187.66:10086/rtp/239.10.0.33:1025
中学生,http://120.234.187.66:10086/rtp/239.21.0.139:3900
中学生,http://120.234.187.66:10086/rtp/239.11.0.173:1025
发现之旅,http://120.234.187.66:10086/rtp/239.21.0.151:3948
发现之旅,http://120.234.187.66:10086/rtp/239.11.0.182:1025
发现之旅,http://120.234.187.66:10086/rtp/239.11.0.183:1025
早期教育,http://120.234.187.66:10086/rtp/239.11.0.100:1025
早期教育,http://120.234.187.66:10086/rtp/239.21.0.106:3764
华数经典电影,http://120.234.187.66:10086/rtp/239.20.0.233:2264
华数热播剧场,http://120.234.187.66:10086/rtp/239.20.0.235:2268
华数魅力时尚,http://120.234.187.66:10086/rtp/239.20.0.239:2276
华数少儿动画,http://120.234.187.66:10086/rtp/239.20.0.238:2274
华数谍战剧场,http://120.234.187.66:10086/rtp/239.20.0.228:2254
咪咕-赛事1,http://120.234.187.66:10086/rtp/239.20.0.45:3224
咪咕-赛事1,http://120.234.187.66:10086/udp/239.10.0.87:1025
咪咕-赛事10,http://120.234.187.66:10086/rtp/239.21.0.10:3380
咪咕-赛事10,http://120.234.187.66:10086/udp/239.11.0.1:1025
咪咕-赛事11,http://120.234.187.66:10086/rtp/239.21.0.11:3384
咪咕-赛事11,http://120.234.187.66:10086/udp/239.11.0.2:1025
咪咕-赛事12,http://120.234.187.66:10086/rtp/239.21.0.12:3388
咪咕-赛事12,http://120.234.187.66:10086/udp/239.11.0.3:1025
咪咕-赛事13,http://120.234.187.66:10086/rtp/239.21.0.13:3392
咪咕-赛事13,http://120.234.187.66:10086/udp/239.11.0.4:1025
咪咕-赛事14,http://120.234.187.66:10086/rtp/239.21.0.14:3396
咪咕-赛事14,http://120.234.187.66:10086/udp/239.11.0.5:1025
咪咕-赛事15,http://120.234.187.66:10086/rtp/239.21.0.15:3400
咪咕-赛事15,http://120.234.187.66:10086/udp/239.11.0.6:1025
咪咕-赛事16,http://120.234.187.66:10086/rtp/239.21.0.16:3404
咪咕-赛事16,http://120.234.187.66:10086/udp/239.11.0.7:1025
咪咕-赛事17,http://120.234.187.66:10086/rtp/239.21.0.17:3408
咪咕-赛事17,http://120.234.187.66:10086/udp/239.11.0.8:1025
咪咕-赛事18,http://120.234.187.66:10086/rtp/239.21.0.18:3412
咪咕-赛事18,http://120.234.187.66:10086/udp/239.11.0.9:1025
咪咕-赛事19,http://120.234.187.66:10086/rtp/239.21.0.19:3416
咪咕-赛事19,http://120.234.187.66:10086/udp/239.11.0.10:1025
咪咕-赛事2,http://120.234.187.66:10086/rtp/239.20.0.44:3228
咪咕-赛事2,http://120.234.187.66:10086/udp/239.10.0.88:1025
咪咕-赛事20,http://120.234.187.66:10086/rtp/239.21.0.20:3420
咪咕-赛事20,http://120.234.187.66:10086/udp/239.11.0.11:1025
咪咕-赛事21,http://120.234.187.66:10086/rtp/239.21.0.21:3424
咪咕-赛事21,http://120.234.187.66:10086/udp/239.11.0.12:1025
咪咕-赛事22,http://120.234.187.66:10086/rtp/239.21.0.22:3428
咪咕-赛事22,http://120.234.187.66:10086/udp/239.11.0.13:1025
咪咕-赛事23,http://120.234.187.66:10086/rtp/239.21.0.23:3432
咪咕-赛事23,http://120.234.187.66:10086/udp/239.11.0.14:1025
咪咕-赛事24,http://120.234.187.66:10086/udp/239.11.0.18:1025
咪咕-赛事25,http://120.234.187.66:10086/rtp/239.21.0.29:3456
咪咕-赛事25,http://120.234.187.66:10086/udp/239.11.0.19:1025
咪咕-赛事26,http://120.234.187.66:10086/rtp/239.21.0.30:3460
