吉林联通-组播1,#genre#
CCTV-兵器科技,http://wanda01.e7q.com:18090/rtp/239.253.142.81:3000
CCTV-第一剧场,http://wanda01.e7q.com:18090/rtp/239.253.142.75:3000
CCTV-风云剧场,http://wanda01.e7q.com:18090/rtp/239.253.142.99:3000
CCTV-风云音乐,http://wanda01.e7q.com:18090/rtp/239.253.142.78:3000
CCTV-风云足球,http://wanda01.e7q.com:18090/rtp/239.253.142.77:3000
CCTV-高尔夫网球,http://wanda01.e7q.com:18090/rtp/239.253.142.200:3000
CCTV-怀旧剧场,http://wanda01.e7q.com:18090/rtp/239.253.142.79:3000
CCTV-女性时尚,http://wanda01.e7q.com:18090/rtp/239.253.142.66:3000
CCTV-世界地理,http://wanda01.e7q.com:18090/rtp/239.253.142.76:3000
CCTV-文化精品,http://wanda01.e7q.com:18090/rtp/239.253.142.80:3000
CCTV-央视台球,http://wanda01.e7q.com:18090/rtp/239.253.142.65:3000
CCTV-电视指南,http://wanda01.e7q.com:18090/rtp/239.253.142.100:3000
中央新影-发现之旅,http://wanda01.e7q.com:18090/rtp/239.253.142.30:3000
中央新影-老故事,http://wanda01.e7q.com:18090/rtp/239.253.142.98:3000
中央新影-中学生,http://wanda01.e7q.com:18090/rtp/239.253.142.55:3000
CGTN英语,http://wanda01.e7q.com:18090/rtp/239.253.142.241:3000
CGTN西班牙语,http://wanda01.e7q.com:18090/rtp/239.253.142.243:3000
CGTN法语,http://wanda01.e7q.com:18090/rtp/239.253.142.244:3000
CGTN阿拉伯语,http://wanda01.e7q.com:18090/rtp/239.253.142.245:3000
CGTN俄语,http://wanda01.e7q.com:18090/rtp/239.253.142.246:3000
CETV-1综合教育,http://wanda01.e7q.com:18090/rtp/239.253.142.14:3000
CETV-2空中课堂,http://wanda01.e7q.com:18090/rtp/239.253.142.71:3000
CETV-4职业教育,http://wanda01.e7q.com:18090/rtp/239.253.142.74:3000
优优宝贝,http://wanda01.e7q.com:18090/rtp/239.253.142.192:3000
湖南卫视,http://wanda01.e7q.com:18090/rtp/239.253.142.162:3000
浙江卫视,http://wanda01.e7q.com:18090/rtp/239.253.142.125:3000
江苏卫视,http://wanda01.e7q.com:18090/rtp/239.253.142.163:3000
北京卫视,http://wanda01.e7q.com:18090/rtp/239.253.142.161:3000
北京卫视,http://wanda01.e7q.com:18090/rtp/239.253.142.47:3000
东方卫视,http://wanda01.e7q.com:18090/rtp/239.253.142.122:3000
安徽卫视,http://wanda01.e7q.com:18090/rtp/239.253.142.131:3000
广东卫视,http://wanda01.e7q.com:18090/rtp/239.253.142.164:3000
深圳卫视,http://wanda01.e7q.com:18090/rtp/239.253.142.166:3000
辽宁卫视,http://wanda01.e7q.com:18090/rtp/239.253.142.132:3000
山东卫视,http://wanda01.e7q.com:18090/rtp/239.253.142.167:3000
天津卫视,http://wanda01.e7q.com:18090/rtp/239.253.142.169:3000
