四川移动-组播1,#genre#
上海金色学堂,http://183.220.107.138:4022/rtp/239.10.0.179:5140
上海生活时尚,http://183.220.107.138:4022/rtp/239.10.0.102:5140
上海哈哈炫动,http://183.220.107.138:4022/rtp/239.11.0.64:5140
上海纪实人文,http://183.220.107.138:4022/rtp/239.10.0.192:5140
江苏财富天下,http://183.220.107.138:4022/rtp/239.10.0.182:5140
杭州求索纪录,http://183.220.107.138:4022/rtp/239.10.0.221:5140
湖北快乐垂钓,http://183.220.107.138:4022/rtp/239.10.0.128:5140
湖南先锋乒羽,http://183.220.107.138:4022/rtp/239.10.0.90:5140
湖南金鹰纪实,http://183.220.107.138:4022/rtp/239.10.0.193:5140
湖南金鹰卡通,http://183.220.107.138:4022/rtp/239.11.0.127:5140
广东嘉佳卡通,http://183.220.107.138:4022/rtp/239.11.0.203:5140

上海乐游频道,http://183.220.107.138:4022/rtp/239.10.0.105:5140
上海欢笑剧场,http://183.220.107.138:4022/rtp/239.10.0.129:5140
江苏篮球,http://183.220.107.138:4022/rtp/239.10.0.166:5140

BEST体育,http://183.220.107.138:4022/rtp/239.11.0.235:5140
BEST体育,http://183.220.107.138:4022/rtp/239.11.0.237:5140
BEST体育,http://183.220.107.138:4022/rtp/239.11.0.238:5140
CDTV1综合,http://183.220.107.138:4022/rtp/239.10.0.11:5140
CDTV2经济,http://183.220.107.138:4022/rtp/239.10.0.12:5140
CDTV3生活,http://183.220.107.138:4022/rtp/239.10.0.13:5140
CDTV4影视,http://183.220.107.138:4022/rtp/239.10.0.14:5140
CDTV5公共,http://183.220.107.138:4022/rtp/239.10.0.15:5140
CDTV6少儿,http://183.220.107.138:4022/rtp/239.10.0.16:5140
CDTV8购物,http://183.220.107.138:4022/rtp/239.10.0.33:5140
CHD爱电影,http://183.220.107.138:4022/rtp/239.10.0.191:5140
ChannelV,http://183.220.107.138:4022/udp/239.11.0.155:5140
NEWTV健康有约,http://183.220.107.138:4022/rtp/239.11.0.133:5140
NEWTV军事评论,http://183.220.107.138:4022/rtp/239.11.0.136:5140
NEWTV军旅剧场,http://183.220.107.138:4022/rtp/239.11.0.143:5140
NEWTV农业致富,http://183.220.107.138:4022/rtp/239.11.0.137:5140
NEWTV动作电影,http://183.220.107.138:4022/rtp/239.11.0.142:5140
NEWTV古装剧场,http://183.220.107.138:4022/rtp/239.11.0.141:5140
NEWTV家庭剧场,http://183.220.107.138:4022/rtp/239.11.0.131:5140
NEWTV惊悚悬疑,http://183.220.107.138:4022/rtp/239.11.0.144:5140
NEWTV精品体育,http://183.220.107.138:4022/rtp/239.11.0.134:5140
NEWTV精品纪录,http://183.220.107.138:4022/rtp/239.11.0.132:5140
NewTV中国功夫,http://183.220.107.138:4022/rtp/239.11.0.151:5140
NewTV搏击,http://183.220.107.138:4022/rtp/239.11.0.146:5140
NewTV明星大片,http://183.220.107.138:4022/rtp/239.11.0.147:5140
NewTV海外剧场,http://183.220.107.138:4022/rtp/239.11.0.145:5140
NewTV爱情喜剧,http://183.220.107.138:4022/rtp/239.11.0.149:5140
NewTV精品大剧,http://183.220.107.138:4022/rtp/239.11.0.150:5140
NewTV金牌综艺,http://183.220.107.138:4022/rtp/239.11.0.152:5140
UTV优视影院,http://183.220.107.138:4022/rtp/239.11.0.172:5140
UTV优视教育,http://183.220.107.138:4022/rtp/239.11.0.187:5140
UTV卡通动画,http://183.220.107.138:4022/rtp/239.11.0.181:5140
UTV家庭影院,http://183.220.107.138:4022/rtp/239.11.0.179:5140
UTV影视精选,http://183.220.107.138:4022/rtp/239.11.0.170:5140
UTV文化教育,http://183.220.107.138:4022/rtp/239.11.0.183:5140
UTV时尚音乐,http://183.220.107.138:4022/rtp/239.11.0.188:5140
UTV炫酷动漫,http://183.220.107.138:4022/rtp/239.11.0.186:5140
UTV热播剧场,http://183.220.107.138:4022/rtp/239.11.0.171:5140
UTV电影天地,http://183.220.107.138:4022/rtp/239.11.0.177:5140
UTV第一剧场,http://183.220.107.138:4022/rtp/239.11.0.189:5140
UTV第一电影,http://183.220.107.138:4022/rtp/239.11.0.180:5140
UTV纪实天下,http://183.220.107.138:4022/rtp/239.11.0.176:5140
UTV经典剧场,http://183.220.107.138:4022/rtp/239.11.0.178:5140
UTV经典影视,http://183.220.107.138:4022/rtp/239.11.0.173:5140
UTV舞蹈视界,http://183.220.107.138:4022/rtp/239.11.0.174:5140
UTV都市剧场,http://183.220.107.138:4022/rtp/239.11.0.175:5140
UTV金色童年,http://183.220.107.138:4022/rtp/239.11.0.182:5140
UTV钓鱼生活,http://183.220.107.138:4022/rtp/239.11.0.185:5140
UTV风云体育,http://183.220.107.138:4022/rtp/239.11.0.184:5140
人民铁道,http://183.220.107.138:4022/rtp/239.11.0.190:5140
华数光影,http://183.220.107.138:4022/rtp/239.10.0.153:5140
历史再现,http://183.220.107.138:4022/rtp/239.10.0.207:5140
咪视界1,http://183.220.107.138:4022/udp/239.10.0.17:5140
咪视界2,http://183.220.107.138:4022/udp/239.10.0.18:5140
咪视界3,http://183.220.107.138:4022/udp/239.10.0.19:5140
咪视界4,http://183.220.107.138:4022/udp/239.10.0.20:5140
咪视界4K,http://183.220.107.138:4022/rtp/239.10.0.240:5140
咪视界5,http://183.220.107.138:4022/udp/239.10.0.21:5140
咪视界6,http://183.220.107.138:4022/udp/239.10.0.22:5140
咪视界7,http://183.220.107.138:4022/udp/239.10.0.23:5140
咪视界8,http://183.220.107.138:4022/udp/239.10.0.24:5140
咪视界9,http://183.220.107.138:4022/udp/239.10.0.25:5140
咪视界10,http://183.220.107.138:4022/udp/239.10.0.26:5140
咪视界11,http://183.220.107.138:4022/udp/239.10.0.27:5140
咪视界12,http://183.220.107.138:4022/udp/239.10.0.28:5140
咪视界13,http://183.220.107.138:4022/udp/239.10.0.40:5140
咪视界14,http://183.220.107.138:4022/udp/239.10.0.41:5140
咪视界15,http://183.220.107.138:4022/udp/239.10.0.42:5140
咪视界16,http://183.220.107.138:4022/udp/239.10.0.43:5140
咪视界17,http://183.220.107.138:4022/udp/239.10.0.44:5140
咪视界18,http://183.220.107.138:4022/udp/239.10.0.45:5140
咪视界24,http://183.220.107.138:4022/udp/239.10.0.237:5140
咪视界26,http://183.220.107.138:4022/udp/239.10.0.238:5140
咪视界27,http://183.220.107.138:4022/udp/239.10.0.239:5140
在线教育,http://183.220.107.138:4022/rtp/239.11.0.228:5140
在线教育,http://183.220.107.138:4022/rtp/239.11.0.229:5140
在线教育1,http://183.220.107.138:4022/rtp/239.11.0.230:5140
在线教育2,http://183.220.107.138:4022/rtp/239.11.0.231:5140
在线教育3,http://183.220.107.138:4022/rtp/239.11.0.233:5140
天府乐趣综合,http://183.220.107.138:4022/rtp/239.10.0.195:5140
天府名医在线,http://183.220.107.138:4022/rtp/239.10.0.139:5140
天府启蒙乐园,http://183.220.107.138:4022/rtp/239.10.0.158:5140
天府教育综合,http://183.220.107.138:4022/rtp/239.10.0.136:5140
天府时尚生活,http://183.220.107.138:4022/rtp/239.10.0.144:5140
天府时尚走秀,http://183.220.107.138:4022/rtp/239.10.0.141:5140
天府星动娱乐,http://183.220.107.138:4022/rtp/239.10.0.142:5140
天府积木宝贝,http://183.220.107.138:4022/rtp/239.10.0.157:5140
天府绚影高清影院,http://183.220.107.138:4022/rtp/239.10.0.188:5140
天府财经频道,http://183.220.107.138:4022/rtp/239.10.0.194:5140
天府辣妈学院,http://183.220.107.138:4022/rtp/239.10.0.137:5140
天府风尚美食,http://183.220.107.138:4022/rtp/239.10.0.138:5140
天府魔力TV,http://183.220.107.138:4022/rtp/239.10.0.145:5140
