# 补充IP列表 - 原文件: 新疆电信.txt
# 生成时间: 2026-05-28 17:16:21
# 格式: C-D,rtp://A.B.C.D:端口

# ===== 网段: 238.125.0.x =====
# 已有IP: 113 个, 缺失IP: 141 个
# 规律: 固定端口 5140

1-47,rtp://238.125.1.47:5140
1-48,rtp://238.125.1.48:5140
1-52,rtp://238.125.1.52:5140
1-53,rtp://238.125.1.53:5140
1-54,rtp://238.125.1.54:5140
1-55,rtp://238.125.1.55:5140
1-56,rtp://238.125.1.56:5140
1-57,rtp://238.125.1.57:5140
1-58,rtp://238.125.1.58:5140
1-69,rtp://238.125.1.69:5140
1-70,rtp://238.125.1.70:5140
1-71,rtp://238.125.1.71:5140
1-72,rtp://238.125.1.72:5140
1-73,rtp://238.125.1.73:5140
1-74,rtp://238.125.1.74:5140
1-75,rtp://238.125.1.75:5140
1-76,rtp://238.125.1.76:5140
1-77,rtp://238.125.1.77:5140
1-78,rtp://238.125.1.78:5140
1-79,rtp://238.125.1.79:5140
1-80,rtp://238.125.1.80:5140
1-81,rtp://238.125.1.81:5140
1-82,rtp://238.125.1.82:5140
1-83,rtp://238.125.1.83:5140
1-84,rtp://238.125.1.84:5140
1-85,rtp://238.125.1.85:5140
1-86,rtp://238.125.1.86:5140
1-87,rtp://238.125.1.87:5140
1-88,rtp://238.125.1.88:5140
1-89,rtp://238.125.1.89:5140
1-90,rtp://238.125.1.90:5140
1-91,rtp://238.125.1.91:5140
1-92,rtp://238.125.1.92:5140
1-93,rtp://238.125.1.93:5140
1-94,rtp://238.125.1.94:5140
1-95,rtp://238.125.1.95:5140
1-96,rtp://238.125.1.96:5140
1-97,rtp://238.125.1.97:5140
1-98,rtp://238.125.1.98:5140
1-99,rtp://238.125.1.99:5140
1-100,rtp://238.125.1.100:5140
1-101,rtp://238.125.1.101:5140
1-102,rtp://238.125.1.102:5140
1-103,rtp://238.125.1.103:5140
1-104,rtp://238.125.1.104:5140
1-105,rtp://238.125.1.105:5140
1-106,rtp://238.125.1.106:5140
1-107,rtp://238.125.1.107:5140
1-108,rtp://238.125.1.108:5140
1-109,rtp://238.125.1.109:5140
1-110,rtp://238.125.1.110:5140
1-111,rtp://238.125.1.111:5140
1-112,rtp://238.125.1.112:5140
1-113,rtp://238.125.1.113:5140
1-114,rtp://238.125.1.114:5140
1-115,rtp://238.125.1.115:5140
1-116,rtp://238.125.1.116:5140
1-117,rtp://238.125.1.117:5140
1-118,rtp://238.125.1.118:5140
1-119,rtp://238.125.1.119:5140
1-120,rtp://238.125.1.120:5140
1-121,rtp://238.125.1.121:5140
1-122,rtp://238.125.1.122:5140
1-123,rtp://238.125.1.123:5140
1-124,rtp://238.125.1.124:5140
1-125,rtp://238.125.1.125:5140
1-126,rtp://238.125.1.126:5140
1-127,rtp://238.125.1.127:5140
1-128,rtp://238.125.1.128:5140
1-129,rtp://238.125.1.129:5140
1-130,rtp://238.125.1.130:5140
1-131,rtp://238.125.1.131:5140
1-132,rtp://238.125.1.132:5140
1-133,rtp://238.125.1.133:5140
1-134,rtp://238.125.1.134:5140
1-135,rtp://238.125.1.135:5140
1-136,rtp://238.125.1.136:5140
1-137,rtp://238.125.1.137:5140
1-138,rtp://238.125.1.138:5140
1-139,rtp://238.125.1.139:5140
1-140,rtp://238.125.1.140:5140
1-141,rtp://238.125.1.141:5140
1-142,rtp://238.125.1.142:5140
1-143,rtp://238.125.1.143:5140
1-144,rtp://238.125.1.144:5140
1-145,rtp://238.125.1.145:5140
1-146,rtp://238.125.1.146:5140
1-147,rtp://238.125.1.147:5140
1-148,rtp://238.125.1.148:5140
1-149,rtp://238.125.1.149:5140
1-150,rtp://238.125.1.150:5140
1-151,rtp://238.125.1.151:5140
1-152,rtp://238.125.1.152:5140
1-153,rtp://238.125.1.153:5140
1-154,rtp://238.125.1.154:5140
1-155,rtp://238.125.1.155:5140
1-156,rtp://238.125.1.156:5140
1-157,rtp://238.125.1.157:5140
1-158,rtp://238.125.1.158:5140
1-159,rtp://238.125.1.159:5140
1-160,rtp://238.125.1.160:5140
1-161,rtp://238.125.1.161:5140
1-162,rtp://238.125.1.162:5140
1-163,rtp://238.125.1.163:5140
