#20260513_133728_sorted
河南卫视4K,rtp://225.1.2.237:11530
河南卫视高清,rtp://225.1.2.99:10588
河南乡村频道,rtp://225.1.2.104:10618
河南公共频道,rtp://225.1.2.62:10366
河南国际频道,rtp://225.1.2.103:10612
河南文物宝库,rtp://225.1.2.101:10600
河南新闻频道,rtp://225.1.2.60:10354
河南梨园频道,rtp://225.1.2.100:10594
河南欢腾购物,rtp://225.1.2.61:10360
河南武术世界,rtp://225.1.2.102:10606
河南民生频道,rtp://225.1.2.57:10336
河南法治频道,rtp://225.1.2.58:10342
河南电视剧频道,rtp://225.1.2.59:10348
河南移动电视,rtp://225.1.2.190:11866
河南都市高清,rtp://225.1.2.56:10330
CCTV1,rtp://225.1.2.54:11380
CCTV2,rtp://225.1.2.2:10006
CCTV4,rtp://225.1.2.3:11368
CCTV4中文国际欧洲,rtp://225.1.2.182:11818
CCTV4中文国际美洲,rtp://225.1.2.183:11824
CCTV5,rtp://225.1.2.142:10870
CCTV7,rtp://225.1.2.4:10018
CCTV9,rtp://225.1.2.5:10024
CCTV10,rtp://225.1.2.6:10030
CCTV11,rtp://225.1.2.7:10036
CCTV12,rtp://225.1.2.8:10042
CCTV13,rtp://225.1.2.9:10048
CCTV14,rtp://225.1.2.10:10054
CCTV15,rtp://225.1.2.11:10060
CHC高清电影,rtp://225.1.2.210:11398
CHC动作电影,rtp://225.1.2.215:11428
CHC家庭影院,rtp://225.1.2.214:11422
CGTN,rtp://225.1.2.12:10066
CGTN英语,rtp://225.1.2.184:11830
CGTN西班牙语,rtp://225.1.2.186:11842
CGTN法语,rtp://225.1.2.187:11848
CGTN阿拉伯语,rtp://225.1.2.188:11854
CGTN俄语,rtp://225.1.2.189:11860
中国教育2,rtp://225.1.2.149:10912
中国教育4,rtp://225.1.2.95:10564
湖南卫视,rtp://225.1.2.13:10072
浙江卫视,rtp://225.1.2.14:11362
江苏卫视,rtp://225.1.2.15:10084
北京卫视,rtp://225.1.2.17:10096
东方卫视,rtp://225.1.2.29:10168
安徽卫视,rtp://225.1.2.16:10090
广东卫视,rtp://225.1.2.33:10192
深圳卫视,rtp://225.1.2.27:10156
辽宁卫视,rtp://225.1.2.19:10108
山东卫视,rtp://225.1.2.20:10114
天津卫视,rtp://225.1.2.18:10102
重庆卫视,rtp://225.1.2.30:10174
东南卫视,rtp://225.1.2.31:10180
河北卫视,rtp://225.1.2.32:10186
湖北卫视,rtp://225.1.2.28:10162
陕西卫视,rtp://225.1.2.36:10210
四川卫视,rtp://225.1.2.24:10138
海南卫视,rtp://225.1.2.40:10234
甘肃卫视,rtp://225.1.2.44:10258
广西卫视,rtp://225.1.2.34:10198
贵州卫视,rtp://225.1.2.26:10150
黑龙江卫视,rtp://225.1.2.23:10132
江西卫视,rtp://225.1.2.25:10144
吉林卫视,rtp://225.1.2.35:10204
内蒙古卫视,rtp://225.1.2.38:10222
宁夏卫视,rtp://225.1.2.41:10240
山西卫视,rtp://225.1.2.37:10216
新疆卫视,rtp://225.1.2.43:10252
云南卫视,rtp://225.1.2.21:10120
青海卫视,rtp://225.1.2.39:10228
西藏卫视,rtp://225.1.2.42:10246
兵团卫视,rtp://225.1.2.98:10582
三沙卫视,rtp://225.1.2.225:11464
厦门卫视,rtp://225.1.2.96:10570
魅力时尚,rtp://225.1.2.145:10888
卡酷动画,rtp://225.1.2.45:10264
金鹰卡通,rtp://225.1.2.46:10270
国学频道,rtp://225.1.2.129:11674
中华特产,rtp://225.1.2.205:11788
嘉佳卡通,rtp://225.1.2.93:10552
北京卫视高清,rtp://225.1.2.49:10288
天津卫视高清,rtp://225.1.2.87:10516
河北卫视高清,rtp://225.1.2.106:11614
辽宁卫视高清,rtp://225.1.2.152:10930
吉林卫视高清,rtp://225.1.2.105:11608
黑龙江卫视高清,rtp://225.1.2.92:10546
江苏卫视高清,rtp://225.1.2.84:10498
浙江卫视高清,rtp://225.1.2.85:10504
安徽卫视高清,rtp://225.1.2.88:10522
江西卫视高清,rtp://225.1.2.77:11602
山东卫视高清,rtp://225.1.2.89:10528
山东教育,rtp://225.1.2.150:10918
商丘公共频道2,rtp://225.1.2.115:10708
商丘文体科教,rtp://225.1.2.157:10960
商丘新闻综合1,rtp://225.1.2.114:10702
湖北卫视高清,rtp://225.1.2.90:10534
湖南卫视高清,rtp://225.1.2.50:10294
广东卫视高清,rtp://225.1.2.151:10924
深圳卫视高清,rtp://225.1.2.91:10540
东方卫视高清,rtp://225.1.2.86:10510
重庆卫视高清,rtp://225.1.2.75:11590
四川卫视高清,rtp://225.1.2.108:11626
贵州卫视高清,rtp://225.1.2.109:11632
云南卫视高清,rtp://225.1.2.76:11596
海南卫视高清,rtp://225.1.2.107:11620
CCTV10高清,rtp://225.1.2.81:10480
CCTV11高清,rtp://225.1.2.220:11434
CCTV12高清,rtp://225.1.2.82:10486
CCTV13高清,rtp://225.1.2.74:11584
CCTV14高清,rtp://225.1.2.83:10492
CCTV15高清,rtp://225.1.2.221:11440
CCTV17农业,rtp://225.1.2.217:11236
CCTV17农业高清,rtp://225.1.2.53:10312
CCTV1高清,rtp://225.1.2.47:10276
CCTV2高清,rtp://225.1.2.78:10462
CCTV3高清,rtp://225.1.2.141:10864
CCTV4高清,rtp://225.1.2.197:11806
CCTV5高清,rtp://225.1.2.48:10282
CCTV6高清,rtp://225.1.2.143:10876
CCTV7高清,rtp://225.1.2.79:10468
CCTV8高清,rtp://225.1.2.144:10882
CCTV9高清,rtp://225.1.2.80:10474
CGTN英文记录,rtp://225.1.2.185:11836
IPTV3,rtp://225.1.2.146:10894
IPTV5,rtp://225.1.2.52:10306
IPTV5高清,rtp://225.1.2.153:10936
IPTV6,rtp://225.1.2.155:10948
IPTV8,rtp://225.1.2.51:10300
IPTV少儿动画,rtp://225.1.2.172:11050
IPTV法治,rtp://225.1.2.171:11044
IPTV热播剧场,rtp://225.1.2.173:11056
IPTV相声小品,rtp://225.1.2.169:11032
IPTV经典电影,rtp://225.1.2.167:11020
IPTV谍战剧场,rtp://225.1.2.168:11026
IPTV野外,rtp://225.1.2.170:11038
东南卫视高清,rtp://225.1.2.226:11470
中国教育1高清,rtp://225.1.2.94:10558
乒羽频道,rtp://225.1.2.213:11416
导视,rtp://225.1.2.241:11908
收视指南,rtp://225.1.2.55:10324
新动漫,rtp://225.1.2.211:11404
欢腾购物,rtp://225.1.2.73:11578
爱上4K,rtp://225.1.2.196:11194
精选频道,rtp://225.1.2.236:11524
足球频道,rtp://225.1.2.198:11392
金鹰纪实高清,rtp://225.1.2.97:10576
音乐现场,rtp://225.1.2.158:10966
高清纪实,rtp://225.1.2.154:10942
﻿# 2026/05/12 16:27
