# 2026/05/17 19:05
大理宾川HD,rtp://239.200.201.107:8350
大理巍山HD,rtp://239.200.201.147:8508
大理市电视HD,rtp://239.200.200.137:8512
大理弥渡HD,rtp://239.200.200.160:8342
大理文旅HD,rtp://239.200.201.3:8302
大理永平HD,rtp://239.200.201.108:8358
大理洱源HD,rtp://239.200.201.161:8374
大理漾濞县HD,rtp://239.200.200.190:8516
大理玉龙县HD,rtp://239.200.201.78:8244
大理祥云HD,rtp://239.200.201.169:8496
大理综合HD,rtp://239.200.201.4:8298
大理鹤庆HD,rtp://239.200.200.161:8382
德宏盈江县HD,rtp://239.200.201.46:8104
德宏综合HD,rtp://239.200.200.122:8608
德宏芒市HD,rtp://239.200.200.127:8616
德宏陇川HD,rtp://239.200.200.150:8650
迪庆综合HD,rtp://239.200.200.118:8440
迪庆藏语HD,rtp://239.200.200.149:8441
CCTV-1 综合 HD,rtp://239.200.200.113:8512
CCTV-1 综合 HD,rtp://239.200.200.119:8444
CCTV-1 综合 HD,rtp://239.200.200.120:8401
CCTV-1 综合 HD,rtp://239.200.200.123:8612
CCTV-1 综合 HD,rtp://239.200.200.125:8654
CCTV-1 综合 HD,rtp://239.200.200.136:8060
CCTV-1 综合 HD,rtp://239.200.200.169:8402
CCTV-1 综合 HD,rtp://239.200.200.196:8128
CCTV-1 综合 HD,rtp://239.200.200.204:8708
CCTV-1 综合 HD,rtp://239.200.200.206:8144
CCTV-1 综合 HD,rtp://239.200.200.209:8976
CCTV-1 综合 HD,rtp://239.200.200.212:8720
CCTV-1 综合 HD,rtp://239.200.200.93:8088
CCTV-1 综合 HD,rtp://239.200.200.94:8100
CCTV-1 综合 HD,rtp://239.200.200.97:8108
CCTV-1 综合 HD,rtp://239.200.201.111:8116
CCTV-1 综合 HD,rtp://239.200.201.116:8412
CCTV-1 综合 HD,rtp://239.200.201.146:8136
CCTV-1 综合 HD,rtp://239.200.201.167:8596
CCTV-1 综合 HD,rtp://239.200.201.174:8640
CCTV-1 综合 HD,rtp://239.200.201.177:8656
CCTV-1 综合 HD,rtp://239.200.201.189:8148
CCTV-1 综合 HD,rtp://239.200.201.202:8760
CCTV-1 综合 HD,rtp://239.200.201.208:8688
CCTV-1 综合 HD,rtp://239.200.201.210:8888
CCTV-1 综合 HD,rtp://239.200.201.211:8888
CCTV-1 综合 HD,rtp://239.200.201.41:8520
CGTN纪录,rtp://239.200.201.183:4220
CHC影迷电影,rtp://239.200.201.34:8148
IPTV1,rtp://239.200.200.81:1234
IPTV10,rtp://239.200.200.80:1234
IPTV2,rtp://239.200.200.79:1234
IPTV3,rtp://239.200.200.76:9004
IPTV4,rtp://239.200.200.71:8012
IPTV5,rtp://239.200.201.5:4120
IPTV6,rtp://239.200.201.81:4120
IPTV7,rtp://239.200.200.10:9008
channel VHD,rtp://239.200.200.131:8888
中华特产SD,rtp://239.200.201.155:8124
中国天气HD,rtp://239.200.200.213:8724
书法频道SD,rtp://239.200.201.133:8072
优优宝贝SD,rtp://239.200.201.173:8644
内蒙卫视,rtp://239.200.200.57:8296
凤凰中文HD,rtp://239.200.200.132:8876
凤凰资讯HD,rtp://239.200.200.133:8880
华数动漫,rtp://239.200.200.75:9000
华数电影1,rtp://239.200.200.77:9016
华数电影2,rtp://239.200.200.73:9024
华数电视剧1,rtp://239.200.200.72:9020
华数电视剧2,rtp://239.200.200.74:9012
华数电视剧3,rtp://239.200.200.11:8072
华数电视剧4,rtp://239.200.200.78:1234
嘉佳卡通SD,rtp://239.200.200.229:8372
四海钓鱼HD,rtp://239.200.201.171:8636
家有购物SD,rtp://239.200.200.228:9004
嵩明嵩明县HD,rtp://239.200.200.187:8616
康巴卫视HD,rtp://239.200.200.166:8128
收藏天下SD,rtp://239.200.201.214:8700
新动漫,rtp://239.200.201.32:4120
星空卫视HD,rtp://239.200.200.134:8884
未识别HD,rtp://239.200.200.207:8896
澜湄国际频道,rtp://239.200.200.33:8024
环球旅游SD,rtp://239.200.201.175:8652
生态环境SD,rtp://239.200.201.172:8648
电信宣传HD,rtp://239.200.201.151:8604
电信宣传HD,rtp://239.200.201.48:8820
禄丰市电视台,rtp://239.200.200.163:8798
西双版纳勐腊HD,rtp://239.200.201.54:8040
财富天下HD,rtp://239.200.201.178:8684
高网频道,rtp://239.200.200.89:8024
