# 2026/05/16 16:40
新闻,rtp://239.255.30.93:8231
港剧风云,rtp://239.255.30.77:8231
爱体育,rtp://239.255.30.186:8231
爱大剧,rtp://239.255.30.188:8231
爱电影,rtp://239.255.30.187:8231
爱综艺,rtp://239.255.30.185:8231
玉门综合,rtp://239.255.30.192:8231
瓜州综合,rtp://239.255.30.195:8231
皋兰电视台,rtp://239.255.30.236:8231
矿区生活,rtp://239.255.30.58:8231
纪实频道,rtp://239.255.30.129:8231
羽毛球精品赛事,rtp://239.255.29.31:8231
肃北综合,rtp://239.255.30.222:8231
肃州一台,rtp://239.255.30.226:8231
股评汇,rtp://239.255.30.75:8231
足球频道,rtp://239.255.29.25:8231
酒钢电视,rtp://239.255.30.94:8231
金塔,rtp://239.255.30.224:8231
阿克塞综合,rtp://239.255.30.161:8231
陇尚生活,rtp://239.255.30.73:8231
