# 补充IP列表 - 原文件: 广西电信.txt
# 生成时间: 2026-05-28 17:16:20
# 格式: C-D,rtp://A.B.C.D:端口

# ===== 网段: 239.81.0.x =====
# 已有IP: 218 个, 缺失IP: 36 个
# 规律: 固定端口 4056

1-124,rtp://239.81.1.124:4056
1-125,rtp://239.81.1.125:4056
1-126,rtp://239.81.1.126:4056
1-127,rtp://239.81.1.127:4056
1-128,rtp://239.81.1.128:4056
1-129,rtp://239.81.1.129:4056
1-130,rtp://239.81.1.130:4056
1-131,rtp://239.81.1.131:4056
1-132,rtp://239.81.1.132:4056
1-133,rtp://239.81.1.133:4056
1-134,rtp://239.81.1.134:4056
1-135,rtp://239.81.1.135:4056
1-136,rtp://239.81.1.136:4056
1-137,rtp://239.81.1.137:4056
1-138,rtp://239.81.1.138:4056
1-139,rtp://239.81.1.139:4056
1-140,rtp://239.81.1.140:4056
1-141,rtp://239.81.1.141:4056
1-142,rtp://239.81.1.142:4056
1-143,rtp://239.81.1.143:4056
1-144,rtp://239.81.1.144:4056
1-145,rtp://239.81.1.145:4056
1-146,rtp://239.81.1.146:4056
1-147,rtp://239.81.1.147:4056
1-148,rtp://239.81.1.148:4056
1-149,rtp://239.81.1.149:4056
1-150,rtp://239.81.1.150:4056
1-151,rtp://239.81.1.151:4056
1-152,rtp://239.81.1.152:4056
1-153,rtp://239.81.1.153:4056
1-154,rtp://239.81.1.154:4056
1-155,rtp://239.81.1.155:4056
1-156,rtp://239.81.1.156:4056
1-157,rtp://239.81.1.157:4056
1-158,rtp://239.81.1.158:4056
1-159,rtp://239.81.1.159:4056
1-160,rtp://239.81.1.160:4056
1-161,rtp://239.81.1.161:4056
1-162,rtp://239.81.1.162:4056
1-163,rtp://239.81.1.163:4056
1-164,rtp://239.81.1.164:4056
1-165,rtp://239.81.1.165:4056
1-166,rtp://239.81.1.166:4056
1-167,rtp://239.81.1.167:4056
1-168,rtp://239.81.1.168:4056
1-169,rtp://239.81.1.169:4056
1-170,rtp://239.81.1.170:4056
1-171,rtp://239.81.1.171:4056
1-172,rtp://239.81.1.172:4056
1-173,rtp://239.81.1.173:4056
1-174,rtp://239.81.1.174:4056
1-175,rtp://239.81.1.175:4056
1-176,rtp://239.81.1.176:4056
1-177,rtp://239.81.1.177:4056
1-178,rtp://239.81.1.178:4056
1-179,rtp://239.81.1.179:4056
1-180,rtp://239.81.1.180:4056
1-181,rtp://239.81.1.181:4056
1-182,rtp://239.81.1.182:4056
1-183,rtp://239.81.1.183:4056
1-184,rtp://239.81.1.184:4056
1-185,rtp://239.81.1.185:4056
1-186,rtp://239.81.1.186:4056
1-187,rtp://239.81.1.187:4056
1-188,rtp://239.81.1.188:4056
1-189,rtp://239.81.1.189:4056
1-190,rtp://239.81.1.190:4056
1-191,rtp://239.81.1.191:4056
1-192,rtp://239.81.1.192:4056
1-193,rtp://239.81.1.193:4056
1-194,rtp://239.81.1.194:4056
1-195,rtp://239.81.1.195:4056
1-196,rtp://239.81.1.196:4056
1-197,rtp://239.81.1.197:4056
1-198,rtp://239.81.1.198:4056
1-199,rtp://239.81.1.199:4056
1-200,rtp://239.81.1.200:4056
1-201,rtp://239.81.1.201:4056
1-202,rtp://239.81.1.202:4056
1-203,rtp://239.81.1.203:4056
1-204,rtp://239.81.1.204:4056
1-205,rtp://239.81.1.205:4056
1-206,rtp://239.81.1.206:4056
1-207,rtp://239.81.1.207:4056
1-208,rtp://239.81.1.208:4056
1-209,rtp://239.81.1.209:4056
1-210,rtp://239.81.1.210:4056
1-211,rtp://239.81.1.211:4056
1-212,rtp://239.81.1.212:4056
1-213,rtp://239.81.1.213:4056
1-214,rtp://239.81.1.214:4056
1-215,rtp://239.81.1.215:4056
1-216,rtp://239.81.1.216:4056
1-217,rtp://239.81.1.217:4056
1-218,rtp://239.81.1.218:4056
1-219,rtp://239.81.1.219:4056
1-220,rtp://239.81.1.220:4056
1-221,rtp://239.81.1.221:4056
1-222,rtp://239.81.1.222:4056
1-223,rtp://239.81.1.223:4056
1-224,rtp://239.81.1.224:4056
1-225,rtp://239.81.1.225:4056
1-226,rtp://239.81.1.226:4056
1-227,rtp://239.81.1.227:4056
1-228,rtp://239.81.1.228:4056
1-229,rtp://239.81.1.229:4056
1-230,rtp://239.81.1.230:4056
1-231,rtp://239.81.1.231:4056
1-232,rtp://239.81.1.232:4056
1-233,rtp://239.81.1.233:4056
1-234,rtp://239.81.1.234:4056
1-235,rtp://239.81.1.235:4056
1-236,rtp://239.81.1.236:4056
1-237,rtp://239.81.1.237:4056
1-238,rtp://239.81.1.238:4056
1-239,rtp://239.81.1.239:4056
1-240,rtp://239.81.1.240:4056
1-241,rtp://239.81.1.241:4056
1-242,rtp://239.81.1.242:4056
1-243,rtp://239.81.1.243:4056
1-244,rtp://239.81.1.244:4056
1-245,rtp://239.81.1.245:4056
1-246,rtp://239.81.1.246:4056
1-247,rtp://239.81.1.247:4056
1-248,rtp://239.81.1.248:4056
1-249,rtp://239.81.1.249:4056
1-250,rtp://239.81.1.250:4056
1-251,rtp://239.81.1.251:4056
1-252,rtp://239.81.1.252:4056
1-253,rtp://239.81.1.253:4056
1-254,rtp://239.81.1.254:4056

# ===== 总计补充: 289 个IP =====
