广东新闻,udp://239.20.0.112:2022
广东新闻,udp://239.21.0.93:3712
广东民生,udp://239.20.0.113:2024
广东珠江,udp://239.20.0.63:3148
广东珠江,udp://239.20.0.64:3144
广东珠江,udp://239.20.0.111:2020
广东经济科教,udp://239.20.0.98:3008
广东经济科教,udp://239.20.0.102:2002
广东经济科教,udp://239.20.0.191:2180
广东综艺-4K1,udp://239.20.0.59:3164
广东综艺-4K3,udp://239.20.0.61:3156
广东综艺-4K4,udp://239.20.0.62:3152
广西卫视,udp://239.20.0.15:3344
延边卫视,udp://239.20.0.51:3216
快乐垂钓,udp://239.21.0.121:3828
惠州公共,udp://239.21.0.28:3452
惠州综合,udp://239.21.0.27:3448
揭阳生活,udp://239.21.0.92:3708
揭阳电视台公共频道,udp://239.21.0.83:3672
揭阳电视台综合频道,udp://239.21.0.82:3668
揭阳综合,udp://239.21.0.91:3704
新疆卫视,udp://239.20.0.158:2114
早期教育,udp://239.21.0.106:3764
求索纪录,udp://239.21.0.118:3816
汕头文化,udp://239.21.0.103:3752
汕头生活,udp://239.21.0.102:3748
汕头综合,udp://239.21.0.101:3744
汕尾新闻综合,udp://239.21.0.89:3696
汕尾生活,udp://239.21.0.90:3700
江苏卫视,udp://239.20.0.93:3028
江苏卫视,udp://239.20.0.107:2012
江苏卫视,udp://239.20.0.170:2138
江西卫视,udp://239.20.0.55:3180
江西卫视,udp://239.20.0.138:2074
汽摩,udp://239.20.0.222:2242
河北卫视,udp://239.20.0.56:3176
河南卫视,udp://239.20.0.144:2086
河南卫视,udp://239.21.0.104:3756
河源公共,udp://239.21.0.49:3536
河源综合,udp://239.21.0.48:3532
浙江卫视,udp://239.20.0.94:3024
浙江卫视,udp://239.20.0.106:2010
浙江卫视,udp://239.20.0.169:2136
海南卫视,udp://239.20.0.155:2108
海南卫视,udp://239.21.0.134:3880
深圳卫视,udp://239.20.0.92:3032
深圳卫视,udp://239.20.0.122:2042
深圳卫视,udp://239.20.0.134:2066
湖北卫视,udp://239.20.0.90:3040
湖北卫视,udp://239.20.0.124:2046
湖南卫视,udp://239.20.0.95:3020
湖南卫视,udp://239.20.0.105:2008
湖南卫视,udp://239.20.0.135:2068
热播剧场,udp://239.20.0.235:2268
环球奇观,udp://239.20.0.245:2288
现代教育,udp://239.20.0.128:2054
现代教育,udp://239.21.0.148:3936
甘肃卫视,udp://239.20.0.159:2116
甘肃卫视,udp://239.21.0.141:3908
电影测试-4K,udp://239.21.0.129:3860
百视通直播室101,udp://239.20.0.42:3236
百视通直播室102,udp://239.20.0.41:3240
百视通直播室103,udp://239.20.0.40:3244
百视通直播室104,udp://239.20.0.39:3248
百视通直播室105,udp://239.20.0.38:3252
百视通直播室106,udp://239.20.0.37:3256
百视通直播室107,udp://239.20.0.36:3260
移动频道,udp://239.20.0.133:2064
纪实人文,udp://239.20.0.57:3172
经典电影,udp://239.20.0.233:2264
老故事,udp://239.20.0.227:2252
茶频道,udp://239.21.0.120:3824
西藏卫视,udp://239.20.0.157:2112
财富天下,udp://239.20.0.167:2132
贵州卫视,udp://239.20.0.212:2222
辽宁卫视,udp://239.20.0.86:3056
辽宁卫视,udp://239.20.0.175:2148
重庆卫视,udp://239.20.0.195:2188
金鹰卡通,udp://239.20.0.163:2124
金鹰卡通,udp://239.21.0.115:3804
金鹰纪实,udp://239.20.0.85:3060
金鹰纪实,udp://239.20.0.196:2190
陕西卫视,udp://239.20.0.151:2100
青海卫视,udp://239.20.0.154:2106
青海卫视,udp://239.21.0.144:3920
魅力时尚,udp://239.20.0.239:2276
黑龙江卫视,udp://239.20.0.91:3036
黑龙江卫视,udp://239.20.0.123:2044
﻿#2026/05/1616:40,
