# 2026/05/14 20:35
四川卫视,rtp://239.37.0.41:5540
海南卫视,rtp://239.37.0.035:5540
海南卫视,rtp://239.37.0.102:5540
甘肃卫视,rtp://239.37.0.034:5540
甘肃卫视,rtp://239.37.0.34:5540
甘肃卫视,rtp://239.37.1.30:5540
广西卫视,rtp://239.37.0.051:5540
广西卫视,rtp://239.37.0.51:5540
广西卫视,rtp://239.37.1.23:5540
贵州卫视,rtp://239.37.0.058:5540
贵州卫视,rtp://239.37.0.157:5540
贵州卫视,rtp://239.37.0.58:5540
黑龙江卫视,rtp://239.37.0.032:5540
黑龙江卫视,rtp://239.37.0.13:5540
江西卫视,rtp://239.37.0.043:5540
江西卫视,rtp://239.37.0.156:5540
内蒙古卫视,rtp://239.37.0.036:5540
内蒙古卫视,rtp://239.37.0.36:5540
宁夏卫视,rtp://239.37.0.066:5540
宁夏卫视,rtp://239.37.0.66:5540
山西卫视,rtp://239.37.0.053:5540
山西卫视,rtp://239.37.0.53:5540
新疆卫视,rtp://239.37.0.039:5540
新疆卫视,rtp://239.37.0.39:5540
云南卫视,rtp://239.37.0.063:5540
云南卫视,rtp://239.37.0.63:5540
青海卫视,rtp://239.37.0.057:5540
青海卫视,rtp://239.37.0.104:5540
青海卫视,rtp://239.37.0.57:5540
西藏卫视,rtp://239.37.0.054:5540
西藏卫视,rtp://239.37.0.54:5540
兵团卫视,rtp://239.37.0.059:5540
兵团卫视,rtp://239.37.0.59:5540
三沙卫视,rtp://239.37.0.200:5540
三沙卫视,rtp://239.37.0.201:5540
延边卫视,rtp://239.37.0.116:5540
纪实科教,rtp://239.37.0.101:5540
北京卡酷少儿,rtp://239.37.0.60:5540
卡酷少儿,rtp://239.37.0.060:5540
电竞天堂,rtp://239.37.0.140:5540
快乐垂钓,rtp://239.37.0.244:5540
茶频道,rtp://239.37.0.245:5540
金鹰纪实,rtp://239.37.0.161:5540
金鹰卡通,rtp://239.37.0.061:5540
金鹰卡通,rtp://239.37.0.61:5540
金鹰卡通,rtp://239.37.1.19:5540
梨园频道,rtp://239.37.0.088:5540
梨园频道,rtp://239.37.0.228:5540
梨园频道,rtp://239.37.0.88:5540
武术世界,rtp://239.37.0.076:5540
武术世界,rtp://239.37.0.76:5540
文物宝库,rtp://239.37.0.92:5540
国学频道,rtp://239.37.0.093:5540
国学频道,rtp://239.37.0.93:5540
法治天地,rtp://239.37.0.238:5540
生活时尚,rtp://239.37.0.240:5540
都市剧场,rtp://239.37.0.241:5540
游戏风云,rtp://239.37.0.243:5540
动漫秀场,rtp://239.37.0.242:5540
金色学堂,rtp://239.37.0.239:5540
哈哈炫动,rtp://239.37.0.065:5540
哈哈炫动,rtp://239.37.0.65:5540
嘉佳卡通,rtp://239.37.0.067:5540
嘉佳卡通,rtp://239.37.0.67:5540
中国交通,rtp://239.37.0.226:5540
环球奇观,rtp://239.37.0.070:5540
环球奇观,rtp://239.37.0.105:5540
环球奇观,rtp://239.37.0.70:5540
极速汽车,rtp://239.37.0.237:5540
好享购物,rtp://239.37.0.185:5540
央广购物,rtp://239.37.0.184:5540
优购物,rtp://239.37.0.182:5540
家有购物,rtp://239.37.0.110:5540
北京卫视4K超高清,rtp://239.37.0.109:5540
天津普清,rtp://239.37.0.64:5540
四平1,rtp://239.37.0.130:5540
四平2,rtp://239.37.0.131:5540
白山新闻综合1,rtp://239.37.0.137:5540
白山旅游生活2,rtp://239.37.0.138:5540
松原生活频道,rtp://239.37.0.247:5540
松原综合频道,rtp://239.37.0.246:5540
白城公共,rtp://239.37.0.136:5540
白城新闻,rtp://239.37.0.135:5540
延边TV1,rtp://239.37.0.248:5540
延边TV2,rtp://239.37.0.249:5540
上海乐游频道,rtp://239.37.0.236:5540
BesTV游戏,rtp://239.37.0.162:5540
CCTV-17农村农业,rtp://239.37.0.23:5540
CCTV中学生普清,rtp://239.37.0.95:5540
CCTV卫生健康,rtp://239.37.0.229:5540
CCTV文化精品,rtp://239.37.0.083:5540
CGTN纪录（英）,rtp://239.37.0.24:5540
CHC影迷电影,rtp://239.37.0.187:5540
CRT娱乐,rtp://239.37.0.97:5540
CRT市民,rtp://239.37.0.98:5540
CRT汽车,rtp://239.37.0.100:5540
CRT经济,rtp://239.37.0.99:5540
CRT综合,rtp://239.37.0.96:5540
DFTV综合,rtp://239.37.0.179:5540
DV生活普清,rtp://239.37.0.89:5540
TTV1,rtp://239.37.0.132:5540
TTV2,rtp://239.37.0.133:5540
TTV3,rtp://239.37.0.134:5540
TTV洮南1,rtp://239.37.0.218:5540
crt娱乐,rtp://239.37.0.097:5540
crt市民,rtp://239.37.0.098:5540
crt经济,rtp://239.37.0.099:5540
crt综合,rtp://239.37.0.096:5540
tv1,rtp://239.37.0.167:5540
东北戏曲,rtp://239.37.1.9:5540
乾安综合,rtp://239.37.0.181:5540
体育赛事,rtp://239.37.0.225:5540
农安综合,rtp://239.37.0.144:5540
前郭TV1,rtp://239.37.0.146:5540
双辽,rtp://239.37.0.169:5540
双阳综合,rtp://239.37.1.24:5540
吉视乡村,rtp://239.37.1.5:5540
吉视公共.新闻,rtp://239.37.1.6:5540
吉视影视,rtp://239.37.1.3:5540
吉视生活,rtp://239.37.1.4:5540
吉视都市,rtp://239.37.1.2:5540
咪咕体育,rtp://239.37.0.194:5540
图门电视台,rtp://239.37.0.166:5540
大安新闻,rtp://239.37.0.177:5540
幸福剧场,rtp://239.37.0.222:5540
幸福娱乐,rtp://239.37.0.223:5540
广告购物,rtp://239.37.0.253:5540
扶余电视台,rtp://239.37.0.180:5540
敦化,rtp://239.37.1.29:5540
文化宝库,rtp://239.37.0.092:5540
新动漫,rtp://239.37.0.106:5540
新闻综合,rtp://239.37.0.250:5540
旅游卫视,rtp://239.37.0.35:5540
