# 补充IP列表 - 原文件: 湖南移动.txt
# 生成时间: 2026-05-28 17:17:17
# 格式: C-D,rtp://A.B.C.D:端口

# ===== 网段: 239.1.0.x =====
# 已有IP: 124 个, 缺失IP: 130 个
# 规律: 固定端口 1025

1-29,rtp://239.1.1.29:1025
1-30,rtp://239.1.1.30:1025
1-31,rtp://239.1.1.31:1025
1-32,rtp://239.1.1.32:1025
1-33,rtp://239.1.1.33:1025
1-40,rtp://239.1.1.40:1025
1-41,rtp://239.1.1.41:1025
1-42,rtp://239.1.1.42:1025
1-43,rtp://239.1.1.43:1025
1-44,rtp://239.1.1.44:1025
1-45,rtp://239.1.1.45:1025
1-63,rtp://239.1.1.63:1025
1-64,rtp://239.1.1.64:1025
1-65,rtp://239.1.1.65:1025
1-66,rtp://239.1.1.66:1025
1-68,rtp://239.1.1.68:1025
1-69,rtp://239.1.1.69:1025
1-70,rtp://239.1.1.70:1025
1-71,rtp://239.1.1.71:1025
1-72,rtp://239.1.1.72:1025
1-73,rtp://239.1.1.73:1025
1-74,rtp://239.1.1.74:1025
1-75,rtp://239.1.1.75:1025
1-76,rtp://239.1.1.76:1025
1-77,rtp://239.1.1.77:1025
1-78,rtp://239.1.1.78:1025
1-79,rtp://239.1.1.79:1025
1-80,rtp://239.1.1.80:1025
1-81,rtp://239.1.1.81:1025
1-82,rtp://239.1.1.82:1025
1-83,rtp://239.1.1.83:1025
1-84,rtp://239.1.1.84:1025
1-85,rtp://239.1.1.85:1025
1-86,rtp://239.1.1.86:1025
1-87,rtp://239.1.1.87:1025
1-88,rtp://239.1.1.88:1025
1-89,rtp://239.1.1.89:1025
1-90,rtp://239.1.1.90:1025
1-91,rtp://239.1.1.91:1025
1-92,rtp://239.1.1.92:1025
1-93,rtp://239.1.1.93:1025
1-94,rtp://239.1.1.94:1025
1-95,rtp://239.1.1.95:1025
1-96,rtp://239.1.1.96:1025
1-97,rtp://239.1.1.97:1025
1-98,rtp://239.1.1.98:1025
1-99,rtp://239.1.1.99:1025
1-100,rtp://239.1.1.100:1025
1-101,rtp://239.1.1.101:1025
1-102,rtp://239.1.1.102:1025
1-103,rtp://239.1.1.103:1025
1-104,rtp://239.1.1.104:1025
1-105,rtp://239.1.1.105:1025
1-106,rtp://239.1.1.106:1025
