古装剧场HD,rtp://228.1.1.150:4120
吉林卫视HD,rtp://228.1.1.214:8172
喜剧影院HD,rtp://228.1.1.172:4120
嘉佳卡通,rtp://228.1.1.93:9268
四川卫视,rtp://228.1.1.77:8288
四川卫视4K,rtp://228.1.1.47:3000
国学HD,rtp://228.1.1.158:4120
城市剧场HD,rtp://228.1.1.148:4120
墨宝,rtp://228.1.1.164:4120
大湾区卫视,rtp://228.1.1.142:8002
天津卫视HD,rtp://228.1.1.15:1234
好学生,rtp://228.1.1.162:4120
宁夏卫视,rtp://228.1.1.49:8124
宁夏卫视HD,rtp://228.1.1.244:8212
安徽卫视HD,rtp://228.1.1.21:8064
家庭影院HD,rtp://228.1.1.174:4120
密云电视台[高清],rtp://228.1.1.62:8002
山东卫视4K,rtp://228.1.1.46:3006
山东卫视HD,rtp://228.1.1.18:8052
山东教育,rtp://228.1.1.96:4120
山西卫视,rtp://228.1.1.58:8172
平谷融媒[高清],rtp://228.1.1.50:8002
广东卫视4K,rtp://228.1.1.241:2000
广东卫视HD,rtp://228.1.1.17:8048
广西卫视,rtp://228.1.1.80:8300
延庆电视台,rtp://228.1.1.219:8002
快乐垂钓HD,rtp://228.1.1.144:8002
戏曲,rtp://228.1.1.159:4120
新疆卫视,rtp://228.1.1.56:8160
新疆卫视HD,rtp://228.1.1.246:8192
早教,rtp://228.1.1.160:4120
星影HD,rtp://228.1.1.175:4120
武侠剧场HD,rtp://228.1.1.171:4120
武术,rtp://228.1.1.168:4120
江苏卫视4K,rtp://228.1.1.41:3002
江苏卫视HD,rtp://228.1.1.37:8028
江西卫视HD,rtp://228.1.1.211:8164
河北卫视HD,rtp://228.1.1.187:8072
河南卫视HD,rtp://228.1.1.236:8184
法治天地,rtp://228.1.1.230:8002
浙江卫视4K,rtp://228.1.1.45:3004
浙江卫视HD,rtp://228.1.1.13:8036
海南卫视,rtp://228.1.1.81:8304
淘babyHD,rtp://228.1.1.128:8001
淘剧场HD,rtp://228.1.1.126:8001
淘娱乐HD,rtp://228.1.1.133:8001
淘电影,rtp://228.1.1.120:8002
淘电影HD,rtp://228.1.1.124:8001
深圳卫视4K,rtp://228.1.1.240:2000
深圳卫视HD,rtp://228.1.1.36:8020
游戏风云,rtp://228.1.1.229:8002
湖北卫视HD,rtp://228.1.1.16:8044
湖南卫视4K,rtp://228.1.1.40:3002
湖南卫视HD,rtp://228.1.1.33:8012
爱上4K,rtp://228.1.1.38:2000
爱生活,rtp://228.1.1.167:4120
甘肃卫视,rtp://228.1.1.61:8188
甘肃卫视HD,rtp://228.1.1.242:8180
生活时尚,rtp://228.1.1.228:8002
睛彩广场舞HD,rtp://228.1.1.226:8002
睛彩竞技HD,rtp://228.1.1.223:8002
睛彩篮球HD,rtp://228.1.1.224:8002
睛彩青少HD,rtp://228.1.1.225:8002
精选HD,rtp://228.1.1.155:4120
纪实人文,rtp://228.1.1.20:8060
美人,rtp://228.1.1.154:4120
美妆,rtp://228.1.1.153:4120
茶频道,rtp://228.1.1.202:8002
茶频道HD,rtp://228.1.1.145:8002
萌宠TVHD,rtp://228.1.1.135:8002
西藏卫视,rtp://228.1.1.57:8164
西藏卫视HD,rtp://228.1.1.245:8188
解密,rtp://228.1.1.156:4120
财富天下,rtp://228.1.1.90:9136
贵州卫视HD,rtp://228.1.1.188:8076
足球,rtp://228.1.1.170:4120
辽宁卫视HD,rtp://228.1.1.19:8056
通州融媒[高清],rtp://228.1.1.63:8002
都市剧场,rtp://228.1.1.231:8002
重庆卫视HD,rtp://228.1.1.210:8160
重温经典HD,rtp://228.1.1.237:8002
金鹰卡通,rtp://228.1.1.92:9252
金鹰纪实HD,rtp://228.1.1.34:8156
鉴赏,rtp://228.1.1.163:4120
门头沟电视台[高清],rtp://228.1.1.64:8002
陕西卫视,rtp://228.1.1.53:8140
青海卫视,rtp://228.1.1.60:8184
音乐现场,rtp://228.1.1.151:4120
风尚生活,rtp://228.1.1.152:4120
魅力足球,rtp://228.1.1.233:8002
黑龙江卫视HD,rtp://228.1.1.35:8016
﻿# 2026/05/16 16:40,
