# 2026/05/14 20:35
生活时尚,rtp://239.10.0.102:5140
都市剧场,rtp://239.10.0.106:5140
游戏风云,rtp://239.10.0.103:5140
动漫秀场,rtp://239.10.0.101:5140
欢笑剧场,rtp://239.10.0.129:5140
纪实人文,rtp://239.10.0.192:5140
金色学堂,rtp://239.10.0.179:5140
哈哈炫动,rtp://239.11.0.64:5140
嘉佳卡通,rtp://239.11.0.203:5140
优漫卡通,rtp://239.11.0.63:5140
中学生,rtp://239.11.0.247:5140
中国天气,rtp://239.10.0.177:5140
中国交通,rtp://239.10.0.143:5140
睛彩竞技,rtp://239.10.0.224:5140
睛彩篮球,rtp://239.11.0.122:5140
睛彩青少,rtp://239.10.0.130:5140
睛彩广场舞,rtp://239.10.0.131:5140
聚鲨环球精选,rtp://239.10.0.228:5140
好享购物,rtp://239.10.0.231:5140
北京卫视4K超高清,rtp://239.10.0.91:5140
北京卫视4K超高清,rtp://239.10.0.92:5140
上海乐游频道,rtp://239.10.0.105:5140
江苏篮球,rtp://239.10.0.166:5140
BEST体育,rtp://239.11.0.235:5140
BEST体育,rtp://239.11.0.237:5140
BEST体育,rtp://239.11.0.238:5140
BesTV,rtp://239.11.0.234:5140
CCTV16_4K,rtp://239.11.0.67:5140
CDTV1综合,rtp://239.10.0.11:5140
CDTV2经济,rtp://239.10.0.12:5140
CDTV3生活,rtp://239.10.0.13:5140
CDTV4影视,rtp://239.10.0.14:5140
CDTV5公共,rtp://239.10.0.15:5140
CDTV6少儿,rtp://239.10.0.16:5140
CDTV8购物,rtp://239.10.0.33:5140
CGTN纪录,rtp://239.11.0.138:5140
CHC影迷电影,rtp://239.10.0.88:5140
CHD爱电影,rtp://239.10.0.191:5140
ChannelV,rtp://239.11.0.155:5140
HOT爱体育,rtp://239.10.0.170:5140
HOT爱动漫,rtp://239.10.0.165:5140
HOT爱奇谈,rtp://239.10.0.162:5140
HOT爱家庭,rtp://239.10.0.155:5140
HOT爱怀旧,rtp://239.10.0.161:5140
HOT爱悬疑,rtp://239.10.0.149:5140
HOT爱探索,rtp://239.10.0.171:5140
HOT爱浪漫,rtp://239.10.0.148:5140
HOT爱科学,rtp://239.10.0.172:5140
HOT爱科幻,rtp://239.10.0.146:5140
HOT爱谍战,rtp://239.10.0.152:5140
HOT爱都市,rtp://239.10.0.154:5140
HOT爱院线,rtp://239.10.0.147:5140
HOT爱青春,rtp://239.10.0.160:5140
HOT经典,rtp://239.10.0.151:5140
IPTV国学,rtp://239.10.0.186:5140
IPTV地理,rtp://239.10.0.190:5140
IPTV戏曲,rtp://239.10.0.150:5140
IPTV高网,rtp://239.10.0.164:5140
NEWTV健康有约,rtp://239.11.0.133:5140
NEWTV军事评论,rtp://239.11.0.136:5140
NEWTV军旅剧场,rtp://239.11.0.143:5140
NEWTV农业致富,rtp://239.11.0.137:5140
NEWTV动作电影,rtp://239.11.0.142:5140
NEWTV古装剧场,rtp://239.11.0.141:5140
NEWTV家庭剧场,rtp://239.11.0.131:5140
NEWTV惊悚悬疑,rtp://239.11.0.144:5140
