# 补充IP列表 - 原文件: 江西电信.txt
# 生成时间: 2026-05-28 17:16:21
# 格式: C-D,rtp://A.B.C.D:端口

# ===== 网段: 239.252.219.x =====
# 已有IP: 121 个, 缺失IP: 133 个
# 规律: 固定端口 5140

220-26,rtp://239.252.220.26:5140
220-27,rtp://239.252.220.27:5140
220-28,rtp://239.252.220.28:5140
220-29,rtp://239.252.220.29:5140
220-30,rtp://239.252.220.30:5140
220-31,rtp://239.252.220.31:5140
220-32,rtp://239.252.220.32:5140
220-33,rtp://239.252.220.33:5140
220-34,rtp://239.252.220.34:5140
220-35,rtp://239.252.220.35:5140
220-36,rtp://239.252.220.36:5140
220-37,rtp://239.252.220.37:5140
220-38,rtp://239.252.220.38:5140
220-39,rtp://239.252.220.39:5140
220-40,rtp://239.252.220.40:5140
220-41,rtp://239.252.220.41:5140
220-42,rtp://239.252.220.42:5140
220-43,rtp://239.252.220.43:5140
220-44,rtp://239.252.220.44:5140
220-45,rtp://239.252.220.45:5140
220-46,rtp://239.252.220.46:5140
220-48,rtp://239.252.220.48:5140
220-49,rtp://239.252.220.49:5140
220-50,rtp://239.252.220.50:5140
220-51,rtp://239.252.220.51:5140
220-52,rtp://239.252.220.52:5140
220-53,rtp://239.252.220.53:5140
220-54,rtp://239.252.220.54:5140
220-55,rtp://239.252.220.55:5140
220-56,rtp://239.252.220.56:5140
220-57,rtp://239.252.220.57:5140
220-58,rtp://239.252.220.58:5140
220-59,rtp://239.252.220.59:5140
220-60,rtp://239.252.220.60:5140
220-64,rtp://239.252.220.64:5140
220-65,rtp://239.252.220.65:5140
220-66,rtp://239.252.220.66:5140
220-67,rtp://239.252.220.67:5140
220-68,rtp://239.252.220.68:5140
220-69,rtp://239.252.220.69:5140
220-70,rtp://239.252.220.70:5140
220-71,rtp://239.252.220.71:5140
220-72,rtp://239.252.220.72:5140
220-78,rtp://239.252.220.78:5140
220-80,rtp://239.252.220.80:5140
220-81,rtp://239.252.220.81:5140
220-84,rtp://239.252.220.84:5140
220-95,rtp://239.252.220.95:5140
220-96,rtp://239.252.220.96:5140
220-97,rtp://239.252.220.97:5140
220-98,rtp://239.252.220.98:5140
220-99,rtp://239.252.220.99:5140
220-101,rtp://239.252.220.101:5140
220-103,rtp://239.252.220.103:5140
220-104,rtp://239.252.220.104:5140
220-105,rtp://239.252.220.105:5140
220-106,rtp://239.252.220.106:5140
220-107,rtp://239.252.220.107:5140
220-108,rtp://239.252.220.108:5140
220-112,rtp://239.252.220.112:5140
220-113,rtp://239.252.220.113:5140
220-114,rtp://239.252.220.114:5140
220-115,rtp://239.252.220.115:5140
220-116,rtp://239.252.220.116:5140
220-117,rtp://239.252.220.117:5140
220-118,rtp://239.252.220.118:5140
220-119,rtp://239.252.220.119:5140
220-120,rtp://239.252.220.120:5140
220-121,rtp://239.252.220.121:5140
220-130,rtp://239.252.220.130:5140
220-131,rtp://239.252.220.131:5140
220-133,rtp://239.252.220.133:5140
220-134,rtp://239.252.220.134:5140
220-147,rtp://239.252.220.147:5140
220-148,rtp://239.252.220.148:5140
220-149,rtp://239.252.220.149:5140
220-151,rtp://239.252.220.151:5140
220-152,rtp://239.252.220.152:5140
220-153,rtp://239.252.220.153:5140
220-156,rtp://239.252.220.156:5140
220-159,rtp://239.252.220.159:5140
220-161,rtp://239.252.220.161:5140
220-162,rtp://239.252.220.162:5140
220-163,rtp://239.252.220.163:5140
220-164,rtp://239.252.220.164:5140
220-165,rtp://239.252.220.165:5140
220-166,rtp://239.252.220.166:5140
220-167,rtp://239.252.220.167:5140
220-168,rtp://239.252.220.168:5140
220-169,rtp://239.252.220.169:5140
220-170,rtp://239.252.220.170:5140
220-171,rtp://239.252.220.171:5140
220-172,rtp://239.252.220.172:5140
220-173,rtp://239.252.220.173:5140
220-174,rtp://239.252.220.174:5140
220-175,rtp://239.252.220.175:5140
