河北电信-组播1,#genre#
湖南金鹰纪实,http://111.226.211.32:8188/rtp/239.254.200.189:6293
湖南金鹰卡通,http://111.226.211.32:8188/rtp/239.254.200.92:9252
广东嘉佳卡通,http://111.226.211.32:8188/rtp/239.254.201.201:7269
贵州天元围棋,http://111.226.211.32:8188/rtp/239.254.201.156:6270

北京卫视4K超,http://111.226.211.32:8188/rtp/239.254.201.68:6000
石家庄城市服务,http://111.226.211.32:8188/rtp/239.254.200.30:6000
石家庄文化娱乐,http://111.226.211.32:8188/rtp/239.254.200.29:6000
石家庄新闻综合,http://111.226.211.32:8188/rtp/239.254.200.157:6000
唐山公共频道,http://111.226.211.32:8188/rtp/239.254.200.169:6000
唐山影视频道,http://111.226.211.32:8188/rtp/239.254.200.168:6000
唐山新闻综合,http://111.226.211.32:8188/rtp/239.254.200.166:6000
唐山生活服务,http://111.226.211.32:8188/rtp/239.254.200.167:6000
秦皇岛公共频道,http://111.226.211.32:8188/rtp/239.254.200.40:6000
秦皇岛新闻综合,http://111.226.211.32:8188/rtp/239.254.200.39:6000
邯郸公共频道,http://111.226.211.32:8188/rtp/239.254.200.154:6000
邯郸新闻综合,http://111.226.211.32:8188/rtp/239.254.200.153:6000
邯郸科技教育,http://111.226.211.32:8188/rtp/239.254.200.155:6000
邢台城市生活,http://111.226.211.32:8188/rtp/239.254.200.152:6000
邢台综合频道,http://111.226.211.32:8188/rtp/239.254.200.150:6000
保定公共频道,http://111.226.211.32:8188/rtp/239.254.200.145:6000
保定新闻综合,http://111.226.211.32:8188/rtp/239.254.200.144:6000
保定生活健康,http://111.226.211.32:8188/rtp/239.254.200.146:6000
张家口公共,http://111.226.211.32:8188/rtp/239.254.200.36:6000
张家口新闻综合,http://111.226.211.32:8188/rtp/239.254.200.35:6000
承德新闻综合,http://111.226.211.32:8188/rtp/239.254.200.32:6000
承德旅游文化,http://111.226.211.32:8188/rtp/239.254.200.33:6000
沧州公共频道,http://111.226.211.32:8188/rtp/239.254.200.43:6000
沧州影视娱乐,http://111.226.211.32:8188/rtp/239.254.200.44:6000
沧州新闻综合,http://111.226.211.32:8188/rtp/239.254.200.42:6000
廊坊新闻综合,http://111.226.211.32:8188/rtp/239.254.200.183:6000
廊坊生活频道,http://111.226.211.32:8188/rtp/239.254.200.184:6000
