山东联通-组播1,#genre#
CGTN英语,http://39.77.22.252:4002/rtp/239.253.254.189:8000
CGTN法语,http://39.77.22.252:4002/rtp/239.253.254.183:8000
CGTN俄语,http://39.77.22.252:4002/rtp/239.253.254.185:8000
CGTN纪录,http://39.77.22.252:4002/rtp/239.253.254.188:8000
CETV-1综合教育,http://39.77.22.252:4002/rtp/239.253.254.110:8000
CETV-4职业教育,http://39.77.22.252:4002/rtp/239.253.254.116:8000
CHC家庭影院,http://39.77.22.252:4002/rtp/239.253.254.152:8000
CHC影迷电影,http://39.77.22.252:4002/rtp/239.253.254.154:8000
CHC动作电影,http://39.77.22.252:4002/rtp/239.253.254.153:8000
中国交通,http://39.77.22.252:4002/rtp/239.253.254.177:8000
北京卡酷少儿,http://39.77.22.252:4002/rtp/239.253.254.66:8000
上海东方财经,http://39.77.22.252:4002/rtp/239.253.254.94:8000
上海动漫秀场,http://39.77.22.252:4002/rtp/239.253.254.115:8000
上海游戏风云,http://39.77.22.252:4002/rtp/239.253.254.95:8000
上海法治天地,http://39.77.22.252:4002/rtp/239.253.254.96:8000
上海都市剧场,http://39.77.22.252:4002/rtp/239.253.254.98:8000
上海金色学堂,http://39.77.22.252:4002/rtp/239.253.254.101:8000
上海生活时尚,http://39.77.22.252:4002/rtp/239.253.254.99:8000
上海魅力足球,http://39.77.22.252:4002/rtp/239.253.254.100:8000
河南武术世界,http://39.77.22.252:4002/rtp/239.253.254.140:8000
河南文物宝库,http://39.77.22.252:4002/rtp/239.253.254.141:8000
湖北精彩影视,http://39.77.22.252:4002/rtp/239.253.254.142:8000
湖北快乐垂钓,http://39.77.22.252:4002/rtp/239.253.254.144:8000
湖南茶频道,http://39.77.22.252:4002/rtp/239.253.254.143:8000
湖南金鹰纪实,http://39.77.22.252:4002/rtp/239.253.254.103:8000
湖南金鹰卡通,http://39.77.22.252:4002/rtp/239.253.254.117:8000

青岛QTV1,http://39.77.22.252:4002/rtp/239.253.254.249:8000
