云南电信-组播1,#genre#
IPTV5,http://106.59.2.96:55555/udp/239.200.201.5:4120
IPTV6,http://106.59.2.96:55555/udp/239.200.201.81:4120
IPTV7,http://106.59.2.96:55555/rtp/239.200.200.10:9008
北京四海钓鱼,http://106.59.2.96:55555/udp/239.200.201.171:8636
北京纪实科教,http://106.59.2.96:55555/rtp/239.200.200.147:8728
北京卡酷少儿,http://106.59.2.96:55555/rtp/239.200.200.64:8324
辽宁新动漫,http://106.59.2.96:55555/rtp/239.200.201.32:4120
上海多彩文体4K,http://106.59.2.96:55555/udp/239.200.200.216:8728
江苏财富天下,http://106.59.2.96:55555/udp/239.200.201.178:8684
河南武术世界,http://106.59.2.96:55555/rtp/239.200.200.90:8064
河南文物宝库,http://106.59.2.96:55555/rtp/239.200.200.96:8112
湖北快乐垂钓,http://106.59.2.96:55555/rtp/239.200.200.103:8400
湖南先锋乒羽,http://106.59.2.96:55555/rtp/239.200.201.33:4120
湖南茶频道,http://106.59.2.96:55555/rtp/239.200.201.36:8404
湖南金鹰纪实,http://106.59.2.96:55555/rtp/239.200.201.126:8840
湖南金鹰卡通,http://106.59.2.96:55555/rtp/239.200.200.65:8328
重庆汽摩,http://106.59.2.96:55555/rtp/239.200.200.98:8052

宝山综合HD,http://106.59.2.96:55555/udp/239.200.200.121:8400
宝山腾冲县HD,http://106.59.2.96:55555/udp/239.200.201.72:8262
河南梨园频道,http://106.59.2.96:55555/rtp/239.200.200.101:8048
昆明宜良县HD,http://106.59.2.96:55555/udp/239.200.200.188:8608
昆明影视综艺HD,http://106.59.2.96:55555/udp/239.200.200.114:8516
昆明教育HD,http://106.59.2.96:55555/udp/239.200.201.144:8844
昆明春城民生HD,http://106.59.2.96:55555/udp/239.200.200.115:8520
昆明晋宁区HD,http://106.59.2.96:55555/udp/239.200.200.192:8624
昆明科学教育HD,http://106.59.2.96:55555/udp/239.200.200.112:8508
昆明经济生活HD,http://106.59.2.96:55555/udp/239.200.200.16:8504
昆明综合HD,http://106.59.2.96:55555/udp/239.200.200.17:8500
曲靖会泽HD,http://106.59.2.96:55555/udp/239.200.201.84:8156
曲靖师宗HD,http://106.59.2.96:55555/udp/239.200.201.110:8140
曲靖沾益HD,http://106.59.2.96:55555/udp/239.200.201.188:8108
曲靖罗平县HD,http://106.59.2.96:55555/udp/239.200.201.73:8124
曲靖马龙HD,http://106.59.2.96:55555/udp/239.200.201.152:8164
玉溪元江HD,http://106.59.2.96:55555/udp/239.200.201.150:8540
玉溪华宁HD,http://106.59.2.96:55555/udp/239.200.201.193:8572
玉溪峨山HD,http://106.59.2.96:55555/udp/239.200.201.194:8564
玉溪新平HD,http://106.59.2.96:55555/udp/239.200.201.198:8568
玉溪易门HD,http://106.59.2.96:55555/udp/239.200.201.195:8576
玉溪江川HD,http://106.59.2.96:55555/udp/239.200.201.197:8544
玉溪澄江HD,http://106.59.2.96:55555/udp/239.200.201.196:8548
玉溪红塔HD,http://106.59.2.96:55555/udp/239.200.200.211:8540
玉溪通海HD,http://106.59.2.96:55555/udp/239.200.201.192:8552
保山施甸HD,http://106.59.2.96:55555/udp/239.200.201.83:8278
保山隆阳HD,http://106.59.2.96:55555/udp/239.200.201.94:8258
保山龙陵HD,http://106.59.2.96:55555/udp/239.200.201.55:8270
昭通3HD,http://106.59.2.96:55555/udp/239.200.200.164:8152
昭通大关HD,http://106.59.2.96:55555/udp/239.200.200.208:8190
昭通威信HD,http://106.59.2.96:55555/udp/239.200.200.226:8214
昭通彝良SD,http://106.59.2.96:55555/udp/239.200.200.175:8360
昭通盐津HD,http://106.59.2.96:55555/udp/239.200.200.203:8198
昭通绥江县HD,http://106.59.2.96:55555/udp/239.200.200.189:8206
丽江华坪HD,http://106.59.2.96:55555/udp/239.200.201.201:8421
丽江永胜HD,http://106.59.2.96:55555/udp/239.200.200.157:8416
普洱墨江HD,http://106.59.2.96:55555/udp/239.200.201.200:8440
