云南电信-组播1,#genre#
华数电视剧4,http://106.57.0.246:55555/rtp/239.200.200.78:1234
嘉佳卡通SD,http://106.57.0.246:55555/udp/239.200.200.229:8372
家有购物SD,http://106.57.0.246:55555/udp/239.200.200.228:9004
嵩明嵩明县HD,http://106.57.0.246:55555/udp/239.200.200.187:8616
收藏天下SD,http://106.57.0.246:55555/udp/239.200.201.214:8700
未识别HD,http://106.57.0.246:55555/udp/239.200.200.207:8896
澜湄国际频道,http://106.57.0.246:55555/rtp/239.200.200.33:8024
环球旅游SD,http://106.57.0.246:55555/udp/239.200.201.175:8652
生态环境SD,http://106.57.0.246:55555/udp/239.200.201.172:8648
电信宣传HD,http://106.57.0.246:55555/udp/239.200.201.151:8604
电信宣传HD,http://106.57.0.246:55555/udp/239.200.201.48:8820
禄丰市电视台,http://106.57.0.246:55555/rtp/239.200.200.163:8798
西双版纳勐腊HD,http://106.57.0.246:55555/udp/239.200.201.54:8040
