宁夏电信-组播1,#genre#
直播室104,http://111.113.89.115:2000/rtp/239.121.4.130:8762
直播室105,http://111.113.89.115:2000/rtp/239.121.4.131:8768
直播室106,http://111.113.89.115:2000/rtp/239.121.4.132:8774
直播室107,http://111.113.89.115:2000/rtp/239.121.4.133:8780
直播室108,http://111.113.89.115:2000/rtp/239.121.4.146:8858
直播室109,http://111.113.89.115:2000/rtp/239.121.4.147:8864
直播室110,http://111.113.89.115:2000/rtp/239.121.4.148:8870
直播室111,http://111.113.89.115:2000/rtp/239.121.4.149:8876
精选,http://111.113.89.115:2000/rtp/239.121.4.169:9190
美人,http://111.113.89.115:2000/rtp/239.121.4.188:9112
美妆,http://111.113.89.115:2000/rtp/239.121.4.83:8472
解密,http://111.113.89.115:2000/rtp/239.121.4.183:9082
鉴赏,http://111.113.89.115:2000/rtp/239.121.4.184:9088
音乐现场,http://111.113.89.115:2000/rtp/239.121.4.178:9052
