广东移动中兴-组播1,#genre#
环球奇观,http://gaoxing.dns.army:10086/rtp/239.20.0.245:2288
中国交通,http://gaoxing.dns.army:10086/rtp/239.20.0.68:3128
老故事,http://gaoxing.dns.army:10086/rtp/239.20.0.227:2252
中学生,http://gaoxing.dns.army:10086/rtp/239.21.0.139:3900
发现之旅,http://gaoxing.dns.army:10086/rtp/239.21.0.151:3948
睛彩竞技,http://gaoxing.dns.army:10086/rtp/239.21.0.152:3952
睛彩广场舞,http://gaoxing.dns.army:10086/rtp/239.21.0.153:3956
华数经典电影,http://gaoxing.dns.army:10086/rtp/239.20.0.233:2264
华数热播剧场,http://gaoxing.dns.army:10086/rtp/239.20.0.235:2268
华数魅力时尚,http://gaoxing.dns.army:10086/rtp/239.20.0.239:2276
华数少儿动画,http://gaoxing.dns.army:10086/rtp/239.20.0.238:2274
华数谍战剧场,http://gaoxing.dns.army:10086/rtp/239.20.0.228:2254
咪咕-赛事01,http://gaoxing.dns.army:10086/rtp/239.20.0.45:3224
咪咕-赛事02,http://gaoxing.dns.army:10086/rtp/239.20.0.44:3228
咪咕-赛事03,http://gaoxing.dns.army:10086/rtp/239.20.0.43:3232
咪咕-赛事04,http://gaoxing.dns.army:10086/rtp/239.20.0.14:3348
咪咕-赛事05,http://gaoxing.dns.army:10086/rtp/239.20.0.13:3352
咪咕-赛事06,http://gaoxing.dns.army:10086/rtp/239.20.0.12:3356
咪咕-赛事07,http://gaoxing.dns.army:10086/rtp/239.20.0.11:3360
咪咕-赛事08,http://gaoxing.dns.army:10086/rtp/239.20.0.10:3364
咪咕-赛事09,http://gaoxing.dns.army:10086/rtp/239.20.0.09:3368
咪咕-赛事10,http://gaoxing.dns.army:10086/rtp/239.21.0.10:3380
咪咕-赛事11,http://gaoxing.dns.army:10086/rtp/239.21.0.11:3384
咪咕-赛事12,http://gaoxing.dns.army:10086/rtp/239.21.0.12:3388
咪咕-赛事13,http://gaoxing.dns.army:10086/rtp/239.21.0.13:3392
咪咕-赛事14,http://gaoxing.dns.army:10086/rtp/239.21.0.14:3396
咪咕-赛事15,http://gaoxing.dns.army:10086/rtp/239.21.0.15:3400
咪咕-赛事16,http://gaoxing.dns.army:10086/rtp/239.21.0.16:3404
咪咕-赛事17,http://gaoxing.dns.army:10086/rtp/239.21.0.17:3408
咪咕-赛事18,http://gaoxing.dns.army:10086/rtp/239.21.0.18:3412
咪咕-赛事19,http://gaoxing.dns.army:10086/rtp/239.21.0.19:3416
咪咕-赛事20,http://gaoxing.dns.army:10086/rtp/239.21.0.20:3420
咪咕-赛事21,http://gaoxing.dns.army:10086/rtp/239.21.0.21:3424
咪咕-赛事22,http://gaoxing.dns.army:10086/rtp/239.21.0.22:3428
咪咕-赛事23,http://gaoxing.dns.army:10086/rtp/239.21.0.23:3432
咪咕-赛事25,http://gaoxing.dns.army:10086/rtp/239.21.0.29:3456
咪咕-赛事26,http://gaoxing.dns.army:10086/rtp/239.21.0.30:3460
咪咕-赛事27,http://gaoxing.dns.army:10086/rtp/239.21.0.31:3464
咪咕-赛事28,http://gaoxing.dns.army:10086/rtp/239.21.0.32:3468
咪咕-赛事29,http://gaoxing.dns.army:10086/rtp/239.21.0.33:3472
咪咕4K,http://gaoxing.dns.army:10086/rtp/239.20.0.66:3136
IPTV3+综艺,http://gaoxing.dns.army:10086/rtp/239.20.0.236:2270
IPTV5+,http://gaoxing.dns.army:10086/rtp/239.20.0.237:2272
IPTV5+体育,http://gaoxing.dns.army:10086/rtp/239.20.0.208:2214
IPTV影视推荐,http://gaoxing.dns.army:10086/rtp/239.20.0.32:3276
IPTV影视推荐,http://gaoxing.dns.army:10086/rtp/239.20.0.33:3272
IPTV影视推荐,http://gaoxing.dns.army:10086/rtp/239.20.0.34:3268
IPTV影视推荐,http://gaoxing.dns.army:10086/rtp/239.20.0.35:3264
IPTV影视推荐,http://gaoxing.dns.army:10086/rtp/239.21.0.129:3860
IPTV收视指南,http://gaoxing.dns.army:10086/rtp/239.20.0.240:2278
IPTV法治,http://gaoxing.dns.army:10086/rtp/239.20.0.231:2260
IPTV相声小品,http://gaoxing.dns.army:10086/rtp/239.20.0.229:2256
IPTV野外,http://gaoxing.dns.army:10086/rtp/239.20.0.230:2258
广东IPTV影视推荐,http://gaoxing.dns.army:10086/rtp/239.20.0.50:3200
北京卡酷少儿,http://gaoxing.dns.army:10086/rtp/239.20.0.162:2122
山西书画频道,http://gaoxing.dns.army:10086/rtp/239.21.0.140:3904
上海哈哈炫动,http://gaoxing.dns.army:10086/rtp/239.20.0.164:2126
上海纪实人文,http://gaoxing.dns.army:10086/rtp/239.20.0.57:3172
江苏财富天下,http://gaoxing.dns.army:10086/rtp/239.20.0.167:2132
杭州求索纪录,http://gaoxing.dns.army:10086/rtp/239.21.0.118:3816
湖北快乐垂钓,http://gaoxing.dns.army:10086/rtp/239.21.0.121:3828
湖南茶频道,http://gaoxing.dns.army:10086/rtp/239.21.0.120:3824
湖南金鹰纪实,http://gaoxing.dns.army:10086/rtp/239.20.0.196:2190
湖南金鹰纪实,http://gaoxing.dns.army:10086/rtp/239.20.0.85:3060
湖南金鹰卡通,http://gaoxing.dns.army:10086/rtp/239.20.0.163:2124
湖南金鹰卡通,http://gaoxing.dns.army:10086/rtp/239.21.0.115:3804
广东岭南戏曲,http://gaoxing.dns.army:10086/rtp/239.20.0.115:2028
广东岭南戏曲,http://gaoxing.dns.army:10086/rtp/239.21.0.147:3932
广东嘉佳卡通,http://gaoxing.dns.army:10086/rtp/239.20.0.119:2036
广东嘉佳卡通,http://gaoxing.dns.army:10086/rtp/239.21.0.94:3716
重庆汽摩,http://gaoxing.dns.army:10086/rtp/239.20.0.222:2242
陕西国学频道,http://gaoxing.dns.army:10086/rtp/239.20.0.247:2292
广东南方购物,http://gaoxing.dns.army:10086/rtp/239.20.0.116:2030
广东南方购物,http://gaoxing.dns.army:10086/rtp/239.21.0.105:3760

山东教育,http://gaoxing.dns.army:10086/rtp/239.20.0.166:2130
广东4K超高清,http://gaoxing.dns.army:10086/rtp/239.20.0.60:3160
广东体育,http://gaoxing.dns.army:10086/rtp/239.20.0.103:2004
广东体育,http://gaoxing.dns.army:10086/rtp/239.20.0.114:2026
广东体育,http://gaoxing.dns.army:10086/rtp/239.20.0.97:3012
广东公共,http://gaoxing.dns.army:10086/rtp/239.21.0.86:3684
广东少儿,http://gaoxing.dns.army:10086/rtp/239.20.0.118:2034
广东少儿,http://gaoxing.dns.army:10086/rtp/239.21.0.87:3688
广东影视,http://gaoxing.dns.army:10086/rtp/239.20.0.117:2032
广东影视,http://gaoxing.dns.army:10086/rtp/239.21.0.85:3680
广东新闻,http://gaoxing.dns.army:10086/rtp/239.20.0.112:2022
广东新闻,http://gaoxing.dns.army:10086/rtp/239.21.0.93:3712
广东民生,http://gaoxing.dns.army:10086/rtp/239.20.0.113:2024
广东珠江,http://gaoxing.dns.army:10086/rtp/239.20.0.111:2020
广东珠江,http://gaoxing.dns.army:10086/rtp/239.20.0.63:3148
广东珠江,http://gaoxing.dns.army:10086/rtp/239.20.0.64:3144
广东经济科教,http://gaoxing.dns.army:10086/rtp/239.20.0.102:2002
广东经济科教,http://gaoxing.dns.army:10086/rtp/239.20.0.191:2180
广东经济科教,http://gaoxing.dns.army:10086/rtp/239.20.0.98:3008
广东综艺-4K1,http://gaoxing.dns.army:10086/rtp/239.20.0.59:3164
广东综艺-4K3,http://gaoxing.dns.army:10086/rtp/239.20.0.61:3156
广东综艺-4K4,http://gaoxing.dns.army:10086/rtp/239.20.0.62:3152
汕头文化,http://gaoxing.dns.army:10086/rtp/239.21.0.103:3752
汕头经济生活,http://gaoxing.dns.army:10086/rtp/239.21.0.102:3748
汕头经济生活,http://gaoxing.dns.army:10086/rtp/239.21.0.99:3736
汕头综合,http://gaoxing.dns.army:10086/rtp/239.21.0.101:3744
