北京联通-组播1,#genre#
华数魅力时尚,http://tnv.asuscomm.com:8012/rtp/239.3.1.196:9012
华数少儿动画,http://tnv.asuscomm.com:8012/rtp/239.3.1.199:9000
华数动画,http://tnv.asuscomm.com:8012/rtp/239.3.1.80:4120
华数精选,http://tnv.asuscomm.com:8012/rtp/239.3.1.74:4120
华数武侠剧场,http://tnv.asuscomm.com:8012/rtp/239.3.1.90:4120
IPTV10解密,http://tnv.asuscomm.com:8012/rtp/239.3.1.75:4120
IPTV11戏曲,http://tnv.asuscomm.com:8012/rtp/239.3.1.78:4120
IPTV14早教,http://tnv.asuscomm.com:8012/rtp/239.3.1.79:4120
IPTV15音乐现场,http://tnv.asuscomm.com:8012/rtp/239.3.1.70:4120
IPTV3＋,http://tnv.asuscomm.com:8012/rtp/239.3.1.198:9004
IPTV5＋,http://tnv.asuscomm.com:8012/rtp/239.3.1.200:9008
IPTV5＋,http://tnv.asuscomm.com:8012/rtp/239.3.1.237:4120
IPTV6＋,http://tnv.asuscomm.com:8012/rtp/239.3.1.197:9016
IPTV7军事,http://tnv.asuscomm.com:8012/rtp/239.3.1.76:4120
IPTV8＋,http://tnv.asuscomm.com:8012/rtp/239.3.1.201:8072
IPTV台球,http://tnv.asuscomm.com:8012/rtp/239.3.1.85:4120
IPTV国学,http://tnv.asuscomm.com:8012/rtp/239.3.1.77:4120
IPTV地理,http://tnv.asuscomm.com:8012/rtp/239.3.1.71:4120
IPTV墨宝,http://tnv.asuscomm.com:8012/rtp/239.3.1.83:4120
IPTV好学生,http://tnv.asuscomm.com:8012/rtp/239.3.1.81:4120
IPTV收视指南,http://tnv.asuscomm.com:8012/rtp/239.3.1.193:8012
IPTV武术,http://tnv.asuscomm.com:8012/rtp/239.3.1.87:4120
IPTV爱生活,http://tnv.asuscomm.com:8012/rtp/239.3.1.86:4120
IPTV美人,http://tnv.asuscomm.com:8012/rtp/239.3.1.73:4120
IPTV美妆,http://tnv.asuscomm.com:8012/rtp/239.3.1.72:4120
IPTV足球,http://tnv.asuscomm.com:8012/rtp/239.3.1.89:4120
IPTV鉴赏,http://tnv.asuscomm.com:8012/rtp/239.3.1.82:4120
上海动漫秀场,http://tnv.asuscomm.com:8012/rtp/239.3.1.202:8001
上海游戏风云,http://tnv.asuscomm.com:8012/rtp/239.3.1.205:8001
上海乐游,http://tnv.asuscomm.com:8012/rtp/239.3.1.207:8001
上海乐游,http://tnv.asuscomm.com:8012/rtp/239.3.1.114:8001
上海法治天地,http://tnv.asuscomm.com:8012/rtp/239.3.1.204:8001
上海都市剧场,http://tnv.asuscomm.com:8012/rtp/239.3.1.203:8001
