内蒙古电信-组播1,#genre#
十分屏3,http://111.127.156.3:51234/rtp/239.29.1.116:5000
呼伦贝尔文化旅游,http://111.127.156.3:51234/rtp/239.29.0.20:5000
呼伦贝尔新闻综合,http://111.127.156.3:51234/rtp/239.29.0.19:5000
呼伦贝尔生活资讯,http://111.127.156.3:51234/rtp/239.29.0.21:5000
呼市影视娱乐,http://111.127.156.3:51234/rtp/239.29.0.37:5000
呼市新闻综合,http://111.127.156.3:51234/rtp/239.29.0.35:5000
呼市都市,http://111.127.156.3:51234/rtp/239.29.0.36:5000
和林格尔,http://111.127.156.3:51234/rtp/239.29.0.183:5000
喀喇沁县,http://111.127.156.3:51234/rtp/239.29.1.150:5000
土左旗,http://111.127.156.3:51234/rtp/239.29.0.188:5000
地理,http://111.127.156.3:51234/rtp/239.29.1.46:5001
墨宝,http://111.127.156.3:51234/rtp/239.29.0.140:5000
多伦,http://111.127.156.3:51234/rtp/239.29.0.155:5000
太仆寺旗,http://111.127.156.3:51234/rtp/239.29.0.154:5000
好学生,http://111.127.156.3:51234/rtp/239.29.1.49:5001
察右中旗,http://111.127.156.3:51234/rtp/239.29.1.106:5000
巴彦淖尔影视娱乐,http://111.127.156.3:51234/rtp/239.29.0.27:5000
巴彦淖尔新闻综合,http://111.127.156.3:51234/rtp/239.29.0.25:5000
巴彦淖尔经济生活,http://111.127.156.3:51234/rtp/239.29.0.26:5000
库伦电视台,http://111.127.156.3:51234/rtp/239.29.1.100:5000
扎兰屯,http://111.127.156.3:51234/rtp/239.29.1.109:5000
扎赉特旗,http://111.127.156.3:51234/rtp/239.29.0.185:5000
托克托电视台,http://111.127.156.3:51234/rtp/239.29.0.146:5000
收视指南,http://111.127.156.3:51234/rtp/239.29.1.58:5001
早教,http://111.127.156.3:51234/rtp/239.29.1.61:5001
时尚生活,http://111.127.156.3:51234/rtp/239.29.0.201:5000
杭后电视台,http://111.127.156.3:51234/rtp/239.29.0.149:5000
正蓝旗,http://111.127.156.3:51234/rtp/239.29.0.147:5000
正镶白旗,http://111.127.156.3:51234/rtp/239.29.0.153:5000
武川,http://111.127.156.3:51234/rtp/239.29.0.182:5000
法制天地,http://111.127.156.3:51234/rtp/239.29.0.196:5000
满洲里,http://111.127.156.3:51234/rtp/239.29.0.34:5000
相声小品,http://111.127.156.3:51234/rtp/239.29.1.23:5001
磴口,http://111.127.156.3:51234/rtp/239.29.0.156:5000
科右中旗,http://111.127.156.3:51234/rtp/239.29.0.178:5000
突泉电视台,http://111.127.156.3:51234/rtp/239.29.0.174:5000
精选,http://111.127.156.3:51234/rtp/239.29.1.77:5001
美人,http://111.127.156.3:51234/rtp/239.29.0.136:5000
翁牛特,http://111.127.156.3:51234/rtp/239.29.0.186:5000
苏尼特右旗,http://111.127.156.3:51234/rtp/239.29.0.191:5000
苏尼特左旗,http://111.127.156.3:51234/rtp/239.29.0.190:5000
西乌电视台,http://111.127.156.3:51234/rtp/239.29.0.181:5000
达茂电视台,http://111.127.156.3:51234/rtp/239.29.1.101:5000
鄂尔多斯新闻综合,http://111.127.156.3:51234/rtp/239.29.0.30:5000
鄂尔多斯生活,http://111.127.156.3:51234/rtp/239.29.0.32:5000
鄂尔多斯经济服务,http://111.127.156.3:51234/rtp/239.29.0.31:5000
鄂尔多斯蒙语频道,http://111.127.156.3:51234/rtp/239.29.0.33:5000
鉴赏,http://111.127.156.3:51234/rtp/239.29.0.137:5000
锡林郭勒1,http://111.127.156.3:51234/rtp/239.29.0.38:5000
锡林郭勒2,http://111.127.156.3:51234/rtp/239.29.0.39:5000
阿右旗,http://111.127.156.3:51234/rtp/239.29.0.175:5000
阿尔山电视台,http://111.127.156.3:51234/rtp/239.29.1.112:5000
阿巴嘎,http://111.127.156.3:51234/rtp/239.29.0.184:5000
音乐现场,http://111.127.156.3:51234/rtp/239.29.1.88:5001
额尔古纳,http://111.127.156.3:51234/rtp/239.29.1.132:5000
额济纳新闻综合,http://111.127.156.3:51234/rtp/239.29.0.177:5000

内蒙古电信-组播2,#genre#
内蒙古卫视,http://123.179.62.237:4022/rtp/239.29.0.2:5000

内蒙古农牧频道,http://123.179.62.237:4022/rtp/239.29.0.209:5000
内蒙古少儿频道,http://123.179.62.237:4022/rtp/239.29.0.207:5000
内蒙古文体娱乐,http://123.179.62.237:4022/rtp/239.29.0.211:5000
内蒙古新闻综合,http://123.179.62.237:4022/rtp/239.29.0.208:5000
内蒙古经济生活,http://123.179.62.237:4022/rtp/239.29.0.212:5000
内蒙古蒙语频道,http://123.179.62.237:4022/rtp/239.29.0.210:5000
内蒙古购物,http://123.179.62.237:4022/rtp/239.29.0.1:5000
内蒙古频道八分屏,http://123.179.62.237:4022/rtp/239.29.1.118:5000

CGTN英语,http://123.179.62.237:4022/rtp/239.29.1.143:5000
CETV-1综合教育,http://123.179.62.237:4022/rtp/239.29.0.95:5000
CETV-2空中课堂,http://123.179.62.237:4022/rtp/239.29.0.139:5000
华数经典电影,http://123.179.62.237:4022/rtp/239.29.1.78:5001
华数动作影院,http://123.179.62.237:4022/rtp/239.29.1.36:5001
华数喜剧影院,http://123.179.62.237:4022/rtp/239.29.1.44:5001
华数家庭影院,http://123.179.62.237:4022/rtp/239.29.1.52:5001
华数星影,http://123.179.62.237:4022/rtp/239.29.1.62:5001
华数热播剧场,http://123.179.62.237:4022/rtp/239.29.1.75:5001
华数古装剧场,http://123.179.62.237:4022/rtp/239.29.1.42:5001
华数城市剧场,http://123.179.62.237:4022/rtp/239.29.1.47:5001
华数军旅剧场,http://123.179.62.237:4022/rtp/239.29.1.35:5001
华数魅力时尚,http://123.179.62.237:4022/rtp/239.29.1.89:5001
华数少儿动画,http://123.179.62.237:4022/rtp/239.29.1.53:5001
华数谍战剧场,http://123.179.62.237:4022/rtp/239.29.1.24:5001
华数武侠剧场,http://123.179.62.237:4022/rtp/239.29.1.65:5001
爱生活高清专区,http://123.179.62.237:4022/rtp/239.29.1.94:5001
爱上4K,http://123.179.62.237:4022/rtp/239.29.0.169:5000
江苏优漫卡通,http://123.179.62.237:4022/rtp/239.29.0.127:5000
IPTV3综艺,http://123.179.62.237:4022/rtp/239.29.1.18:5001
IPTV6华数电影,http://123.179.62.237:4022/rtp/239.29.1.20:5001
IPTV8电视剧,http://123.179.62.237:4022/rtp/239.29.1.21:5001
IPTV法制,http://123.179.62.237:4022/rtp/239.29.1.22:5001
IPTV野外,http://123.179.62.237:4022/rtp/239.29.1.25:5001
北京纪实科教,http://123.179.62.237:4022/rtp/239.29.0.110:5000
北京卡酷少儿,http://123.179.62.237:4022/rtp/239.29.1.41:5001
呼和浩特足球,http://123.179.62.237:4022/rtp/239.29.0.142:5000
上海东方财经,http://123.179.62.237:4022/rtp/239.29.1.29:5001
上海动漫秀场,http://123.179.62.237:4022/rtp/239.29.0.203:5000
上海游戏风云,http://123.179.62.237:4022/rtp/239.29.0.197:5000
上海都市剧场,http://123.179.62.237:4022/rtp/239.29.0.198:5000
上海多彩文体4K,http://123.179.62.237:4022/rtp/239.29.0.200:5000
上海多彩文体4K,http://123.179.62.237:4022/rtp/239.29.1.114:5000
上海哈哈炫动,http://123.179.62.237:4022/rtp/239.29.0.128:5000
上海纪实人文,http://123.179.62.237:4022/rtp/239.29.0.101:5000
湖南金鹰纪实,http://123.179.62.237:4022/rtp/239.29.0.92:5000
湖南金鹰卡通,http://123.179.62.237:4022/rtp/239.29.1.85:5001
广东嘉佳卡通,http://123.179.62.237:4022/rtp/239.29.0.126:5000
光影,http://123.179.62.237:4022/rtp/239.29.1.32:5001
金色频道,http://123.179.62.237:4022/rtp/239.29.0.195:5000
七彩戏剧,http://123.179.62.237:4022/rtp/239.29.1.26:5001
极速汽车,http://123.179.62.237:4022/rtp/239.29.0.199:5000

包头新闻综合,http://123.179.62.237:4022/rtp/239.29.0.111:5000
包头生活服务,http://123.179.62.237:4022/rtp/239.29.0.112:5000
包头经济频道,http://123.179.62.237:4022/rtp/239.29.0.204:5000
乌海新闻综合,http://123.179.62.237:4022/rtp/239.29.0.11:5000
乌海都市生活,http://123.179.62.237:4022/rtp/239.29.0.12:5000
赤峰影视娱乐,http://123.179.62.237:4022/rtp/239.29.0.15:5000
赤峰新闻综合,http://123.179.62.237:4022/rtp/239.29.0.13:5000
赤峰经济服务,http://123.179.62.237:4022/rtp/239.29.0.14:5000
通辽城市服务,http://123.179.62.237:4022/rtp/239.29.0.42:5000
通辽新闻综合,http://123.179.62.237:4022/rtp/239.29.0.41:5000
通辽蒙语频道,http://123.179.62.237:4022/rtp/239.29.0.40:5000
兴安影视娱乐,http://123.179.62.237:4022/rtp/239.29.0.18:5000
兴安文化旅游,http://123.179.62.237:4022/rtp/239.29.0.17:5000
兴安新闻综合,http://123.179.62.237:4022/rtp/239.29.0.16:5000
阿拉善新闻综合,http://123.179.62.237:4022/rtp/239.29.0.28:5000
阿拉善经济,http://123.179.62.237:4022/rtp/239.29.0.29:5000

4K,http://123.179.62.237:4022/rtp/239.29.1.131:5000
ELTV,http://123.179.62.237:4022/rtp/239.29.1.113:5000
XHTV,http://123.179.62.237:4022/rtp/239.29.0.187:5000
东乌旗,http://123.179.62.237:4022/rtp/239.29.0.180:5000
丰镇电视台,http://123.179.62.237:4022/rtp/239.29.1.103:5000
乌拉特中旗,http://123.179.62.237:4022/rtp/239.29.0.152:5000
乌拉特前旗,http://123.179.62.237:4022/rtp/239.29.0.150:5000
乌拉特后旗,http://123.179.62.237:4022/rtp/239.29.0.151:5000
乌盟新闻综合,http://123.179.62.237:4022/rtp/239.29.0.22:5000
乌盟生活,http://123.179.62.237:4022/rtp/239.29.0.24:5000
乌盟经济生活,http://123.179.62.237:4022/rtp/239.29.0.23:5000
五原,http://123.179.62.237:4022/rtp/239.29.0.148:5000
伊金霍洛旗综合,http://123.179.62.237:4022/rtp/239.29.1.105:5000
克什克腾旗,http://123.179.62.237:4022/rtp/239.29.1.110:5000
全纪实,http://123.179.62.237:4022/rtp/239.29.0.202:5000
农林卫视,http://123.179.62.237:4022/rtp/239.29.0.129:5000
准格尔综合频道,http://123.179.62.237:4022/rtp/239.29.0.192:5000
动画,http://123.179.62.237:4022/rtp/239.29.1.38:5001
十分屏1,http://123.179.62.237:4022/rtp/239.29.1.119:5000
十分屏2,http://123.179.62.237:4022/rtp/239.29.1.117:5000
十分屏3,http://123.179.62.237:4022/rtp/239.29.1.116:5000
呼伦贝尔文化旅游,http://123.179.62.237:4022/rtp/239.29.0.20:5000
