陕西电信-组播1,#genre#
陕西影视,http://1.83.156.130:26000/rtp/239.112.205.21:5140
陕西影视,http://1.83.156.130:26000/rtp/239.111.205.99:5140

CHC高清电影,http://1.83.156.130:26000/rtp/239.112.205.206:5140
CHC动作电影,http://1.83.156.130:26000/rtp/239.112.205.207:5140
CHC家庭影院,http://1.83.156.130:26000/rtp/239.112.205.205:5140
CCTV风云音乐,http://1.83.156.130:26000/rtp/239.111.205.69:5140
CCTV世界地理,http://1.83.156.130:26000/rtp/239.111.205.71:5140
CCTV第一剧场,http://1.83.156.130:26000/rtp/239.111.205.65:5140
CCTV风云剧场,http://1.83.156.130:26000/rtp/239.111.205.66:5140
CCTV央视精品,http://1.83.156.130:26000/rtp/239.111.205.75:5140
CCTV兵器科技,http://1.83.156.130:26000/rtp/239.111.205.74:5140
CCTV风云足球,http://1.83.156.130:26000/rtp/239.111.205.68:5140
CCTV怀旧剧场,http://1.83.156.130:26000/rtp/239.111.205.67:5140
CCTV女性时尚,http://1.83.156.130:26000/rtp/239.111.205.72:5140
CCTV央视台球,http://1.83.156.130:26000/rtp/239.111.205.70:5140
优优宝贝,http://1.83.156.130:26000/rtp/239.111.205.62:5140
凤凰中文,http://1.83.156.130:26000/rtp/239.111.205.78:5140
凤凰资讯,http://1.83.156.130:26000/rtp/239.111.205.82:5140
北京卡酷少儿,http://1.83.156.130:26000/rtp/239.112.205.138:5140
湖南金鹰纪实,http://1.83.156.130:26000/rtp/239.112.205.203:5140
湖南金鹰卡通,http://1.83.156.130:26000/rtp/239.112.205.136:5140
四川车迷频道,http://1.83.156.130:26000/rtp/239.111.205.63:5140
天津环球旅游,http://1.83.156.130:26000/rtp/239.111.205.61:5140
天津环球旅游,http://1.83.156.130:26000/rtp/239.110.205.74:8004
上海都市剧场,http://1.83.156.130:26000/rtp/239.111.205.2:5140
上海游戏风云,http://1.83.156.130:26000/rtp/239.111.205.4:5140
上海欢笑剧场,http://1.83.156.130:26000/rtp/239.112.205.236:5140
上海纪实人文,http://1.83.156.130:26000/rtp/239.112.205.204:5140
广东嘉佳卡通,http://1.83.156.130:26000/rtp/239.112.205.135:5140
江苏优漫卡通,http://1.83.156.130:26000/rtp/239.112.205.185:5140
极速汽车,http://1.83.156.130:26000/rtp/239.109.205.64:8448
极速汽车,http://1.83.156.130:26000/rtp/239.111.205.185:5140
央广购物,http://1.83.156.130:26000/rtp/239.109.205.75:8536
优购物,http://1.83.156.130:26000/rtp/239.109.205.101:8744
家有购物,http://1.83.156.130:26000/rtp/239.110.205.31:9788

咸阳综合[720*576],http://1.83.156.130:26000/rtp/239.112.205.141:5140
商洛,http://1.83.156.130:26000/rtp/239.109.205.69:8488
商洛,http://1.83.156.130:26000/rtp/239.112.205.189:5140
安康综合,http://1.83.156.130:26000/rtp/239.109.205.104:8768
安康综合,http://1.83.156.130:26000/rtp/239.112.205.216:5140
安康镇坪,http://1.83.156.130:26000/rtp/239.109.205.67:8472
安康镇坪,http://1.83.156.130:26000/rtp/239.111.205.27:5140
宝鸡,http://1.83.156.130:26000/rtp/239.112.205.144:5140
宝鸡,http://1.83.156.130:26000/rtp/239.112.205.147:5140
宝鸡1,http://1.83.156.130:26000/rtp/239.112.205.143:5140
宝鸡2,http://1.83.156.130:26000/rtp/239.112.205.148:5140
山西优购物,http://1.83.156.130:26000/rtp/239.112.205.209:5140
延安1[720*576],http://1.83.156.130:26000/rtp/239.112.205.169:5140
榆林1,http://1.83.156.130:26000/rtp/239.110.205.42:9882
榆林1[720*576],http://1.83.156.130:26000/rtp/239.112.205.177:5140
榆林2[720*576],http://1.83.156.130:26000/rtp/239.111.205.249:5140
渭南新闻,http://1.83.156.130:26000/rtp/239.110.205.37:9854
渭南新闻,http://1.83.156.130:26000/rtp/239.111.205.19:5140
渭南新闻[720*576],http://1.83.156.130:26000/rtp/239.111.205.94:5140
西安1,http://1.83.156.130:26000/rtp/239.109.205.130:8976
西安2,http://1.83.156.130:26000/rtp/239.109.205.131:8984
西安3,http://1.83.156.130:26000/rtp/239.110.205.38:9858
西安4,http://1.83.156.130:26000/rtp/239.110.205.39:9862
西安丝路频道,http://1.83.156.130:26000/rtp/239.112.205.176:5140
西安乐购购物,http://1.83.156.130:26000/rtp/239.111.205.30:5140
西安商务资讯,http://1.83.156.130:26000/rtp/239.112.205.174:5140
西安戏剧影视,http://1.83.156.130:26000/rtp/239.112.205.175:5140
西安教育,http://1.83.156.130:26000/rtp/239.110.205.24:9842
西安教育频道,http://1.83.156.130:26000/rtp/239.112.205.142:5140
西安新闻综合,http://1.83.156.130:26000/rtp/239.111.205.242:5140
西安都市频道,http://1.83.156.130:26000/rtp/239.111.205.243:5140
铜川,http://1.83.156.130:26000/rtp/239.109.205.194:9638
铜川[785*576],http://1.83.156.130:26000/rtp/239.111.205.29:5140
陕西1套,http://1.83.156.130:26000/rtp/239.109.205.2:9120
陕西1套,http://1.83.156.130:26000/rtp/239.110.205.83:7944
