河南联通-组播1,#genre#
CGTN纪录,http://115.58.217.243:4000/rtp/225.1.5.35:1345
CHC影迷电影,http://115.58.217.243:4000/rtp/225.1.4.207:1260
IPTV体育,http://115.58.217.243:4000/rtp/225.1.4.168:1220
IPTV军事,http://115.58.217.243:4000/rtp/225.1.4.181:1230
IPTV国学,http://115.58.217.243:4000/rtp/225.1.4.178:1227
IPTV地理,http://115.58.217.243:4000/rtp/225.1.4.183:1232
IPTV好学生,http://115.58.217.243:4000/rtp/225.1.4.177:1226
IPTV收视指南,http://115.58.217.243:4000/rtp/225.1.4.50:1079
IPTV早教,http://115.58.217.243:4000/rtp/225.1.4.179:1228
IPTV法治,http://115.58.217.243:4000/rtp/225.1.4.188:1237
IPTV生活,http://115.58.217.243:4000/rtp/225.1.4.176:1225
IPTV相声小品,http://115.58.217.243:4000/rtp/225.1.4.186:1235
IPTV综艺,http://115.58.217.243:4000/rtp/225.1.4.204:1252
IPTV美妆,http://115.58.217.243:4000/rtp/225.1.4.182:1231
IPTV足球,http://115.58.217.243:4000/rtp/225.1.4.200:1250
IPTV野外,http://115.58.217.243:4000/rtp/225.1.4.187:1236
IPTV音乐,http://115.58.217.243:4000/rtp/225.1.4.184:1224
乒羽频道,http://115.58.217.243:4000/rtp/225.1.4.210:1263
体育竞技,http://115.58.217.243:4000/rtp/225.1.4.235:1281
华数爱电影,http://115.58.217.243:4000/rtp/225.1.4.6:1035
华数谍战剧场,http://115.58.217.243:4000/rtp/225.1.4.185:1240
大象新闻,http://115.58.217.243:4000/rtp/225.1.5.45:1355
快乐购,http://115.58.217.243:4000/rtp/225.1.4.231:1277
新动漫,http://115.58.217.243:4000/rtp/225.1.4.212:1265
新蔡电视台,http://115.58.217.243:4000/rtp/225.1.5.29:1341
欢腾购物,http://115.58.217.243:4000/rtp/225.1.4.236:1282
爱上-4K,http://115.58.217.243:4000/rtp/225.1.4.162:1204
爱大剧,http://115.58.217.243:4000/rtp/225.1.4.8:1037
环球购物,http://115.58.217.243:4000/rtp/225.1.4.229:1275
现场直播,http://115.58.217.243:4000/rtp/225.1.5.42:1352
睛彩中原,http://115.58.217.243:4000/rtp/225.1.4.163:1203
移动戏曲,http://115.58.217.243:4000/rtp/225.1.4.206:1254
篮球,http://115.58.217.243:4000/rtp/225.1.4.237:1283
网络棋牌,http://115.58.217.243:4000/rtp/225.1.4.211:1264
西平电视台,http://115.58.217.243:4000/rtp/225.1.5.28:1340
风尚购物,http://115.58.217.243:4000/rtp/225.1.4.233:1279
