河南联通-组播1,#genre#
风尚购物,http://115.58.141.70:4000/rtp/225.1.4.233:1279

河南联通-组播5,#genre#
CHC动作电影,http://115.58.217.243:4000/rtp/225.1.4.208:1261
CHC家庭影院,http://115.58.217.243:4000/rtp/225.1.4.209:1262
CCTV高网频道,http://115.58.217.243:4000/rtp/225.1.4.180:1229
华数经典电影,http://115.58.217.243:4000/rtp/225.1.4.175:1233
华数热播剧场,http://115.58.217.243:4000/rtp/225.1.4.190:1239
华数魅力时尚,http://115.58.217.243:4000/rtp/225.1.4.205:1253
华数少儿动画,http://115.58.217.243:4000/rtp/225.1.4.189:1238
华数精选,http://115.58.217.243:4000/rtp/225.1.4.253:1299
北京卡酷少儿,http://115.58.217.243:4000/rtp/225.1.4.48:1077
湖南金鹰纪实,http://115.58.217.243:4000/rtp/225.1.4.172:1711
湖南金鹰卡通,http://115.58.217.243:4000/rtp/225.1.4.49:1078
陕西国学频道,http://115.58.217.243:4000/rtp/225.1.4.196:1311
广东嘉佳卡通,http://115.58.217.243:4000/rtp/225.1.4.92:1121
好享购物,http://115.58.217.243:4000/rtp/225.1.4.232:1278
央广购物,http://115.58.217.243:4000/rtp/225.1.4.230:1276
家有购物,http://115.58.217.243:4000/rtp/225.1.4.223:1273

河南IPTV导视,http://115.58.217.243:4000/rtp/225.1.4.194:1244
河南中华功夫,http://115.58.217.243:4000/rtp/225.1.4.101:1130
河南乡村频道,http://115.58.217.243:4000/rtp/225.1.4.120:1149
河南公共频道,http://115.58.217.243:4000/rtp/225.1.4.58:1087
河南国际频道,http://115.58.217.243:4000/rtp/225.1.4.102:1131
河南戏曲频道,http://115.58.217.243:4000/rtp/225.1.4.99:1128
河南收藏天下,http://115.58.217.243:4000/rtp/225.1.4.100:1129
河南新闻频道,http://115.58.217.243:4000/rtp/225.1.4.56:1085
河南欢腾购物,http://115.58.217.243:4000/rtp/225.1.4.57:1086
河南民生频道,http://115.58.217.243:4000/rtp/225.1.4.53:1082
河南法治频道,http://115.58.217.243:4000/rtp/225.1.4.54:1083
河南电视剧频道,http://115.58.217.243:4000/rtp/225.1.4.55:1084
河南移动电视,http://115.58.217.243:4000/rtp/225.1.5.40:1350
河南都市频道,http://115.58.217.243:4000/rtp/225.1.4.52:1081
驻马店公共频道,http://115.58.217.243:4000/rtp/225.1.4.136:1172
驻马店新闻综合,http://115.58.217.243:4000/rtp/225.1.4.132:1168
驻马店科教频道,http://115.58.217.243:4000/rtp/225.1.4.133:1169

