广东移动华为-组播1,#genre#
CCTV-卫生健康,http://gaoxing.dns.army:10086/rtp/239.11.0.185:1025
CCTV-风云足球,http://gaoxing.dns.army:10086/rtp/239.11.0.59:1025
CCTV-风云音乐,http://gaoxing.dns.army:10086/rtp/239.11.0.68:1025
CCTV-第一剧场,http://gaoxing.dns.army:10086/rtp/239.11.0.67:1025
CCTV-怀旧剧场,http://gaoxing.dns.army:10086/rtp/239.11.0.64:1025
CCTV-风云剧场,http://gaoxing.dns.army:10086/rtp/239.11.0.65:1025
CCTV-世界地理,http://gaoxing.dns.army:10086/rtp/239.11.0.63:1025
CCTV-电视指南,http://gaoxing.dns.army:10086/rtp/239.11.0.58:1025
CCTV-兵器科技,http://gaoxing.dns.army:10086/rtp/239.11.0.57:1025
CCTV-女性时尚,http://gaoxing.dns.army:10086/rtp/239.11.0.62:1025
CCTV-央视台球,http://gaoxing.dns.army:10086/rtp/239.11.0.60:1025
CGTN英语,http://gaoxing.dns.army:10086/rtp/239.11.0.103:1025
CGTN西班牙语,http://gaoxing.dns.army:10086/rtp/239.11.0.105:1025
CGTN法语,http://gaoxing.dns.army:10086/rtp/239.11.0.106:1025
CGTN阿拉伯语,http://gaoxing.dns.army:10086/rtp/239.11.0.107:1025
CGTN俄语,http://gaoxing.dns.army:10086/rtp/239.11.0.108:1025
CETV-1综合教育,http://gaoxing.dns.army:10086/rtp/239.10.0.223:1025
CETV-4职业教育,http://gaoxing.dns.army:10086/rtp/239.11.0.176:1025
CHC影迷电影,http://gaoxing.dns.army:10086/rtp/239.11.0.129:1025
环球奇观,http://gaoxing.dns.army:10086/rtp/239.10.0.36:1025
中国交通,http://gaoxing.dns.army:10086/rtp/239.10.0.72:1025
老故事,http://gaoxing.dns.army:10086/rtp/239.10.0.33:1025
中学生,http://gaoxing.dns.army:10086/rtp/239.11.0.173:1025
发现之旅,http://gaoxing.dns.army:10086/rtp/239.11.0.182:1025
发现之旅,http://gaoxing.dns.army:10086/rtp/239.11.0.183:1025
早期教育,http://gaoxing.dns.army:10086/rtp/239.11.0.100:1025
咪咕-赛事1,http://gaoxing.dns.army:10086/rtp/239.10.0.87:1025
咪咕-赛事10,http://gaoxing.dns.army:10086/rtp/239.11.0.1:1025
咪咕-赛事11,http://gaoxing.dns.army:10086/rtp/239.11.0.2:1025
咪咕-赛事12,http://gaoxing.dns.army:10086/rtp/239.11.0.3:1025
咪咕-赛事13,http://gaoxing.dns.army:10086/rtp/239.11.0.4:1025
咪咕-赛事14,http://gaoxing.dns.army:10086/rtp/239.11.0.5:1025
咪咕-赛事15,http://gaoxing.dns.army:10086/rtp/239.11.0.6:1025
咪咕-赛事16,http://gaoxing.dns.army:10086/rtp/239.11.0.7:1025
咪咕-赛事17,http://gaoxing.dns.army:10086/rtp/239.11.0.8:1025
咪咕-赛事18,http://gaoxing.dns.army:10086/rtp/239.11.0.9:1025
咪咕-赛事19,http://gaoxing.dns.army:10086/rtp/239.11.0.10:1025
咪咕-赛事2,http://gaoxing.dns.army:10086/rtp/239.10.0.88:1025
咪咕-赛事20,http://gaoxing.dns.army:10086/rtp/239.11.0.11:1025
咪咕-赛事21,http://gaoxing.dns.army:10086/rtp/239.11.0.12:1025
咪咕-赛事22,http://gaoxing.dns.army:10086/rtp/239.11.0.13:1025
咪咕-赛事23,http://gaoxing.dns.army:10086/rtp/239.11.0.14:1025
咪咕-赛事24,http://gaoxing.dns.army:10086/rtp/239.11.0.18:1025
咪咕-赛事25,http://gaoxing.dns.army:10086/rtp/239.11.0.19:1025
咪咕-赛事26,http://gaoxing.dns.army:10086/rtp/239.11.0.20:1025
咪咕-赛事27,http://gaoxing.dns.army:10086/rtp/239.11.0.21:1025
咪咕-赛事28,http://gaoxing.dns.army:10086/rtp/239.11.0.22:1025
咪咕-赛事3,http://gaoxing.dns.army:10086/rtp/239.10.0.89:1025
咪咕-赛事4,http://gaoxing.dns.army:10086/rtp/239.10.0.247:1025
咪咕-赛事5,http://gaoxing.dns.army:10086/rtp/239.10.0.248:1025
咪咕-赛事6,http://gaoxing.dns.army:10086/rtp/239.10.0.249:1025
咪咕-赛事7,http://gaoxing.dns.army:10086/rtp/239.10.0.250:1025
咪咕-赛事8,http://gaoxing.dns.army:10086/rtp/239.10.0.251:1025
咪咕-赛事9,http://gaoxing.dns.army:10086/rtp/239.10.0.252:1025
咪咕赛事4K,http://gaoxing.dns.army:10086/rtp/239.10.0.68:1025
IPTV5+,http://gaoxing.dns.army:10086/rtp/239.10.0.218:1025
山西书画频道,http://gaoxing.dns.army:10086/rtp/239.11.0.174:1025
上海纪实人文,http://gaoxing.dns.army:10086/rtp/239.10.0.78:1025
杭州求索纪录,http://gaoxing.dns.army:10086/rtp/239.11.0.128:1025
湖北快乐垂钓,http://gaoxing.dns.army:10086/rtp/239.11.0.131:1025
湖南茶频道,http://gaoxing.dns.army:10086/rtp/239.11.0.130:1025
湖南金鹰纪实,http://gaoxing.dns.army:10086/rtp/239.10.0.59:1025
湖南金鹰纪实,http://gaoxing.dns.army:10086/rtp/239.10.0.206:1025
湖南金鹰卡通,http://gaoxing.dns.army:10086/rtp/239.11.0.125:1025
广东岭南戏曲,http://gaoxing.dns.army:10086/rtp/239.10.0.125:1025
广东岭南戏曲,http://gaoxing.dns.army:10086/rtp/239.11.0.180:1025
广东嘉佳卡通,http://gaoxing.dns.army:10086/rtp/239.10.0.200:1025
广东嘉佳卡通,http://gaoxing.dns.army:10086/rtp/239.10.0.129:1025
重庆汽摩,http://gaoxing.dns.army:10086/rtp/239.10.0.232:1025
陕西国学频道,http://gaoxing.dns.army:10086/rtp/239.10.0.38:1025

北京纪实,http://gaoxing.dns.army:10086/rtp/239.10.0.184:1025
广东体育,http://gaoxing.dns.army:10086/rtp/239.10.0.47:1025
广东体育,http://gaoxing.dns.army:10086/rtp/239.10.0.113:1025
广东公共,http://gaoxing.dns.army:10086/rtp/239.11.0.80:1025
广东少儿,http://gaoxing.dns.army:10086/rtp/239.10.0.128:1025
广东少儿,http://gaoxing.dns.army:10086/rtp/239.11.0.81:1025
广东影视,http://gaoxing.dns.army:10086/rtp/239.11.0.79:1025
广东新闻,http://gaoxing.dns.army:10086/rtp/239.10.0.199:1025
广东珠江,http://gaoxing.dns.army:10086/rtp/239.10.0.62:1025
广东珠江,http://gaoxing.dns.army:10086/rtp/239.10.0.63:1025
广东科教,http://gaoxing.dns.army:10086/rtp/239.10.0.46:1025
广东科教,http://gaoxing.dns.army:10086/rtp/239.10.0.112:1025
广东综艺-4K,http://gaoxing.dns.army:10086/rtp/239.10.0.64:1025
广东综艺-4K,http://gaoxing.dns.army:10086/rtp/239.10.0.75:1025
广州云课堂,http://gaoxing.dns.army:10086/rtp/239.11.0.150:1025
广州云课堂,http://gaoxing.dns.army:10086/rtp/239.11.0.151:1025
广州云课堂,http://gaoxing.dns.army:10086/rtp/239.11.0.152:1025
广州云课堂,http://gaoxing.dns.army:10086/rtp/239.11.0.153:1025
广州云课堂,http://gaoxing.dns.army:10086/rtp/239.11.0.154:1025
广州云课堂,http://gaoxing.dns.army:10086/rtp/239.11.0.155:1025
广州云课堂,http://gaoxing.dns.army:10086/rtp/239.11.0.156:1025
广州云课堂,http://gaoxing.dns.army:10086/rtp/239.11.0.157:1025
广州云课堂,http://gaoxing.dns.army:10086/rtp/239.11.0.158:1025
