河南电信-组播1,#genre#
平顶山教育台,http://171.8.168.153:8800/rtp/239.16.20.27:10270
平顶山新闻综合,http://171.8.168.153:8800/rtp/239.16.20.137:11370
开封1新闻综合,http://171.8.168.153:8800/rtp/239.16.10.57:2000
开封2文化旅游,http://171.8.168.153:8800/rtp/239.16.10.177:2000
新乡公共频道,http://171.8.168.153:8800/rtp/239.16.20.154:11540
新乡新闻综合,http://171.8.168.153:8800/rtp/239.16.20.139:11390
新乡综合频道,http://171.8.168.153:8800/rtp/239.16.20.18:10180
河南中华功夫,http://171.8.168.153:8800/rtp/239.16.20.173:11730
河南乡村频道,http://171.8.168.153:8800/rtp/239.16.20.195:11950
河南卫视4k,http://171.8.168.153:8800/rtp/239.16.10.199:11990
河南卫视4k,http://171.8.168.153:8800/rtp/239.16.10.210:2000
河南戏曲频道,http://171.8.168.153:8800/rtp/239.16.20.171:11710
河南收藏天下,http://171.8.168.153:8800/rtp/239.16.10.149:2000
河南新闻频道,http://171.8.168.153:8800/rtp/239.16.20.168:11680
河南民生频道,http://171.8.168.153:8800/rtp/239.16.20.165:11650
河南法治频道,http://171.8.168.153:8800/rtp/239.16.10.122:2000
河南电视剧频道,http://171.8.168.153:8800/rtp/239.16.20.167:11670
河南睛彩中原,http://171.8.168.153:8800/rtp/239.16.20.122:11220
河南移动戏曲,http://171.8.168.153:8800/rtp/239.16.20.120:11200
河南移动电视,http://171.8.168.153:8800/rtp/239.16.20.204:12040
河南调解剧场,http://171.8.168.153:8800/rtp/239.16.20.197:11970
河南都市频道,http://171.8.168.153:8800/rtp/239.16.20.164:11640
洛阳-1新闻综合,http://171.8.168.153:8800/rtp/239.16.20.179:11790
洛阳-2科教频道,http://171.8.168.153:8800/rtp/239.16.20.177:11770
洛阳-3文旅频道,http://171.8.168.153:8800/rtp/239.16.20.178:11780
济源-1,http://171.8.168.153:8800/rtp/239.16.20.174:11740
漯河新闻综合,http://171.8.168.153:8800/rtp/239.16.10.49:2000
濮阳公共频道,http://171.8.168.153:8800/rtp/239.16.20.184:11840
濮阳新闻综合,http://171.8.168.153:8800/rtp/239.16.20.175:11750
焦作公共频道,http://171.8.168.153:8800/rtp/239.16.20.155:11550
焦作综合频道,http://171.8.168.153:8800/rtp/239.16.20.140:11400
许昌农业科教,http://171.8.168.153:8800/rtp/239.16.10.60:2000
许昌综合频道,http://171.8.168.153:8800/rtp/239.16.10.47:2000
郑州1新闻综合,http://171.8.168.153:8800/rtp/239.16.10.154:2000
郑州2商都频道,http://171.8.168.153:8800/rtp/239.16.10.155:2000
郑州3文体旅游,http://171.8.168.153:8800/rtp/239.16.10.156:2000
郑州4豫剧频道,http://171.8.168.153:8800/rtp/239.16.10.157:2000
郑州5妇女儿童,http://171.8.168.153:8800/rtp/239.16.10.158:2000
郑州6都市生活,http://171.8.168.153:8800/rtp/239.16.10.159:2000
鹤壁新闻综合,http://171.8.168.153:8800/rtp/239.16.20.142:11420

IPTV导视,http://171.8.168.153:8800/rtp/239.16.10.218:2000
上蔡-1,http://171.8.168.153:8800/rtp/239.16.10.97:2000
临颍综合频道,http://171.8.168.153:8800/rtp/239.16.10.180:2000
义马综合频道,http://171.8.168.153:8800/rtp/239.16.20.109:11090
体育赛事,http://171.8.168.153:8800/rtp/239.16.20.128:11280
体育赛事,http://171.8.168.153:8800/rtp/239.16.20.215:12150
健康河南融媒,http://171.8.168.153:8800/rtp/239.16.20.52:10520
光山综合频道,http://171.8.168.153:8800/rtp/239.16.10.94:2000
内黄综合频道,http://171.8.168.153:8800/rtp/239.16.20.228:12280
卫辉综合频道,http://171.8.168.153:8800/rtp/239.16.20.191:11910
原阳电视台,http://171.8.168.153:8800/rtp/239.16.20.208:12080
叶县电视台-1,http://171.8.168.153:8800/rtp/239.16.20.32:10320
唐河TV-1,http://171.8.168.153:8800/rtp/239.16.10.95:2000
大剧院,http://171.8.168.153:8800/rtp/239.16.20.217:12170
大象新闻,http://171.8.168.153:8800/rtp/239.16.20.216:12160
孟津综合综合,http://171.8.168.153:8800/rtp/239.16.20.192:11920
宜阳综合频道,http://171.8.168.153:8800/rtp/239.16.20.206:12060
宝丰-1,http://171.8.168.153:8800/rtp/239.16.20.209:12090
宝丰TV-1,http://171.8.168.153:8800/rtp/239.16.20.63:10630
封丘1新闻综合,http://171.8.168.153:8800/rtp/239.16.20.19:10190
嵩县综合新闻,http://171.8.168.153:8800/rtp/239.16.20.234:12340
巩义综合频道,http://171.8.168.153:8800/rtp/239.16.20.43:10430
平桥广电中心,http://171.8.168.153:8800/rtp/239.16.10.73:2000
平煤安全环保,http://171.8.168.153:8800/rtp/239.16.20.31:10310
延津电视台,http://171.8.168.153:8800/rtp/239.16.20.210:12100
新县综合频道,http://171.8.168.153:8800/rtp/239.16.20.183:11830
新密综合频道,http://171.8.168.153:8800/rtp/239.16.20.41:10410
新蔡TV,http://171.8.168.153:8800/rtp/239.16.20.49:10490
新郑TV-1,http://171.8.168.153:8800/rtp/239.16.20.45:10450
杞县新闻综合,http://171.8.168.153:8800/rtp/239.16.10.80:2000
永城新闻联播,http://171.8.168.153:8800/rtp/239.16.10.93:2000
汝阳综合频道,http://171.8.168.153:8800/rtp/239.16.20.207:12070
浉河广电中心,http://171.8.168.153:8800/rtp/239.16.10.72:2000
淅川电视台-1,http://171.8.168.153:8800/rtp/239.16.20.48:10480
淇县电视台,http://171.8.168.153:8800/rtp/239.16.20.205:12050
渑池新闻综合,http://171.8.168.153:8800/rtp/239.16.20.47:10470
渑池新闻综合,http://171.8.168.153:8800/rtp/239.16.20.135:11350
灵宝综合频道,http://171.8.168.153:8800/rtp/239.16.20.59:10590
登封综合频道,http://171.8.168.153:8800/rtp/239.16.20.42:10420
禹州电视台,http://171.8.168.153:8800/rtp/239.16.10.39:2000
舞钢电视台-1,http://171.8.168.153:8800/rtp/239.16.20.227:12270
舞阳新闻综合,http://171.8.168.153:8800/rtp/239.16.10.179:2000
荥阳综合频道,http://171.8.168.153:8800/rtp/239.16.20.44:10440
获嘉综合频道,http://171.8.168.153:8800/rtp/239.16.20.25:10250
邓州综合频道,http://171.8.168.153:8800/rtp/239.16.20.20:10200
郏县综合频道,http://171.8.168.153:8800/rtp/239.16.20.235:12350
郸城,http://171.8.168.153:8800/rtp/239.16.10.84:2000
镇平新闻综合,http://171.8.168.153:8800/rtp/239.16.20.50:10500
项城电视台,http://171.8.168.153:8800/rtp/239.16.10.214:2000
