吉林联通-组播1,#genre#
大安,http://wanda01.e7q.com:18090/rtp/239.253.142.148:3000
延吉,http://wanda01.e7q.com:18090/rtp/239.253.142.138:3000
扶余,http://wanda01.e7q.com:18090/rtp/239.253.142.151:3000
抚松,http://wanda01.e7q.com:18090/rtp/239.253.142.158:3000
敦化,http://wanda01.e7q.com:18090/rtp/239.253.142.89:3000
新动漫,http://wanda01.e7q.com:18090/rtp/239.253.142.238:3000
晴彩广场舞,http://wanda01.e7q.com:18090/rtp/239.253.142.184:3000
晴彩竞技,http://wanda01.e7q.com:18090/rtp/239.253.142.181:3000
晴彩篮球,http://wanda01.e7q.com:18090/rtp/239.253.142.182:3000
晴彩青少,http://wanda01.e7q.com:18090/rtp/239.253.142.183:3000
柳河,http://wanda01.e7q.com:18090/rtp/239.253.142.143:3000
桦甸,http://wanda01.e7q.com:18090/rtp/239.253.142.8:3000
梅河口,http://wanda01.e7q.com:18090/rtp/239.253.142.144:3000
梨树,http://wanda01.e7q.com:18090/rtp/239.253.142.139:3000
汪清,http://wanda01.e7q.com:18090/rtp/239.253.142.136:3000
汽摩,http://wanda01.e7q.com:18090/rtp/239.253.142.87:3000
洮南,http://wanda01.e7q.com:18090/rtp/239.253.142.156:3000
环球影视,http://wanda01.e7q.com:18090/rtp/239.253.142.237:3000
磐石,http://wanda01.e7q.com:18090/rtp/239.253.142.135:3000
聚鲨环球,http://wanda01.e7q.com:18090/rtp/239.253.142.73:3000
聚鲨环球,http://wanda01.e7q.com:18090/rtp/239.253.142.103:3000
舒兰,http://wanda01.e7q.com:18090/rtp/239.253.142.155:3000
蛟河,http://wanda01.e7q.com:18090/rtp/239.253.142.236:3000
辉南,http://wanda01.e7q.com:18090/rtp/239.253.142.145:3000
通榆,http://wanda01.e7q.com:18090/rtp/239.253.142.147:3000
镇赉,http://wanda01.e7q.com:18090/rtp/239.253.142.146:3000
长影频道,http://wanda01.e7q.com:18090/rtp/239.253.142.105:3000
集安,http://wanda01.e7q.com:18090/rtp/239.253.142.108:3000
高尔夫网球,http://wanda01.e7q.com:18090/rtp/239.253.142.200:3000
