吉林电信-组播1,#genre#
吉林卫视,http://36.49.53.61:8800/rtp:/239.37.0.111:5540

吉林1-综合,http://36.49.53.61:8800/rtp:/239.37.0.127:5540
吉林2-科教,http://36.49.53.61:8800/rtp:/239.37.0.128:5540
吉林教育,http://36.49.53.61:8800/rtp/239.37.0.126:5540
吉林篮球,http://36.49.53.61:8800/rtp/239.37.0.212:5540
吉林篮球,http://36.49.53.61:8800/rtp/239.37.0.216:5540

优优宝贝,http://36.49.53.61:8800/rtp/239.37.0.107:5540
BesTV游戏,http://36.49.53.61:8800/rtp/239.37.0.162:5540
北京纪实科教,http://36.49.53.61:8800/rtp/239.37.0.101:5540
北京卡酷少儿,http://36.49.53.61:8800/rtp:/239.37.0.60:5540
北京卡酷少儿,http://36.49.53.61:8800/rtp:/239.37.0.76:5540
北京卡酷少儿,http://36.49.53.61:8800/rtp/239.37.0.060:5540
湖南快乐垂钓,http://36.49.53.61:8800/rtp/239.37.0.244:5540
湖南茶频道,http://36.49.53.61:8800/rtp/239.37.0.245:5540
湖南金鹰纪实,http://36.49.53.61:8800/rtp/239.37.0.161:5540
湖南金鹰卡通,http://36.49.53.61:8800/rtp:/239.37.1.19:5540
湖南金鹰卡通,http://36.49.53.61:8800/rtp/239.37.0.061:5540
河南梨园频道,http://36.49.53.61:8800/rtp/239.37.0.088:5540
河南梨园频道,http://36.49.53.61:8800/rtp/239.37.0.228:5540
河南武术世界,http://36.49.53.61:8800/rtp/239.37.0.076:5540
河南文物宝库,http://36.49.53.61:8800/rtp:/239.37.0.87:5540
陕西国学频道,http://36.49.53.61:8800/rtp:/239.37.0.93:5540
陕西国学频道,http://36.49.53.61:8800/rtp/239.37.0.093:5540
上海法治天地,http://36.49.53.61:8800/rtp/239.37.0.238:5540
上海生活时尚,http://36.49.53.61:8800/rtp/239.37.0.240:5540
上海都市剧场,http://36.49.53.61:8800/rtp/239.37.0.241:5540
上海游戏风云,http://36.49.53.61:8800/rtp/239.37.0.243:5540
上海动漫秀场,http://36.49.53.61:8800/rtp/239.37.0.242:5540
上海金色学堂,http://36.49.53.61:8800/rtp/239.37.0.239:5540
上海哈哈炫动,http://36.49.53.61:8800/rtp:/239.37.0.65:5540
