安徽电信-组播1,#genre#
南陵新闻综合,http://117.57.37.242:4022/rtp/238.1.78.189:7384
固镇新闻综合,http://117.57.37.242:4022/rtp/238.1.79.47:4488
太湖新闻综合,http://117.57.37.242:4022/rtp/238.1.79.12:4208
宁国新闻综合,http://117.57.37.242:4022/rtp/238.1.78.216:7600
寿县新闻综合,http://117.57.37.242:4022/rtp/238.1.78.146:7040
广德新闻综合,http://117.57.37.242:4022/rtp/238.1.78.212:7568
徽州新闻频道,http://117.57.37.242:4022/rtp/238.1.78.138:6976
旌德新闻综合,http://117.57.37.242:4022/rtp/238.1.78.215:7592
无为新闻频道,http://117.57.37.242:4022/rtp/238.1.78.188:7376
桐城综合频道,http://117.57.37.242:4022/rtp/238.1.78.28:6152
歙县综合频道,http://117.57.37.242:4022/rtp/238.1.78.200:7472
泗县新闻频道,http://117.57.37.242:4022/rtp/238.1.78.193:7416
涡阳新闻综合,http://117.57.37.242:4022/rtp/238.1.78.197:7448
湾沚综合频道,http://117.57.37.242:4022/rtp/238.1.78.187:7368
潜山综合频道,http://117.57.37.242:4022/rtp/238.1.78.192:7408
濉溪新闻频道,http://117.57.37.242:4022/rtp/238.1.78.209:7544
界首综合频道,http://117.57.37.242:4022/rtp/238.1.78.195:7432
祁门综合频道,http://117.57.37.242:4022/rtp/238.1.79.14:4224
繁昌新闻综合,http://117.57.37.242:4022/rtp/238.1.78.190:7392
肥西新闻综合,http://117.57.37.242:4022/rtp/238.1.78.185:7352
萧县新闻综合,http://117.57.37.242:4022/rtp/238.1.79.46:4480
蒙城新闻频道,http://117.57.37.242:4022/rtp/238.1.79.19:4264
郎溪新闻频道,http://117.57.37.242:4022/rtp/238.1.78.214:7584
金寨综合频道,http://117.57.37.242:4022/rtp/238.1.79.21:4280
阜南新闻综合,http://117.57.37.242:4022/rtp/238.1.79.11:4200
霍山综合频道,http://117.57.37.242:4022/rtp/238.1.78.220:7632
霍邱新闻综合,http://117.57.37.242:4022/rtp/238.1.78.119:6824
黟县新闻综合,http://117.57.37.242:4022/rtp/238.1.78.149:7064
