上海电信-组播1,#genre#
东方卫视4K,http://223.167.230.73:4022/rtp/233.18.204.224:5140

上海教育,http://223.167.230.73:4022/rtp/233.18.204.11:5140
上海教育HD,http://223.167.230.73:4022/rtp/233.18.204.63:5140
上海都市HD,http://223.167.230.73:4022/rtp/233.18.204.53:5140

CCTV-风云足球,http://223.167.230.73:4022/rtp/233.18.204.176:5140
CCTV-风云音乐,http://223.167.230.73:4022/rtp/233.18.204.185:5140
CCTV-第一剧场,http://223.167.230.73:4022/rtp/233.18.204.184:5140
CCTV-怀旧剧场,http://223.167.230.73:4022/rtp/233.18.204.182:5140
CCTV-风云剧场,http://223.167.230.73:4022/rtp/233.18.204.183:5140
CCTV-世界地理,http://223.167.230.73:4022/rtp/233.18.204.179:5140
CCTV-兵器科技,http://223.167.230.73:4022/rtp/233.18.204.178:5140
CCTV-女性时尚,http://223.167.230.73:4022/rtp/233.18.204.180:5140
CCTV-央视台球,http://223.167.230.73:4022/rtp/233.18.204.177:5140
CGTN英语,http://223.167.230.73:4022/rtp/233.18.204.28:5140
CETV早期教育,http://223.167.230.73:4022/rtp/233.18.204.187:5140
CETV-1综合教育,http://223.167.230.73:4022/rtp/233.18.204.98:5140
CETV-1综合教育,http://223.167.230.73:4022/rtp/233.18.204.153:5140
CETV-2空中课堂,http://223.167.230.73:4022/rtp/233.18.204.154:5140
CETV-4职业教育,http://223.167.230.73:4022/rtp/233.18.204.111:5140
CHC家庭影院,http://223.167.230.73:4022/rtp/233.18.204.173:5140
CHC影迷电影,http://223.167.230.73:4022/rtp/233.18.204.175:5140
CHC动作电影,http://223.167.230.73:4022/rtp/233.18.204.174:5140
BesTV,http://223.167.230.73:4022/rtp/233.18.204.161:5140
BesTV,http://223.167.230.73:4022/rtp/233.18.204.162:5140
BesTV,http://223.167.230.73:4022/rtp/233.18.204.163:5140
BesTV,http://223.167.230.73:4022/rtp/233.18.204.164:5140
BesTV,http://223.167.230.73:4022/rtp/233.18.204.165:5140
BesTV,http://223.167.230.73:4022/rtp/233.18.204.166:5140
BesTV,http://223.167.230.73:4022/rtp/233.18.204.167:5140
BesTV Live,http://223.167.230.73:4022/rtp/233.18.204.158:5140
BesTV Live,http://223.167.230.73:4022/rtp/233.18.204.159:5140
